country;variable;percentile;year;value;age;pop
US-NV;afiinc992t;p99.5p99.9;1917;166482.1;992;t
US-NV;afiinc992t;p99.5p99.9;1918;128317.2;992;t
US-NV;afiinc992t;p99.5p99.9;1919;133205.0;992;t
US-NV;afiinc992t;p99.5p99.9;1920;102719.0;992;t
US-NV;afiinc992t;p99.5p99.9;1921;110948.7;992;t
US-NV;afiinc992t;p99.5p99.9;1922;111732.7;992;t
US-NV;afiinc992t;p99.5p99.9;1923;117332.5;992;t
US-NV;afiinc992t;p99.5p99.9;1924;126466.4;992;t
US-NV;afiinc992t;p99.5p99.9;1925;147142.1;992;t
US-NV;afiinc992t;p99.5p99.9;1926;158052.5;992;t
US-NV;afiinc992t;p99.5p99.9;1927;170659.4;992;t
US-NV;afiinc992t;p99.5p99.9;1928;229528.2;992;t
US-NV;afiinc992t;p99.5p99.9;1929;225831.0;992;t
US-NV;afiinc992t;p99.5p99.9;1930;168665.7;992;t
US-NV;afiinc992t;p99.5p99.9;1931;168304.8;992;t
US-NV;afiinc992t;p99.5p99.9;1932;120993.7;992;t
US-NV;afiinc992t;p99.5p99.9;1933;118877.6;992;t
US-NV;afiinc992t;p99.5p99.9;1934;172478.6;992;t
US-NV;afiinc992t;p99.5p99.9;1935;196667.3;992;t
US-NV;afiinc992t;p99.5p99.9;1936;302302.1;992;t
US-NV;afiinc992t;p99.5p99.9;1937;331882.9;992;t
US-NV;afiinc992t;p99.5p99.9;1938;246076.9;992;t
US-NV;afiinc992t;p99.5p99.9;1939;296725.9;992;t
US-NV;afiinc992t;p99.5p99.9;1940;330541.2;992;t
US-NV;afiinc992t;p99.5p99.9;1941;367854.2;992;t
US-NV;afiinc992t;p99.5p99.9;1942;395344.8;992;t
US-NV;afiinc992t;p99.5p99.9;1943;440173.4;992;t
US-NV;afiinc992t;p99.5p99.9;1944;339266.2;992;t
US-NV;afiinc992t;p99.5p99.9;1945;391097.9;992;t
US-NV;afiinc992t;p99.5p99.9;1946;402827.1;992;t
US-NV;afiinc992t;p99.5p99.9;1947;339581.0;992;t
US-NV;afiinc992t;p99.5p99.9;1948;319092.0;992;t
US-NV;afiinc992t;p99.5p99.9;1949;292862.1;992;t
US-NV;afiinc992t;p99.5p99.9;1950;421747.7;992;t
US-NV;afiinc992t;p99.5p99.9;1951;415724.4;992;t
US-NV;afiinc992t;p99.5p99.9;1952;413862.2;992;t
US-NV;afiinc992t;p99.5p99.9;1953;267467.7;992;t
US-NV;afiinc992t;p99.5p99.9;1954;412685.3;992;t
US-NV;afiinc992t;p99.5p99.9;1955;438396.6;992;t
US-NV;afiinc992t;p99.5p99.9;1956;394054.1;992;t
US-NV;afiinc992t;p99.5p99.9;1957;355278.2;992;t
US-NV;afiinc992t;p99.5p99.9;1958;343221.9;992;t
US-NV;afiinc992t;p99.5p99.9;1959;343436.7;992;t
US-NV;afiinc992t;p99.5p99.9;1960;327111.2;992;t
US-NV;afiinc992t;p99.5p99.9;1961;456400.3;992;t
US-NV;afiinc992t;p99.5p99.9;1962;398679.2;992;t
