country;variable;percentile;year;value;age;pop
US-NY;sptinc992t;p0p99;1917;0.713;992;t
US-NY;sptinc992t;p0p99;1918;0.7683;992;t
US-NY;sptinc992t;p0p99;1919;0.7599;992;t
US-NY;sptinc992t;p0p99;1920;0.8205;992;t
US-NY;sptinc992t;p0p99;1921;0.8198;992;t
US-NY;sptinc992t;p0p99;1922;0.7904;992;t
US-NY;sptinc992t;p0p99;1923;0.8165;992;t
US-NY;sptinc992t;p0p99;1924;0.7801;992;t
US-NY;sptinc992t;p0p99;1925;0.729;992;t
US-NY;sptinc992t;p0p99;1926;0.7385;992;t
US-NY;sptinc992t;p0p99;1927;0.7021;992;t
US-NY;sptinc992t;p0p99;1928;0.6302;992;t
US-NY;sptinc992t;p0p99;1929;0.6539;992;t
US-NY;sptinc992t;p0p99;1930;0.7877;992;t
US-NY;sptinc992t;p0p99;1931;0.827;992;t
US-NY;sptinc992t;p0p99;1932;0.8185;992;t
US-NY;sptinc992t;p0p99;1933;0.7947;992;t
US-NY;sptinc992t;p0p99;1934;0.8067;992;t
US-NY;sptinc992t;p0p99;1935;0.7956;992;t
US-NY;sptinc992t;p0p99;1936;0.7682;992;t
US-NY;sptinc992t;p0p99;1937;0.8026;992;t
US-NY;sptinc992t;p0p99;1938;0.8321;992;t
US-NY;sptinc992t;p0p99;1939;0.8254;992;t
US-NY;sptinc992t;p0p99;1940;0.8229;992;t
US-NY;sptinc992t;p0p99;1941;0.8247;992;t
US-NY;sptinc992t;p0p99;1942;0.8405;992;t
US-NY;sptinc992t;p0p99;1943;0.8472;992;t
US-NY;sptinc992t;p0p99;1944;0.8553;992;t
US-NY;sptinc992t;p0p99;1945;0.8371;992;t
US-NY;sptinc992t;p0p99;1946;0.8388;992;t
US-NY;sptinc992t;p0p99;1947;0.8585;992;t
US-NY;sptinc992t;p0p99;1948;0.8532;992;t
US-NY;sptinc992t;p0p99;1949;0.862;992;t
US-NY;sptinc992t;p0p99;1950;0.8431;992;t
US-NY;sptinc992t;p0p99;1951;0.6078;992;t
US-NY;sptinc992t;p0p99;1952;0.868;992;t
US-NY;sptinc992t;p0p99;1953;0.8755;992;t
US-NY;sptinc992t;p0p99;1954;0.8642;992;t
US-NY;sptinc992t;p0p99;1955;0.854;992;t
US-NY;sptinc992t;p0p99;1956;0.8663;992;t
US-NY;sptinc992t;p0p99;1957;0.8755;992;t
US-NY;sptinc992t;p0p99;1958;0.8716;992;t
US-NY;sptinc992t;p0p99;1959;0.8596;992;t
US-NY;sptinc992t;p0p99;1960;0.8761;992;t
US-NY;sptinc992t;p0p99;1961;0.8611;992;t
US-NY;sptinc992t;p0p99;1962;0.878;992;t
US-NY;sptinc992t;p0p99;1963;0.8787;992;t
US-NY;sptinc992t;p0p99;1964;0.8732;992;t
US-NY;sptinc992t;p0p99;1965;0.8642;992;t
US-NY;sptinc992t;p0p99;1966;0.8714;992;t
US-NY;sptinc992t;p0p99;1967;0.8586;992;t
US-NY;sptinc992t;p0p99;1968;0.8517;992;t
US-NY;sptinc992t;p0p99;1969;0.868;992;t
US-NY;sptinc992t;p0p99;1970;0.8913;992;t
US-NY;sptinc992t;p0p99;1971;0.8878;992;t
US-NY;sptinc992t;p0p99;1972;0.8877;992;t
US-NY;sptinc992t;p0p99;1973;0.8951;992;t
US-NY;sptinc992t;p0p99;1974;0.8968;992;t
US-NY;sptinc992t;p0p99;1975;0.9007;992;t
US-NY;sptinc992t;p0p99;1976;0.8983;992;t
US-NY;sptinc992t;p0p99;1977;0.8985;992;t
US-NY;sptinc992t;p0p99;1978;0.8969;992;t
US-NY;sptinc992t;p0p99;1979;0.8831;992;t
US-NY;sptinc992t;p0p99;1980;0.8788;992;t
US-NY;sptinc992t;p0p99;1981;0.8747;992;t
US-NY;sptinc992t;p0p99;1982;0.8808;992;t
US-NY;sptinc992t;p0p99;1983;0.8627;992;t
US-NY;sptinc992t;p0p99;1984;0.85;992;t
US-NY;sptinc992t;p0p99;1985;0.8413;992;t
US-NY;sptinc992t;p0p99;1986;0.7898;992;t
US-NY;sptinc992t;p0p99;1987;0.8368;992;t
US-NY;sptinc992t;p0p99;1988;0.8014;992;t
US-NY;sptinc992t;p0p99;1989;0.8176;992;t
US-NY;sptinc992t;p0p99;1990;0.8243;992;t
US-NY;sptinc992t;p0p99;1991;0.835;992;t
US-NY;sptinc992t;p0p99;1992;0.809;992;t
US-NY;sptinc992t;p0p99;1993;0.816;992;t
US-NY;sptinc992t;p0p99;1994;0.8224;992;t
US-NY;sptinc992t;p0p99;1995;0.8097;992;t
US-NY;sptinc992t;p0p99;1996;0.7809;992;t
US-NY;sptinc992t;p0p99;1997;0.765;992;t
US-NY;sptinc992t;p0p99;1998;0.7515;992;t
US-NY;sptinc992t;p0p99;1999;0.7375;992;t
US-NY;sptinc992t;p0p99;2000;0.733;992;t
US-NY;sptinc992t;p0p99;2001;0.7204;992;t
US-NY;sptinc992t;p0p99;2002;0.7669;992;t
US-NY;sptinc992t;p0p99;2003;0.7529;992;t
US-NY;sptinc992t;p0p99;2004;0.7141;992;t
US-NY;sptinc992t;p0p99;2005;0.6927;992;t
US-NY;sptinc992t;p0p99;2006;0.673;992;t
US-NY;sptinc992t;p0p99;2007;0.64;992;t
US-NY;sptinc992t;p0p99;2008;0.6917;992;t
US-NY;sptinc992t;p0p99;2009;0.7263;992;t
US-NY;sptinc992t;p0p99;2010;0.7018;992;t
US-NY;sptinc992t;p0p99;2011;0.7046;992;t
US-NY;sptinc992t;p0p99;2012;0.674;992;t
US-NY;sptinc992t;p0p99;2013;0.6901;992;t
US-NY;sptinc992t;p0p99;2014;0.669;992;t
US-NY;sptinc992t;p0p99;2015;0.6777;992;t
US-NY;sptinc992t;p0p99;2016;0.7078;992;t
US-NY;sptinc992t;p0p99;2017;0.6869;992;t
US-NY;sptinc992t;p0p99;2018;0.7027;992;t
US-NY;sptinc992t;p99.5p100;1917;0.2407;992;t
US-NY;sptinc992t;p99.5p100;1918;0.1877;992;t
US-NY;sptinc992t;p99.5p100;1919;0.1903;992;t
US-NY;sptinc992t;p99.5p100;1920;0.1371;992;t
US-NY;sptinc992t;p99.5p100;1921;0.1365;992;t
US-NY;sptinc992t;p99.5p100;1922;0.1628;992;t
US-NY;sptinc992t;p99.5p100;1923;0.1415;992;t
US-NY;sptinc992t;p99.5p100;1924;0.1716;992;t
US-NY;sptinc992t;p99.5p100;1925;0.2171;992;t
US-NY;sptinc992t;p99.5p100;1926;0.2089;992;t
US-NY;sptinc992t;p99.5p100;1927;0.2413;992;t
US-NY;sptinc992t;p99.5p100;1928;0.3076;992;t
