country;variable;percentile;year;value;age;pop
US-OH;sptinc992t;p0p99;1917;0.8318;992;t
US-OH;sptinc992t;p0p99;1918;0.8525;992;t
US-OH;sptinc992t;p0p99;1919;0.8514;992;t
US-OH;sptinc992t;p0p99;1920;0.8612;992;t
US-OH;sptinc992t;p0p99;1921;0.8422;992;t
US-OH;sptinc992t;p0p99;1922;0.8351;992;t
US-OH;sptinc992t;p0p99;1923;0.8491;992;t
US-OH;sptinc992t;p0p99;1924;0.8353;992;t
US-OH;sptinc992t;p0p99;1925;0.8222;992;t
US-OH;sptinc992t;p0p99;1926;0.8211;992;t
US-OH;sptinc992t;p0p99;1927;0.817;992;t
US-OH;sptinc992t;p0p99;1928;0.7895;992;t
US-OH;sptinc992t;p0p99;1929;0.8113;992;t
US-OH;sptinc992t;p0p99;1930;0.8407;992;t
US-OH;sptinc992t;p0p99;1931;0.8631;992;t
US-OH;sptinc992t;p0p99;1932;0.8579;992;t
US-OH;sptinc992t;p0p99;1933;0.8599;992;t
US-OH;sptinc992t;p0p99;1934;0.857;992;t
US-OH;sptinc992t;p0p99;1935;0.8521;992;t
US-OH;sptinc992t;p0p99;1936;0.8254;992;t
US-OH;sptinc992t;p0p99;1937;0.8384;992;t
US-OH;sptinc992t;p0p99;1938;0.8501;992;t
US-OH;sptinc992t;p0p99;1939;0.8464;992;t
US-OH;sptinc992t;p0p99;1940;0.8378;992;t
US-OH;sptinc992t;p0p99;1941;0.8442;992;t
US-OH;sptinc992t;p0p99;1942;0.8652;992;t
US-OH;sptinc992t;p0p99;1943;0.8818;992;t
US-OH;sptinc992t;p0p99;1944;0.8902;992;t
US-OH;sptinc992t;p0p99;1945;0.8832;992;t
US-OH;sptinc992t;p0p99;1946;0.8736;992;t
US-OH;sptinc992t;p0p99;1947;0.8858;992;t
US-OH;sptinc992t;p0p99;1948;0.8815;992;t
US-OH;sptinc992t;p0p99;1949;0.8851;992;t
US-OH;sptinc992t;p0p99;1950;0.8782;992;t
US-OH;sptinc992t;p0p99;1951;0.6768;992;t
US-OH;sptinc992t;p0p99;1952;0.8949;992;t
US-OH;sptinc992t;p0p99;1953;0.9043;992;t
US-OH;sptinc992t;p0p99;1954;0.9032;992;t
US-OH;sptinc992t;p0p99;1955;0.8992;992;t
US-OH;sptinc992t;p0p99;1956;0.9011;992;t
US-OH;sptinc992t;p0p99;1957;0.9052;992;t
US-OH;sptinc992t;p0p99;1958;0.904;992;t
US-OH;sptinc992t;p0p99;1959;0.9054;992;t
US-OH;sptinc992t;p0p99;1960;0.9048;992;t
US-OH;sptinc992t;p0p99;1961;0.9007;992;t
US-OH;sptinc992t;p0p99;1962;0.9069;992;t
US-OH;sptinc992t;p0p99;1963;0.9052;992;t
US-OH;sptinc992t;p0p99;1964;0.9002;992;t
US-OH;sptinc992t;p0p99;1965;0.891;992;t
US-OH;sptinc992t;p0p99;1966;0.9051;992;t
US-OH;sptinc992t;p0p99;1967;0.8993;992;t
US-OH;sptinc992t;p0p99;1968;0.8969;992;t
US-OH;sptinc992t;p0p99;1969;0.9041;992;t
US-OH;sptinc992t;p0p99;1970;0.9153;992;t
US-OH;sptinc992t;p0p99;1971;0.9118;992;t
US-OH;sptinc992t;p0p99;1972;0.9113;992;t
US-OH;sptinc992t;p0p99;1973;0.9159;992;t
US-OH;sptinc992t;p0p99;1974;0.9215;992;t
US-OH;sptinc992t;p0p99;1975;0.9155;992;t
US-OH;sptinc992t;p0p99;1976;0.9152;992;t
US-OH;sptinc992t;p0p99;1977;0.9158;992;t
US-OH;sptinc992t;p0p99;1978;0.9168;992;t
US-OH;sptinc992t;p0p99;1979;0.907;992;t
US-OH;sptinc992t;p0p99;1980;0.9077;992;t
US-OH;sptinc992t;p0p99;1981;0.9084;992;t
US-OH;sptinc992t;p0p99;1982;0.8964;992;t
US-OH;sptinc992t;p0p99;1983;0.9036;992;t
US-OH;sptinc992t;p0p99;1984;0.8969;992;t
US-OH;sptinc992t;p0p99;1985;0.8908;992;t
US-OH;sptinc992t;p0p99;1986;0.8652;992;t
US-OH;sptinc992t;p0p99;1987;0.8868;992;t
US-OH;sptinc992t;p0p99;1988;0.8691;992;t
US-OH;sptinc992t;p0p99;1989;0.8776;992;t
US-OH;sptinc992t;p0p99;1990;0.8779;992;t
US-OH;sptinc992t;p0p99;1991;0.88;992;t
US-OH;sptinc992t;p0p99;1992;0.872;992;t
US-OH;sptinc992t;p0p99;1993;0.8721;992;t
US-OH;sptinc992t;p0p99;1994;0.8746;992;t
US-OH;sptinc992t;p0p99;1995;0.8668;992;t
US-OH;sptinc992t;p0p99;1996;0.8595;992;t
US-OH;sptinc992t;p0p99;1997;0.852;992;t
US-OH;sptinc992t;p0p99;1998;0.8488;992;t
US-OH;sptinc992t;p0p99;1999;0.8547;992;t
US-OH;sptinc992t;p0p99;2000;0.8551;992;t
US-OH;sptinc992t;p0p99;2001;0.8658;992;t
US-OH;sptinc992t;p0p99;2002;0.8619;992;t
US-OH;sptinc992t;p0p99;2003;0.8636;992;t
US-OH;sptinc992t;p0p99;2004;0.8469;992;t
US-OH;sptinc992t;p0p99;2005;0.8408;992;t
US-OH;sptinc992t;p0p99;2006;0.8322;992;t
US-OH;sptinc992t;p0p99;2007;0.8279;992;t
US-OH;sptinc992t;p0p99;2008;0.8447;992;t
US-OH;sptinc992t;p0p99;2009;0.8624;992;t
US-OH;sptinc992t;p0p99;2010;0.8494;992;t
US-OH;sptinc992t;p0p99;2011;0.8464;992;t
US-OH;sptinc992t;p0p99;2012;0.8267;992;t
US-OH;sptinc992t;p0p99;2013;0.8509;992;t
US-OH;sptinc992t;p0p99;2014;0.8377;992;t
US-OH;sptinc992t;p0p99;2015;0.8398;992;t
US-OH;sptinc992t;p0p99;2016;0.8408;992;t
US-OH;sptinc992t;p0p99;2017;0.8433;992;t
US-OH;sptinc992t;p0p99;2018;0.8322;992;t
US-OH;sfiinc992t;p99.9p99.99;1917;0.0469;992;t
US-OH;sfiinc992t;p99.9p99.99;1918;0.0391;992;t
US-OH;sfiinc992t;p99.9p99.99;1919;0.0382;992;t
US-OH;sfiinc992t;p99.9p99.99;1920;0.0341;992;t
US-OH;sfiinc992t;p99.9p99.99;1921;0.0391;992;t
US-OH;sfiinc992t;p99.9p99.99;1922;0.041;992;t
US-OH;sfiinc992t;p99.9p99.99;1923;0.0371;992;t
US-OH;sfiinc992t;p99.9p99.99;1924;0.0408;992;t
US-OH;sfiinc992t;p99.9p99.99;1925;0.0447;992;t
US-OH;sfiinc992t;p99.9p99.99;1926;0.0452;992;t
US-OH;sfiinc992t;p99.9p99.99;1927;0.0473;992;t
US-OH;sfiinc992t;p99.9p99.99;1928;0.0549;992;t
US-OH;sfiinc992t;p99.9p99.99;1929;0.0498;992;t
US-OH;sfiinc992t;p99.9p99.99;1930;0.0386;992;t
US-OH;sfiinc992t;p99.9p99.99;1931;0.0321;992;t
US-OH;sfiinc992t;p99.9p99.99;1932;0.0349;992;t
US-OH;sfiinc992t;p99.9p99.99;1933;0.0343;992;t
US-OH;sfiinc992t;p99.9p99.99;1934;0.0342;992;t
US-OH;sfiinc992t;p99.9p99.99;1935;0.0366;992;t
US-OH;sfiinc992t;p99.9p99.99;1936;0.0445;992;t
US-OH;sfiinc992t;p99.9p99.99;1937;0.0401;992;t
US-OH;sfiinc992t;p99.9p99.99;1938;0.0349;992;t
US-OH;sfiinc992t;p99.9p99.99;1939;0.0373;992;t
