country;variable;percentile;year;value;age;pop
US-OK;sptinc992t;p99.99p100;1917;0.0233;992;t
US-OK;sptinc992t;p99.99p100;1918;0.0123;992;t
US-OK;sptinc992t;p99.99p100;1919;0.0153;992;t
US-OK;sptinc992t;p99.99p100;1920;0.0155;992;t
US-OK;sptinc992t;p99.99p100;1921;0.0097;992;t
US-OK;sptinc992t;p99.99p100;1922;0.0224;992;t
US-OK;sptinc992t;p99.99p100;1923;0.0118;992;t
US-OK;sptinc992t;p99.99p100;1924;0.0154;992;t
US-OK;sptinc992t;p99.99p100;1925;0.0452;992;t
US-OK;sptinc992t;p99.99p100;1926;0.0394;992;t
US-OK;sptinc992t;p99.99p100;1927;0.0255;992;t
US-OK;sptinc992t;p99.99p100;1928;0.0248;992;t
US-OK;sptinc992t;p99.99p100;1929;0.027;992;t
US-OK;sptinc992t;p99.99p100;1930;0.0223;992;t
US-OK;sptinc992t;p99.99p100;1931;0.0115;992;t
US-OK;sptinc992t;p99.99p100;1932;0.0111;992;t
US-OK;sptinc992t;p99.99p100;1933;0.0118;992;t
US-OK;sptinc992t;p99.99p100;1934;0.0133;992;t
US-OK;sptinc992t;p99.99p100;1935;0.0135;992;t
US-OK;sptinc992t;p99.99p100;1936;0.0185;992;t
US-OK;sptinc992t;p99.99p100;1937;0.0186;992;t
US-OK;sptinc992t;p99.99p100;1938;0.0177;992;t
US-OK;sptinc992t;p99.99p100;1939;0.014;992;t
US-OK;sptinc992t;p99.99p100;1940;0.016;992;t
US-OK;sptinc992t;p99.99p100;1941;0.0257;992;t
US-OK;sptinc992t;p99.99p100;1942;0.0151;992;t
US-OK;sptinc992t;p99.99p100;1943;0.0117;992;t
US-OK;sptinc992t;p99.99p100;1944;0.01;992;t
US-OK;sptinc992t;p99.99p100;1945;0.0104;992;t
US-OK;sptinc992t;p99.99p100;1946;0.0164;992;t
US-OK;sptinc992t;p99.99p100;1947;0.0111;992;t
US-OK;sptinc992t;p99.99p100;1948;0.017;992;t
US-OK;sptinc992t;p99.99p100;1949;0.0146;992;t
US-OK;sptinc992t;p99.99p100;1950;0.0148;992;t
US-OK;sptinc992t;p99.99p100;1951;0.0173;992;t
US-OK;sptinc992t;p99.99p100;1952;0.0127;992;t
US-OK;sptinc992t;p99.99p100;1953;0.0109;992;t
US-OK;sptinc992t;p99.99p100;1954;0.0188;992;t
US-OK;sptinc992t;p99.99p100;1955;0.014;992;t
US-OK;sptinc992t;p99.99p100;1956;0.0128;992;t
US-OK;sptinc992t;p99.99p100;1957;0.012;992;t
US-OK;sptinc992t;p99.99p100;1958;0.0125;992;t
US-OK;sptinc992t;p99.99p100;1959;0.0111;992;t
US-OK;sptinc992t;p99.99p100;1960;0.0104;992;t
US-OK;sptinc992t;p99.99p100;1961;0.0162;992;t
US-OK;sptinc992t;p99.99p100;1962;0.0112;992;t
US-OK;sptinc992t;p99.99p100;1963;0.0132;992;t
US-OK;sptinc992t;p99.99p100;1964;0.0146;992;t
US-OK;sptinc992t;p99.99p100;1965;0.014;992;t
US-OK;sptinc992t;p99.99p100;1966;0.0098;992;t
US-OK;sptinc992t;p99.99p100;1967;0.0114;992;t
US-OK;sptinc992t;p99.99p100;1968;0.0143;992;t
US-OK;sptinc992t;p99.99p100;1969;0.0124;992;t
US-OK;sptinc992t;p99.99p100;1970;0.0078;992;t
US-OK;sptinc992t;p99.99p100;1971;0.0089;992;t
US-OK;sptinc992t;p99.99p100;1972;0.0098;992;t
US-OK;sptinc992t;p99.99p100;1973;0.0077;992;t
US-OK;sptinc992t;p99.99p100;1974;0.0094;992;t
US-OK;sptinc992t;p99.99p100;1975;0.0093;992;t
US-OK;sptinc992t;p99.99p100;1976;0.0102;992;t
US-OK;sptinc992t;p99.99p100;1977;0.0108;992;t
US-OK;sptinc992t;p99.99p100;1978;0.0078;992;t
US-OK;sptinc992t;p99.99p100;1979;0.0144;992;t
US-OK;sptinc992t;p99.99p100;1980;0.0169;992;t
US-OK;sptinc992t;p99.99p100;1981;0.0136;992;t
US-OK;sptinc992t;p99.99p100;1982;0.0179;992;t
US-OK;sptinc992t;p99.99p100;1983;0.0211;992;t
US-OK;sptinc992t;p99.99p100;1984;0.0252;992;t
US-OK;sptinc992t;p99.99p100;1985;0.0229;992;t
US-OK;sptinc992t;p99.99p100;1986;0.0249;992;t
US-OK;sptinc992t;p99.99p100;1987;0.013;992;t
US-OK;sptinc992t;p99.99p100;1988;0.0173;992;t
US-OK;sptinc992t;p99.99p100;1989;0.0157;992;t
US-OK;sptinc992t;p99.99p100;1990;0.0169;992;t
US-OK;sptinc992t;p99.99p100;1991;0.0147;992;t
US-OK;sptinc992t;p99.99p100;1992;0.0186;992;t
US-OK;sptinc992t;p99.99p100;1993;0.0171;992;t
US-OK;sptinc992t;p99.99p100;1994;0.0193;992;t
US-OK;sptinc992t;p99.99p100;1995;0.0153;992;t
US-OK;sptinc992t;p99.99p100;1996;0.0197;992;t
US-OK;sptinc992t;p99.99p100;1997;0.024;992;t
US-OK;sptinc992t;p99.99p100;1998;0.0248;992;t
US-OK;sptinc992t;p99.99p100;1999;0.0234;992;t
US-OK;sptinc992t;p99.99p100;2000;0.0264;992;t
US-OK;sptinc992t;p99.99p100;2001;0.0242;992;t
US-OK;sptinc992t;p99.99p100;2002;0.0231;992;t
US-OK;sptinc992t;p99.99p100;2003;0.0281;992;t
US-OK;sptinc992t;p99.99p100;2004;0.0375;992;t
US-OK;sptinc992t;p99.99p100;2005;0.0407;992;t
US-OK;sptinc992t;p99.99p100;2006;0.0512;992;t
US-OK;sptinc992t;p99.99p100;2007;0.0574;992;t
US-OK;sptinc992t;p99.99p100;2008;0.0497;992;t
US-OK;sptinc992t;p99.99p100;2009;0.0365;992;t
US-OK;sptinc992t;p99.99p100;2010;0.0316;992;t
US-OK;sptinc992t;p99.99p100;2011;0.0341;992;t
US-OK;sptinc992t;p99.99p100;2012;0.0507;992;t
US-OK;sptinc992t;p99.99p100;2013;0.0336;992;t
US-OK;sptinc992t;p99.99p100;2014;0.0342;992;t
US-OK;sptinc992t;p99.99p100;2015;0.0339;992;t
US-OK;sptinc992t;p99.99p100;2016;0.0298;992;t
US-OK;sptinc992t;p99.99p100;2017;0.03;992;t
US-OK;sptinc992t;p99.99p100;2018;0.0287;992;t
US-OK;sfiinc992t;p0p99;1917;0.8574;992;t
US-OK;sfiinc992t;p0p99;1918;0.8872;992;t
US-OK;sfiinc992t;p0p99;1919;0.871;992;t
US-OK;sfiinc992t;p0p99;1920;0.8557;992;t
US-OK;sfiinc992t;p0p99;1921;0.8699;992;t
US-OK;sfiinc992t;p0p99;1922;0.8405;992;t
US-OK;sfiinc992t;p0p99;1923;0.8707;992;t
US-OK;sfiinc992t;p0p99;1924;0.8654;992;t
US-OK;sfiinc992t;p0p99;1925;0.8055;992;t
US-OK;sfiinc992t;p0p99;1926;0.8003;992;t
US-OK;sfiinc992t;p0p99;1927;0.8174;992;t
US-OK;sfiinc992t;p0p99;1928;0.8181;992;t
US-OK;sfiinc992t;p0p99;1929;0.8177;992;t
US-OK;sfiinc992t;p0p99;1930;0.8285;992;t
US-OK;sfiinc992t;p0p99;1931;0.8636;992;t
US-OK;sfiinc992t;p0p99;1932;0.8521;992;t
US-OK;sfiinc992t;p0p99;1933;0.8467;992;t
US-OK;sfiinc992t;p0p99;1934;0.8307;992;t
US-OK;sfiinc992t;p0p99;1935;0.8425;992;t
US-OK;sfiinc992t;p0p99;1936;0.8129;992;t
US-OK;sfiinc992t;p0p99;1937;0.8285;992;t
US-OK;sfiinc992t;p0p99;1938;0.8386;992;t
US-OK;sfiinc992t;p0p99;1939;0.8438;992;t
US-OK;sfiinc992t;p0p99;1940;0.8426;992;t
US-OK;sfiinc992t;p0p99;1941;0.8274;992;t
US-OK;sfiinc992t;p0p99;1942;0.871;992;t
US-OK;sfiinc992t;p0p99;1943;0.8855;992;t
US-OK;sfiinc992t;p0p99;1944;0.9051;992;t
US-OK;sfiinc992t;p0p99;1945;0.8944;992;t
US-OK;sfiinc992t;p0p99;1946;0.8848;992;t
US-OK;sfiinc992t;p0p99;1947;0.8894;992;t
US-OK;sfiinc992t;p0p99;1948;0.8532;992;t
US-OK;sfiinc992t;p0p99;1949;0.8671;992;t
US-OK;sfiinc992t;p0p99;1950;0.8503;992;t
US-OK;sfiinc992t;p0p99;1951;0.5963;992;t
US-OK;sfiinc992t;p0p99;1952;0.8837;992;t
US-OK;sfiinc992t;p0p99;1953;0.8843;992;t
US-OK;sfiinc992t;p0p99;1954;0.8758;992;t
US-OK;sfiinc992t;p0p99;1955;0.881;992;t
US-OK;sfiinc992t;p0p99;1956;0.8851;992;t
US-OK;sfiinc992t;p0p99;1957;0.8744;992;t
US-OK;sfiinc992t;p0p99;1958;0.8963;992;t
US-OK;sfiinc992t;p0p99;1959;0.8935;992;t
US-OK;sfiinc992t;p0p99;1960;0.8974;992;t
US-OK;sfiinc992t;p0p99;1961;0.8864;992;t
US-OK;sfiinc992t;p0p99;1962;0.8936;992;t
US-OK;sfiinc992t;p0p99;1963;0.8912;992;t
US-OK;sfiinc992t;p0p99;1964;0.8894;992;t
US-OK;sfiinc992t;p0p99;1965;0.8865;992;t
