country;variable;percentile;year;value;age;pop
US-OR;sptinc992t;p90p95;1917;0.0835;992;t
US-OR;sptinc992t;p90p95;1918;0.0946;992;t
US-OR;sptinc992t;p90p95;1919;0.1014;992;t
US-OR;sptinc992t;p90p95;1920;0.1109;992;t
US-OR;sptinc992t;p90p95;1921;0.1266;992;t
US-OR;sptinc992t;p90p95;1922;0.117;992;t
US-OR;sptinc992t;p90p95;1923;0.1175;992;t
US-OR;sptinc992t;p90p95;1924;0.1275;992;t
US-OR;sptinc992t;p90p95;1925;0.1061;992;t
US-OR;sptinc992t;p90p95;1926;0.1019;992;t
US-OR;sptinc992t;p90p95;1927;0.1176;992;t
US-OR;sptinc992t;p90p95;1928;0.0945;992;t
US-OR;sptinc992t;p90p95;1929;0.0884;992;t
US-OR;sptinc992t;p90p95;1930;0.0957;992;t
US-OR;sptinc992t;p90p95;1931;0.119;992;t
US-OR;sptinc992t;p90p95;1932;0.1352;992;t
US-OR;sptinc992t;p90p95;1933;0.1415;992;t
US-OR;sptinc992t;p90p95;1934;0.1108;992;t
US-OR;sptinc992t;p90p95;1935;0.1197;992;t
US-OR;sptinc992t;p90p95;1936;0.1004;992;t
US-OR;sptinc992t;p90p95;1937;0.1136;992;t
US-OR;sptinc992t;p90p95;1938;0.1221;992;t
US-OR;sptinc992t;p90p95;1939;0.1175;992;t
US-OR;sptinc992t;p90p95;1940;0.1355;992;t
US-OR;sptinc992t;p90p95;1941;0.1179;992;t
US-OR;sptinc992t;p90p95;1942;0.1119;992;t
US-OR;sptinc992t;p90p95;1943;0.0944;992;t
US-OR;sptinc992t;p90p95;1944;0.1015;992;t
US-OR;sptinc992t;p90p95;1945;0.0999;992;t
US-OR;sptinc992t;p90p95;1946;0.1024;992;t
US-OR;sptinc992t;p90p95;1947;0.0945;992;t
US-OR;sptinc992t;p90p95;1948;0.0983;992;t
US-OR;sptinc992t;p90p95;1949;0.1033;992;t
US-OR;sptinc992t;p90p95;1950;0.1043;992;t
US-OR;sptinc992t;p90p95;1951;0.1012;992;t
US-OR;sptinc992t;p90p95;1952;0.0996;992;t
US-OR;sptinc992t;p90p95;1953;0.1005;992;t
US-OR;sptinc992t;p90p95;1954;0.1049;992;t
US-OR;sptinc992t;p90p95;1955;0.1052;992;t
US-OR;sptinc992t;p90p95;1956;0.0987;992;t
US-OR;sptinc992t;p90p95;1957;0.1059;992;t
US-OR;sptinc992t;p90p95;1958;0.112;992;t
US-OR;sptinc992t;p90p95;1959;0.107;992;t
US-OR;sptinc992t;p90p95;1960;0.1087;992;t
US-OR;sptinc992t;p90p95;1961;0.1098;992;t
US-OR;sptinc992t;p90p95;1962;0.112;992;t
US-OR;sptinc992t;p90p95;1963;0.1127;992;t
US-OR;sptinc992t;p90p95;1964;0.1154;992;t
US-OR;sptinc992t;p90p95;1965;0.1115;992;t
US-OR;sptinc992t;p90p95;1966;0.1083;992;t
US-OR;sptinc992t;p90p95;1967;0.1101;992;t
US-OR;sptinc992t;p90p95;1968;0.1109;992;t
US-OR;sptinc992t;p90p95;1969;0.113;992;t
US-OR;sptinc992t;p90p95;1970;0.1132;992;t
US-OR;sptinc992t;p90p95;1971;0.1127;992;t
US-OR;sptinc992t;p90p95;1972;0.1086;992;t
US-OR;sptinc992t;p90p95;1973;0.1105;992;t
US-OR;sptinc992t;p90p95;1974;0.1106;992;t
US-OR;sptinc992t;p90p95;1975;0.1143;992;t
US-OR;sptinc992t;p90p95;1976;0.1112;992;t
US-OR;sptinc992t;p90p95;1977;0.1145;992;t
US-OR;sptinc992t;p90p95;1978;0.1109;992;t
US-OR;sptinc992t;p90p95;1979;0.109;992;t
US-OR;sptinc992t;p90p95;1980;0.1122;992;t
US-OR;sptinc992t;p90p95;1981;0.1229;992;t
US-OR;sptinc992t;p90p95;1982;0.1056;992;t
US-OR;sptinc992t;p90p95;1983;0.1114;992;t
US-OR;sptinc992t;p90p95;1984;0.1094;992;t
US-OR;sptinc992t;p90p95;1985;0.1102;992;t
US-OR;sptinc992t;p90p95;1986;0.1069;992;t
US-OR;sptinc992t;p90p95;1987;0.1122;992;t
US-OR;sptinc992t;p90p95;1988;0.1105;992;t
US-OR;sptinc992t;p90p95;1989;0.1132;992;t
US-OR;sptinc992t;p90p95;1990;0.1162;992;t
US-OR;sptinc992t;p90p95;1991;0.1204;992;t
US-OR;sptinc992t;p90p95;1992;0.1205;992;t
US-OR;sptinc992t;p90p95;1993;0.1172;992;t
US-OR;sptinc992t;p90p95;1994;0.1164;992;t
US-OR;sptinc992t;p90p95;1995;0.1183;992;t
US-OR;sptinc992t;p90p95;1996;0.1166;992;t
US-OR;sptinc992t;p90p95;1997;0.1171;992;t
US-OR;sptinc992t;p90p95;1998;0.1137;992;t
US-OR;sptinc992t;p90p95;1999;0.1153;992;t
US-OR;sptinc992t;p90p95;2000;0.1129;992;t
US-OR;sptinc992t;p90p95;2001;0.1181;992;t
US-OR;sptinc992t;p90p95;2002;0.1218;992;t
US-OR;sptinc992t;p90p95;2003;0.1205;992;t
US-OR;sptinc992t;p90p95;2004;0.1153;992;t
US-OR;sptinc992t;p90p95;2005;0.1177;992;t
US-OR;sptinc992t;p90p95;2006;0.1186;992;t
US-OR;sptinc992t;p90p95;2007;0.1206;992;t
US-OR;sptinc992t;p90p95;2008;0.1248;992;t
US-OR;sptinc992t;p90p95;2009;0.1345;992;t
US-OR;sptinc992t;p90p95;2010;0.1356;992;t
US-OR;sptinc992t;p90p95;2011;0.1353;992;t
US-OR;sptinc992t;p90p95;2012;0.1293;992;t
US-OR;sptinc992t;p90p95;2013;0.1345;992;t
US-OR;sptinc992t;p90p95;2014;0.1313;992;t
US-OR;sptinc992t;p90p95;2015;0.1298;992;t
US-OR;sptinc992t;p90p95;2016;0.1311;992;t
US-OR;sptinc992t;p90p95;2017;0.1361;992;t
US-OR;sptinc992t;p90p95;2018;0.1281;992;t
US-OR;sptinc992t;p95p100;1917;0.2292;992;t
US-OR;sptinc992t;p95p100;1918;0.2372;992;t
US-OR;sptinc992t;p95p100;1919;0.2658;992;t
US-OR;sptinc992t;p95p100;1920;0.2565;992;t
US-OR;sptinc992t;p95p100;1921;0.2661;992;t
US-OR;sptinc992t;p95p100;1922;0.2635;992;t
US-OR;sptinc992t;p95p100;1923;0.2487;992;t
US-OR;sptinc992t;p95p100;1924;0.2649;992;t
US-OR;sptinc992t;p95p100;1925;0.2659;992;t
US-OR;sptinc992t;p95p100;1926;0.2794;992;t
US-OR;sptinc992t;p95p100;1927;0.2827;992;t
US-OR;sptinc992t;p95p100;1928;0.2761;992;t
US-OR;sptinc992t;p95p100;1929;0.2669;992;t
US-OR;sptinc992t;p95p100;1930;0.2677;992;t
US-OR;sptinc992t;p95p100;1931;0.2527;992;t
US-OR;sptinc992t;p95p100;1932;0.2592;992;t
US-OR;sptinc992t;p95p100;1933;0.2851;992;t
US-OR;sptinc992t;p95p100;1934;0.2596;992;t
US-OR;sptinc992t;p95p100;1935;0.2783;992;t
US-OR;sptinc992t;p95p100;1936;0.2873;992;t
US-OR;sptinc992t;p95p100;1937;0.2879;992;t
US-OR;sptinc992t;p95p100;1938;0.2783;992;t
US-OR;sptinc992t;p95p100;1939;0.2881;992;t
US-OR;sptinc992t;p95p100;1940;0.3003;992;t
US-OR;sptinc992t;p95p100;1941;0.2932;992;t
US-OR;sptinc992t;p95p100;1942;0.2713;992;t
US-OR;sptinc992t;p95p100;1943;0.2393;992;t
US-OR;sptinc992t;p95p100;1944;0.2308;992;t
US-OR;sptinc992t;p95p100;1945;0.2527;992;t
US-OR;sptinc992t;p95p100;1946;0.2763;992;t
US-OR;sptinc992t;p95p100;1947;0.234;992;t
US-OR;sptinc992t;p95p100;1948;0.2532;992;t
US-OR;sptinc992t;p95p100;1949;0.2295;992;t
US-OR;sptinc992t;p95p100;1950;0.2496;992;t
US-OR;sptinc992t;p95p100;1951;0.26;992;t
US-OR;sptinc992t;p95p100;1952;0.229;992;t
US-OR;sptinc992t;p95p100;1953;0.213;992;t
US-OR;sptinc992t;p95p100;1954;0.2233;992;t
US-OR;sptinc992t;p95p100;1955;0.2139;992;t
US-OR;sptinc992t;p95p100;1956;0.2224;992;t
US-OR;sptinc992t;p95p100;1957;0.2066;992;t
US-OR;sptinc992t;p95p100;1958;0.2277;992;t
US-OR;sptinc992t;p95p100;1959;0.2267;992;t
US-OR;sptinc992t;p95p100;1960;0.2196;992;t
US-OR;sptinc992t;p95p100;1961;0.2174;992;t
US-OR;sptinc992t;p95p100;1962;0.2149;992;t
US-OR;sptinc992t;p95p100;1963;0.2176;992;t
US-OR;sptinc992t;p95p100;1964;0.2314;992;t
US-OR;sptinc992t;p95p100;1965;0.2292;992;t
US-OR;sptinc992t;p95p100;1966;0.2198;992;t
US-OR;sptinc992t;p95p100;1967;0.2276;992;t
US-OR;sptinc992t;p95p100;1968;0.2294;992;t
US-OR;sptinc992t;p95p100;1969;0.2199;992;t
US-OR;sptinc992t;p95p100;1970;0.2056;992;t
US-OR;sptinc992t;p95p100;1971;0.2164;992;t
US-OR;sptinc992t;p95p100;1972;0.2172;992;t
US-OR;sptinc992t;p95p100;1973;0.2204;992;t
US-OR;sptinc992t;p95p100;1974;0.21;992;t
US-OR;sptinc992t;p95p100;1975;0.2096;992;t
US-OR;sptinc992t;p95p100;1976;0.2026;992;t
US-OR;sptinc992t;p95p100;1977;0.2153;992;t
US-OR;sptinc992t;p95p100;1978;0.213;992;t
US-OR;sptinc992t;p95p100;1979;0.205;992;t
US-OR;sptinc992t;p95p100;1980;0.2045;992;t
US-OR;sptinc992t;p95p100;1981;0.2112;992;t
US-OR;sptinc992t;p95p100;1982;0.2138;992;t
US-OR;sptinc992t;p95p100;1983;0.2145;992;t
US-OR;sptinc992t;p95p100;1984;0.222;992;t
US-OR;sptinc992t;p95p100;1985;0.2328;992;t
US-OR;sptinc992t;p95p100;1986;0.2525;992;t
US-OR;sptinc992t;p95p100;1987;0.2314;992;t
US-OR;sptinc992t;p95p100;1988;0.2577;992;t
US-OR;sptinc992t;p95p100;1989;0.264;992;t
US-OR;sptinc992t;p95p100;1990;0.2626;992;t
US-OR;sptinc992t;p95p100;1991;0.2586;992;t
US-OR;sptinc992t;p95p100;1992;0.2696;992;t
US-OR;sptinc992t;p95p100;1993;0.2738;992;t
US-OR;sptinc992t;p95p100;1994;0.2692;992;t
US-OR;sptinc992t;p95p100;1995;0.2758;992;t
US-OR;sptinc992t;p95p100;1996;0.2884;992;t
US-OR;sptinc992t;p95p100;1997;0.3037;992;t
US-OR;sptinc992t;p95p100;1998;0.3012;992;t
US-OR;sptinc992t;p95p100;1999;0.313;992;t
US-OR;sptinc992t;p95p100;2000;0.3306;992;t
US-OR;sptinc992t;p95p100;2001;0.2904;992;t
US-OR;sptinc992t;p95p100;2002;0.289;992;t
US-OR;sptinc992t;p95p100;2003;0.2959;992;t
US-OR;sptinc992t;p95p100;2004;0.3162;992;t
US-OR;sptinc992t;p95p100;2005;0.3226;992;t
US-OR;sptinc992t;p95p100;2006;0.3326;992;t
US-OR;sptinc992t;p95p100;2007;0.3416;992;t
US-OR;sptinc992t;p95p100;2008;0.3073;992;t
US-OR;sptinc992t;p95p100;2009;0.2991;992;t
US-OR;sptinc992t;p95p100;2010;0.317;992;t
US-OR;sptinc992t;p95p100;2011;0.321;992;t
US-OR;sptinc992t;p95p100;2012;0.3328;992;t
US-OR;sptinc992t;p95p100;2013;0.3259;992;t
US-OR;sptinc992t;p95p100;2014;0.3345;992;t
US-OR;sptinc992t;p95p100;2015;0.3391;992;t
US-OR;sptinc992t;p95p100;2016;0.3437;992;t
US-OR;sptinc992t;p95p100;2017;0.3464;992;t
