country;variable;percentile;year;value;age;pop
US-PA;sptinc992t;p99.5p100;1917;0.167;992;t
US-PA;sptinc992t;p99.5p100;1918;0.1439;992;t
US-PA;sptinc992t;p99.5p100;1919;0.132;992;t
US-PA;sptinc992t;p99.5p100;1920;0.1154;992;t
US-PA;sptinc992t;p99.5p100;1921;0.1234;992;t
US-PA;sptinc992t;p99.5p100;1922;0.1364;992;t
US-PA;sptinc992t;p99.5p100;1923;0.1266;992;t
US-PA;sptinc992t;p99.5p100;1924;0.1385;992;t
US-PA;sptinc992t;p99.5p100;1925;0.1587;992;t
US-PA;sptinc992t;p99.5p100;1926;0.1626;992;t
US-PA;sptinc992t;p99.5p100;1927;0.1649;992;t
US-PA;sptinc992t;p99.5p100;1928;0.1802;992;t
US-PA;sptinc992t;p99.5p100;1929;0.1769;992;t
US-PA;sptinc992t;p99.5p100;1930;0.1299;992;t
US-PA;sptinc992t;p99.5p100;1931;0.115;992;t
US-PA;sptinc992t;p99.5p100;1932;0.1145;992;t
US-PA;sptinc992t;p99.5p100;1933;0.1197;992;t
US-PA;sptinc992t;p99.5p100;1934;0.1159;992;t
US-PA;sptinc992t;p99.5p100;1935;0.1236;992;t
US-PA;sptinc992t;p99.5p100;1936;0.1393;992;t
US-PA;sptinc992t;p99.5p100;1937;0.1238;992;t
US-PA;sptinc992t;p99.5p100;1938;0.1115;992;t
US-PA;sptinc992t;p99.5p100;1939;0.1205;992;t
US-PA;sptinc992t;p99.5p100;1940;0.124;992;t
US-PA;sptinc992t;p99.5p100;1941;0.1195;992;t
US-PA;sptinc992t;p99.5p100;1942;0.1059;992;t
US-PA;sptinc992t;p99.5p100;1943;0.0961;992;t
US-PA;sptinc992t;p99.5p100;1944;0.0866;992;t
US-PA;sptinc992t;p99.5p100;1945;0.0939;992;t
US-PA;sptinc992t;p99.5p100;1946;0.0981;992;t
US-PA;sptinc992t;p99.5p100;1947;0.0874;992;t
US-PA;sptinc992t;p99.5p100;1948;0.0904;992;t
US-PA;sptinc992t;p99.5p100;1949;0.0861;992;t
US-PA;sptinc992t;p99.5p100;1950;0.0939;992;t
US-PA;sptinc992t;p99.5p100;1951;0.092;992;t
US-PA;sptinc992t;p99.5p100;1952;0.082;992;t
US-PA;sptinc992t;p99.5p100;1953;0.0696;992;t
US-PA;sptinc992t;p99.5p100;1954;0.0787;992;t
US-PA;sptinc992t;p99.5p100;1955;0.0808;992;t
US-PA;sptinc992t;p99.5p100;1956;0.0854;992;t
US-PA;sptinc992t;p99.5p100;1957;0.0793;992;t
US-PA;sptinc992t;p99.5p100;1958;0.0798;992;t
US-PA;sptinc992t;p99.5p100;1959;0.0824;992;t
US-PA;sptinc992t;p99.5p100;1960;0.071;992;t
US-PA;sptinc992t;p99.5p100;1961;0.0746;992;t
US-PA;sptinc992t;p99.5p100;1962;0.0717;992;t
