country;variable;percentile;year;value;age;pop
US-RI;sfiinc992t;p99.9p100;1917;0.1232;992;t
US-RI;sfiinc992t;p99.9p100;1918;0.0996;992;t
US-RI;sfiinc992t;p99.9p100;1919;0.0796;992;t
US-RI;sfiinc992t;p99.9p100;1920;0.0682;992;t
US-RI;sfiinc992t;p99.9p100;1921;0.072;992;t
US-RI;sfiinc992t;p99.9p100;1922;0.0745;992;t
US-RI;sfiinc992t;p99.9p100;1923;0.0611;992;t
US-RI;sfiinc992t;p99.9p100;1924;0.0712;992;t
US-RI;sfiinc992t;p99.9p100;1925;0.0825;992;t
US-RI;sfiinc992t;p99.9p100;1926;0.075;992;t
US-RI;sfiinc992t;p99.9p100;1927;0.0813;992;t
US-RI;sfiinc992t;p99.9p100;1928;0.0984;992;t
US-RI;sfiinc992t;p99.9p100;1929;0.1031;992;t
US-RI;sfiinc992t;p99.9p100;1930;0.0724;992;t
US-RI;sfiinc992t;p99.9p100;1931;0.0646;992;t
US-RI;sfiinc992t;p99.9p100;1932;0.0663;992;t
US-RI;sfiinc992t;p99.9p100;1933;0.0613;992;t
US-RI;sfiinc992t;p99.9p100;1934;0.0652;992;t
US-RI;sfiinc992t;p99.9p100;1935;0.0657;992;t
US-RI;sfiinc992t;p99.9p100;1936;0.0774;992;t
US-RI;sfiinc992t;p99.9p100;1937;0.0694;992;t
US-RI;sfiinc992t;p99.9p100;1938;0.0516;992;t
US-RI;sfiinc992t;p99.9p100;1939;0.0593;992;t
US-RI;sfiinc992t;p99.9p100;1940;0.0623;992;t
US-RI;sfiinc992t;p99.9p100;1941;0.0559;992;t
US-RI;sfiinc992t;p99.9p100;1942;0.042;992;t
US-RI;sfiinc992t;p99.9p100;1943;0.0382;992;t
US-RI;sfiinc992t;p99.9p100;1944;0.0358;992;t
US-RI;sfiinc992t;p99.9p100;1945;0.0415;992;t
US-RI;sfiinc992t;p99.9p100;1946;0.0471;992;t
US-RI;sfiinc992t;p99.9p100;1947;0.0459;992;t
US-RI;sfiinc992t;p99.9p100;1948;0.0483;992;t
US-RI;sfiinc992t;p99.9p100;1949;0.043;992;t
US-RI;sfiinc992t;p99.9p100;1950;0.0498;992;t
US-RI;sfiinc992t;p99.9p100;1951;0.0507;992;t
US-RI;sfiinc992t;p99.9p100;1952;0.0373;992;t
US-RI;sfiinc992t;p99.9p100;1953;0.0331;992;t
US-RI;sfiinc992t;p99.9p100;1954;0.0372;992;t
US-RI;sfiinc992t;p99.9p100;1955;0.0437;992;t
US-RI;sfiinc992t;p99.9p100;1956;0.0359;992;t
US-RI;sfiinc992t;p99.9p100;1957;0.0353;992;t
US-RI;sfiinc992t;p99.9p100;1958;0.0381;992;t
US-RI;sfiinc992t;p99.9p100;1959;0.035;992;t
US-RI;sfiinc992t;p99.9p100;1960;0.033;992;t
US-RI;sfiinc992t;p99.9p100;1961;0.0326;992;t
US-RI;sfiinc992t;p99.9p100;1962;0.0305;992;t
US-RI;sfiinc992t;p99.9p100;1963;0.0275;992;t
US-RI;sfiinc992t;p99.9p100;1964;0.0396;992;t
US-RI;sfiinc992t;p99.9p100;1965;0.0338;992;t
US-RI;sfiinc992t;p99.9p100;1966;0.0338;992;t
US-RI;sfiinc992t;p99.9p100;1967;0.0356;992;t
US-RI;sfiinc992t;p99.9p100;1968;0.0364;992;t
US-RI;sfiinc992t;p99.9p100;1969;0.0327;992;t
US-RI;sfiinc992t;p99.9p100;1970;0.0242;992;t
US-RI;sfiinc992t;p99.9p100;1971;0.0259;992;t
US-RI;sfiinc992t;p99.9p100;1972;0.0345;992;t
US-RI;sfiinc992t;p99.9p100;1973;0.0256;992;t
US-RI;sfiinc992t;p99.9p100;1974;0.0247;992;t
US-RI;sfiinc992t;p99.9p100;1975;0.0245;992;t
US-RI;sfiinc992t;p99.9p100;1976;0.025;992;t
US-RI;sfiinc992t;p99.9p100;1977;0.0262;992;t
US-RI;sfiinc992t;p99.9p100;1978;0.0261;992;t
US-RI;sfiinc992t;p99.9p100;1979;0.0314;992;t
US-RI;sfiinc992t;p99.9p100;1980;0.0349;992;t
US-RI;sfiinc992t;p99.9p100;1981;0.0316;992;t
US-RI;sfiinc992t;p99.9p100;1982;0.0425;992;t
US-RI;sfiinc992t;p99.9p100;1983;0.0411;992;t
US-RI;sfiinc992t;p99.9p100;1984;0.048;992;t
US-RI;sfiinc992t;p99.9p100;1985;0.0486;992;t
US-RI;sfiinc992t;p99.9p100;1986;0.0767;992;t
US-RI;sfiinc992t;p99.9p100;1987;0.0476;992;t
US-RI;sfiinc992t;p99.9p100;1988;0.0648;992;t
US-RI;sfiinc992t;p99.9p100;1989;0.0523;992;t
US-RI;sfiinc992t;p99.9p100;1990;0.0478;992;t
