country;variable;percentile;year;value;age;pop
US-SC;sfiinc992t;p99.5p99.9;1917;0.0414;992;t
US-SC;sfiinc992t;p99.5p99.9;1918;0.0428;992;t
US-SC;sfiinc992t;p99.5p99.9;1919;0.0506;992;t
US-SC;sfiinc992t;p99.5p99.9;1920;0.0503;992;t
US-SC;sfiinc992t;p99.5p99.9;1921;0.0516;992;t
US-SC;sfiinc992t;p99.5p99.9;1922;0.0511;992;t
US-SC;sfiinc992t;p99.5p99.9;1923;0.0521;992;t
US-SC;sfiinc992t;p99.5p99.9;1924;0.0504;992;t
US-SC;sfiinc992t;p99.5p99.9;1925;0.0465;992;t
US-SC;sfiinc992t;p99.5p99.9;1926;0.0471;992;t
US-SC;sfiinc992t;p99.5p99.9;1927;0.0508;992;t
US-SC;sfiinc992t;p99.5p99.9;1928;0.0504;992;t
US-SC;sfiinc992t;p99.5p99.9;1929;0.0481;992;t
US-SC;sfiinc992t;p99.5p99.9;1930;0.0475;992;t
US-SC;sfiinc992t;p99.5p99.9;1931;0.0511;992;t
US-SC;sfiinc992t;p99.5p99.9;1932;0.0524;992;t
US-SC;sfiinc992t;p99.5p99.9;1933;0.05;992;t
US-SC;sfiinc992t;p99.5p99.9;1934;0.0514;992;t
US-SC;sfiinc992t;p99.5p99.9;1935;0.0496;992;t
US-SC;sfiinc992t;p99.5p99.9;1936;0.0561;992;t
US-SC;sfiinc992t;p99.5p99.9;1937;0.0539;992;t
US-SC;sfiinc992t;p99.5p99.9;1938;0.0522;992;t
US-SC;sfiinc992t;p99.5p99.9;1939;0.0527;992;t
US-SC;sfiinc992t;p99.5p99.9;1940;0.051;992;t
US-SC;sfiinc992t;p99.5p99.9;1941;0.0474;992;t
US-SC;sfiinc992t;p99.5p99.9;1942;0.0373;992;t
US-SC;sfiinc992t;p99.5p99.9;1943;0.0376;992;t
US-SC;sfiinc992t;p99.5p99.9;1944;0.0329;992;t
US-SC;sfiinc992t;p99.5p99.9;1945;0.0399;992;t
US-SC;sfiinc992t;p99.5p99.9;1946;0.0494;992;t
US-SC;sfiinc992t;p99.5p99.9;1947;0.0448;992;t
US-SC;sfiinc992t;p99.5p99.9;1948;0.0423;992;t
US-SC;sfiinc992t;p99.5p99.9;1949;0.0409;992;t
US-SC;sfiinc992t;p99.5p99.9;1950;0.0459;992;t
US-SC;sfiinc992t;p99.5p99.9;1951;0.0401;992;t
US-SC;sfiinc992t;p99.5p99.9;1952;0.0407;992;t
US-SC;sfiinc992t;p99.5p99.9;1953;0.0311;992;t
US-SC;sfiinc992t;p99.5p99.9;1954;0.0342;992;t
US-SC;sfiinc992t;p99.5p99.9;1955;0.0343;992;t
US-SC;sfiinc992t;p99.5p99.9;1956;0.0358;992;t
US-SC;sfiinc992t;p99.5p99.9;1957;0.0338;992;t
US-SC;sfiinc992t;p99.5p99.9;1958;0.0312;992;t
US-SC;sfiinc992t;p99.5p99.9;1959;0.0361;992;t
US-SC;sfiinc992t;p99.5p99.9;1960;0.0338;992;t
