country;variable;percentile;year;value;age;pop
US-SD;sfiinc992t;p99.5p99.9;1917;0.0327;992;t
US-SD;sfiinc992t;p99.5p99.9;1918;0.0358;992;t
US-SD;sfiinc992t;p99.5p99.9;1919;0.0351;992;t
US-SD;sfiinc992t;p99.5p99.9;1920;0.0489;992;t
US-SD;sfiinc992t;p99.5p99.9;1921;0.0399;992;t
US-SD;sfiinc992t;p99.5p99.9;1922;0.0376;992;t
US-SD;sfiinc992t;p99.5p99.9;1923;0.0333;992;t
US-SD;sfiinc992t;p99.5p99.9;1924;0.0365;992;t
US-SD;sfiinc992t;p99.5p99.9;1925;0.0392;992;t
US-SD;sfiinc992t;p99.5p99.9;1926;0.0367;992;t
US-SD;sfiinc992t;p99.5p99.9;1927;0.0392;992;t
US-SD;sfiinc992t;p99.5p99.9;1928;0.0425;992;t
US-SD;sfiinc992t;p99.5p99.9;1929;0.0423;992;t
US-SD;sfiinc992t;p99.5p99.9;1930;0.0435;992;t
US-SD;sfiinc992t;p99.5p99.9;1931;0.0552;992;t
US-SD;sfiinc992t;p99.5p99.9;1932;0.0496;992;t
US-SD;sfiinc992t;p99.5p99.9;1933;0.0682;992;t
US-SD;sfiinc992t;p99.5p99.9;1934;0.06;992;t
US-SD;sfiinc992t;p99.5p99.9;1935;0.0414;992;t
US-SD;sfiinc992t;p99.5p99.9;1936;0.0601;992;t
US-SD;sfiinc992t;p99.5p99.9;1937;0.0428;992;t
US-SD;sfiinc992t;p99.5p99.9;1938;0.0436;992;t
US-SD;sfiinc992t;p99.5p99.9;1939;0.0439;992;t
US-SD;sfiinc992t;p99.5p99.9;1940;0.0458;992;t
US-SD;sfiinc992t;p99.5p99.9;1941;0.0424;992;t
US-SD;sfiinc992t;p99.5p99.9;1942;0.0342;992;t
US-SD;sfiinc992t;p99.5p99.9;1943;0.036;992;t
US-SD;sfiinc992t;p99.5p99.9;1944;0.0295;992;t
US-SD;sfiinc992t;p99.5p99.9;1945;0.0329;992;t
US-SD;sfiinc992t;p99.5p99.9;1946;0.0381;992;t
US-SD;sfiinc992t;p99.5p99.9;1947;0.0397;992;t
US-SD;sfiinc992t;p99.5p99.9;1948;0.035;992;t
US-SD;sfiinc992t;p99.5p99.9;1949;0.0383;992;t
US-SD;sfiinc992t;p99.5p99.9;1950;0.0382;992;t
US-SD;sfiinc992t;p99.5p99.9;1951;0.0332;992;t
US-SD;sfiinc992t;p99.5p99.9;1952;0.033;992;t
US-SD;sfiinc992t;p99.5p99.9;1953;0.0298;992;t
US-SD;sfiinc992t;p99.5p99.9;1954;0.0316;992;t
US-SD;sfiinc992t;p99.5p99.9;1955;0.0324;992;t
US-SD;sfiinc992t;p99.5p99.9;1956;0.0365;992;t
US-SD;sfiinc992t;p99.5p99.9;1957;0.03;992;t
US-SD;sfiinc992t;p99.5p99.9;1958;0.0325;992;t
US-SD;sfiinc992t;p99.5p99.9;1959;0.0321;992;t
US-SD;sfiinc992t;p99.5p99.9;1960;0.0288;992;t
US-SD;sfiinc992t;p99.5p99.9;1961;0.028;992;t
US-SD;sfiinc992t;p99.5p99.9;1962;0.0277;992;t
US-SD;sfiinc992t;p99.5p99.9;1963;0.0275;992;t
US-SD;sfiinc992t;p99.5p99.9;1964;0.0363;992;t
US-SD;sfiinc992t;p99.5p99.9;1965;0.0339;992;t
US-SD;sfiinc992t;p99.5p99.9;1966;0.0287;992;t
US-SD;sfiinc992t;p99.5p99.9;1967;0.0334;992;t
