country;variable;percentile;year;value;age;pop
US-TN;sfiinc992t;p99.5p99.9;1917;0.0541;992;t
US-TN;sfiinc992t;p99.5p99.9;1918;0.0578;992;t
US-TN;sfiinc992t;p99.5p99.9;1919;0.0658;992;t
US-TN;sfiinc992t;p99.5p99.9;1920;0.0647;992;t
US-TN;sfiinc992t;p99.5p99.9;1921;0.0604;992;t
US-TN;sfiinc992t;p99.5p99.9;1922;0.0636;992;t
US-TN;sfiinc992t;p99.5p99.9;1923;0.0607;992;t
US-TN;sfiinc992t;p99.5p99.9;1924;0.0642;992;t
US-TN;sfiinc992t;p99.5p99.9;1925;0.0668;992;t
US-TN;sfiinc992t;p99.5p99.9;1926;0.0676;992;t
US-TN;sfiinc992t;p99.5p99.9;1927;0.0677;992;t
US-TN;sfiinc992t;p99.5p99.9;1928;0.0677;992;t
US-TN;sfiinc992t;p99.5p99.9;1929;0.063;992;t
US-TN;sfiinc992t;p99.5p99.9;1930;0.0609;992;t
US-TN;sfiinc992t;p99.5p99.9;1931;0.0586;992;t
US-TN;sfiinc992t;p99.5p99.9;1932;0.0616;992;t
US-TN;sfiinc992t;p99.5p99.9;1933;0.0593;992;t
US-TN;sfiinc992t;p99.5p99.9;1934;0.0612;992;t
US-TN;sfiinc992t;p99.5p99.9;1935;0.0609;992;t
US-TN;sfiinc992t;p99.5p99.9;1936;0.0709;992;t
US-TN;sfiinc992t;p99.5p99.9;1937;0.0646;992;t
US-TN;sfiinc992t;p99.5p99.9;1938;0.0654;992;t
US-TN;sfiinc992t;p99.5p99.9;1939;0.0691;992;t
US-TN;sfiinc992t;p99.5p99.9;1940;0.0699;992;t
US-TN;sfiinc992t;p99.5p99.9;1941;0.0671;992;t
US-TN;sfiinc992t;p99.5p99.9;1942;0.0583;992;t
US-TN;sfiinc992t;p99.5p99.9;1943;0.0507;992;t
US-TN;sfiinc992t;p99.5p99.9;1944;0.0434;992;t
US-TN;sfiinc992t;p99.5p99.9;1945;0.0479;992;t
US-TN;sfiinc992t;p99.5p99.9;1946;0.0581;992;t
US-TN;sfiinc992t;p99.5p99.9;1947;0.0527;992;t
US-TN;sfiinc992t;p99.5p99.9;1948;0.0468;992;t
US-TN;sfiinc992t;p99.5p99.9;1949;0.0489;992;t
US-TN;sfiinc992t;p99.5p99.9;1950;0.0541;992;t
US-TN;sfiinc992t;p99.5p99.9;1951;0.0514;992;t
US-TN;sfiinc992t;p99.5p99.9;1952;0.0448;992;t
US-TN;sfiinc992t;p99.5p99.9;1953;0.0406;992;t
US-TN;sfiinc992t;p99.5p99.9;1954;0.0416;992;t
US-TN;sfiinc992t;p99.5p99.9;1955;0.0445;992;t
US-TN;sfiinc992t;p99.5p99.9;1956;0.0446;992;t
US-TN;sfiinc992t;p99.5p99.9;1957;0.0432;992;t
US-TN;sfiinc992t;p99.5p99.9;1958;0.0453;992;t
US-TN;sfiinc992t;p99.5p99.9;1959;0.0426;992;t
US-TN;sfiinc992t;p99.5p99.9;1960;0.0429;992;t
US-TN;sfiinc992t;p99.5p99.9;1961;0.0423;992;t
US-TN;sfiinc992t;p99.5p99.9;1962;0.0447;992;t
US-TN;sfiinc992t;p99.5p99.9;1963;0.0448;992;t
US-TN;sfiinc992t;p99.5p99.9;1964;0.0453;992;t
US-TN;sfiinc992t;p99.5p99.9;1965;0.0455;992;t
US-TN;sfiinc992t;p99.5p99.9;1966;0.0432;992;t
US-TN;sfiinc992t;p99.5p99.9;1967;0.0441;992;t
US-TN;sfiinc992t;p99.5p99.9;1968;0.0438;992;t
US-TN;sfiinc992t;p99.5p99.9;1969;0.0416;992;t
US-TN;sfiinc992t;p99.5p99.9;1970;0.0396;992;t
US-TN;sfiinc992t;p99.5p99.9;1971;0.0412;992;t
US-TN;sfiinc992t;p99.5p99.9;1972;0.0419;992;t
US-TN;sfiinc992t;p99.5p99.9;1973;0.0411;992;t
US-TN;sfiinc992t;p99.5p99.9;1974;0.0366;992;t
US-TN;sfiinc992t;p99.5p99.9;1975;0.0387;992;t
US-TN;sfiinc992t;p99.5p99.9;1976;0.0395;992;t
US-TN;sfiinc992t;p99.5p99.9;1977;0.038;992;t
US-TN;sfiinc992t;p99.5p99.9;1978;0.0378;992;t
US-TN;sfiinc992t;p99.5p99.9;1979;0.0384;992;t
US-TN;sfiinc992t;p99.5p99.9;1980;0.0399;992;t
US-TN;sfiinc992t;p99.5p99.9;1981;0.0394;992;t
US-TN;sfiinc992t;p99.5p99.9;1982;0.0398;992;t
US-TN;sfiinc992t;p99.5p99.9;1983;0.0397;992;t
US-TN;sfiinc992t;p99.5p99.9;1984;0.0421;992;t
US-TN;sfiinc992t;p99.5p99.9;1985;0.0442;992;t
US-TN;sfiinc992t;p99.5p99.9;1986;0.0537;992;t
US-TN;sfiinc992t;p99.5p99.9;1987;0.0445;992;t
US-TN;sfiinc992t;p99.5p99.9;1988;0.0526;992;t
US-TN;sfiinc992t;p99.5p99.9;1989;0.0498;992;t
US-TN;sfiinc992t;p99.5p99.9;1990;0.0482;992;t
US-TN;sfiinc992t;p99.5p99.9;1991;0.0479;992;t
US-TN;sfiinc992t;p99.5p99.9;1992;0.0521;992;t
US-TN;sfiinc992t;p99.5p99.9;1993;0.0506;992;t
US-TN;sfiinc992t;p99.5p99.9;1994;0.0506;992;t
US-TN;sfiinc992t;p99.5p99.9;1995;0.0534;992;t
US-TN;sfiinc992t;p99.5p99.9;1996;0.0563;992;t
US-TN;sfiinc992t;p99.5p99.9;1997;0.058;992;t
US-TN;sfiinc992t;p99.5p99.9;1998;0.0574;992;t
US-TN;sfiinc992t;p99.5p99.9;1999;0.0567;992;t
US-TN;sfiinc992t;p99.5p99.9;2000;0.0545;992;t
US-TN;sfiinc992t;p99.5p99.9;2001;0.0533;992;t
US-TN;sfiinc992t;p99.5p99.9;2002;0.0517;992;t
US-TN;sfiinc992t;p99.5p99.9;2003;0.0539;992;t
US-TN;sfiinc992t;p99.5p99.9;2004;0.0581;992;t
US-TN;sfiinc992t;p99.5p99.9;2005;0.0609;992;t
US-TN;sfiinc992t;p99.5p99.9;2006;0.0658;992;t
US-TN;sfiinc992t;p99.5p99.9;2007;0.0657;992;t
US-TN;sfiinc992t;p99.5p99.9;2008;0.0578;992;t
US-TN;sfiinc992t;p99.5p99.9;2009;0.0529;992;t
US-TN;sfiinc992t;p99.5p99.9;2010;0.056;992;t
US-TN;sfiinc992t;p99.5p99.9;2011;0.0567;992;t
US-TN;sfiinc992t;p99.5p99.9;2012;0.0619;992;t
US-TN;sfiinc992t;p99.5p99.9;2013;0.0574;992;t
US-TN;sfiinc992t;p99.5p99.9;2014;0.0596;992;t
US-TN;sfiinc992t;p99.5p99.9;2015;0.0607;992;t
US-TN;sfiinc992t;p99.5p99.9;2016;0.063;992;t
US-TN;sfiinc992t;p99.5p99.9;2017;0.0622;992;t
US-TN;sfiinc992t;p99.5p99.9;2018;0.0638;992;t
US-TN;afiinc992t;p0p99;1917;8153.5;992;t
US-TN;afiinc992t;p0p99;1918;7634.2;992;t
US-TN;afiinc992t;p0p99;1919;7481.6;992;t
US-TN;afiinc992t;p0p99;1920;6401.2;992;t
US-TN;afiinc992t;p0p99;1921;6117.1;992;t
US-TN;afiinc992t;p0p99;1922;6918.9;992;t
US-TN;afiinc992t;p0p99;1923;7689.1;992;t
US-TN;afiinc992t;p0p99;1924;7556.2;992;t
