country;variable;percentile;year;value;age;pop
US-TX;npopul992t;p0p100;1917;1653864.0;992;t
US-TX;npopul992t;p0p100;1918;1665868.0;992;t
US-TX;npopul992t;p0p100;1919;1700081.0;992;t
US-TX;npopul992t;p0p100;1920;1745130.0;992;t
US-TX;npopul992t;p0p100;1921;1802558.0;992;t
US-TX;npopul992t;p0p100;1922;1851495.0;992;t
US-TX;npopul992t;p0p100;1923;1907814.0;992;t
US-TX;npopul992t;p0p100;1924;1969645.0;992;t
US-TX;npopul992t;p0p100;1925;2024819.0;992;t
US-TX;npopul992t;p0p100;1926;2078176.0;992;t
US-TX;npopul992t;p0p100;1927;2133592.0;992;t
US-TX;npopul992t;p0p100;1928;2186863.0;992;t
US-TX;npopul992t;p0p100;1929;2236918.0;992;t
US-TX;npopul992t;p0p100;1930;2288586.0;992;t
US-TX;npopul992t;p0p100;1931;2331566.0;992;t
US-TX;npopul992t;p0p100;1932;2372209.0;992;t
US-TX;npopul992t;p0p100;1933;2412343.0;992;t
US-TX;npopul992t;p0p100;1934;2454257.0;992;t
US-TX;npopul992t;p0p100;1935;2498491.0;992;t
US-TX;npopul992t;p0p100;1936;2542035.0;992;t
US-TX;npopul992t;p0p100;1937;2585707.0;992;t
US-TX;npopul992t;p0p100;1938;2634774.0;992;t
US-TX;npopul992t;p0p100;1939;2685843.0;992;t
US-TX;npopul992t;p0p100;1940;2741738.0;992;t
US-TX;npopul992t;p0p100;1941;2772655.0;992;t
US-TX;npopul992t;p0p100;1942;2806825.0;992;t
US-TX;npopul992t;p0p100;1943;2849354.0;992;t
US-TX;npopul992t;p0p100;1944;2886792.0;992;t
US-TX;npopul992t;p0p100;1945;2921066.0;992;t
US-TX;npopul992t;p0p100;1946;2953322.0;992;t
US-TX;npopul992t;p0p100;1947;3011681.0;992;t
US-TX;npopul992t;p0p100;1948;3064578.0;992;t
US-TX;npopul992t;p0p100;1949;3117893.0;992;t
US-TX;npopul992t;p0p100;1950;3181497.0;992;t
US-TX;npopul992t;p0p100;1951;3223608.0;992;t
US-TX;npopul992t;p0p100;1952;3266105.0;992;t
US-TX;npopul992t;p0p100;1953;3306627.0;992;t
US-TX;npopul992t;p0p100;1954;3350362.0;992;t
US-TX;npopul992t;p0p100;1955;3394216.0;992;t
US-TX;npopul992t;p0p100;1956;3438190.0;992;t
US-TX;npopul992t;p0p100;1957;3483091.0;992;t
US-TX;npopul992t;p0p100;1958;3522948.0;992;t
US-TX;npopul992t;p0p100;1959;3562457.0;992;t
US-TX;npopul992t;p0p100;1960;3598450.0;992;t
US-TX;npopul992t;p0p100;1961;3680324.0;992;t
US-TX;npopul992t;p0p100;1962;3759392.0;992;t
US-TX;npopul992t;p0p100;1963;3836237.0;992;t
US-TX;npopul992t;p0p100;1964;3912540.0;992;t
US-TX;npopul992t;p0p100;1965;3984674.0;992;t
US-TX;npopul992t;p0p100;1966;4054122.0;992;t
US-TX;npopul992t;p0p100;1967;4121886.0;992;t
US-TX;npopul992t;p0p100;1968;4186838.0;992;t
US-TX;npopul992t;p0p100;1969;4251743.0;992;t
US-TX;npopul992t;p0p100;1970;4325607.0;992;t
US-TX;npopul992t;p0p100;1971;4461045.0;992;t
US-TX;npopul992t;p0p100;1972;4592136.0;992;t
US-TX;npopul992t;p0p100;1973;4721906.0;992;t
US-TX;npopul992t;p0p100;1974;4853714.0;992;t
US-TX;npopul992t;p0p100;1975;4993182.0;992;t
US-TX;npopul992t;p0p100;1976;5135206.0;992;t
US-TX;npopul992t;p0p100;1977;5284629.0;992;t
