country;variable;percentile;year;value;age;pop
US-UT;afiinc992t;p0p90;1917;10472.4;992;t
US-UT;afiinc992t;p0p90;1918;10191.4;992;t
US-UT;afiinc992t;p0p90;1919;10456.6;992;t
US-UT;afiinc992t;p0p90;1920;8788.3;992;t
US-UT;afiinc992t;p0p90;1921;7248.0;992;t
US-UT;afiinc992t;p0p90;1922;8428.2;992;t
US-UT;afiinc992t;p0p90;1923;9324.0;992;t
US-UT;afiinc992t;p0p90;1924;8820.5;992;t
US-UT;afiinc992t;p0p90;1925;9277.9;992;t
US-UT;afiinc992t;p0p90;1926;9944.1;992;t
US-UT;afiinc992t;p0p90;1927;10026.6;992;t
US-UT;afiinc992t;p0p90;1928;10213.1;992;t
US-UT;afiinc992t;p0p90;1929;10542.8;992;t
US-UT;afiinc992t;p0p90;1930;9463.4;992;t
US-UT;afiinc992t;p0p90;1931;6892.5;992;t
US-UT;afiinc992t;p0p90;1932;6304.2;992;t
US-UT;afiinc992t;p0p90;1933;6412.1;992;t
US-UT;afiinc992t;p0p90;1934;5965.7;992;t
US-UT;afiinc992t;p0p90;1935;7873.7;992;t
US-UT;afiinc992t;p0p90;1936;9228.6;992;t
US-UT;afiinc992t;p0p90;1937;7853.3;992;t
US-UT;afiinc992t;p0p90;1938;8270.0;992;t
US-UT;afiinc992t;p0p90;1939;8532.9;992;t
US-UT;afiinc992t;p0p90;1940;8432.1;992;t
US-UT;afiinc992t;p0p90;1941;10178.2;992;t
US-UT;afiinc992t;p0p90;1942;17373.6;992;t
US-UT;afiinc992t;p0p90;1943;24402.4;992;t
US-UT;afiinc992t;p0p90;1944;19807.5;992;t
US-UT;afiinc992t;p0p90;1945;19008.6;992;t
US-UT;afiinc992t;p0p90;1946;16913.4;992;t
US-UT;afiinc992t;p0p90;1947;16562.7;992;t
US-UT;afiinc992t;p0p90;1948;17270.8;992;t
US-UT;afiinc992t;p0p90;1949;17799.6;992;t
US-UT;afiinc992t;p0p90;1950;19264.6;992;t
US-UT;afiinc992t;p0p90;1952;21123.4;992;t
US-UT;afiinc992t;p0p90;1953;21396.7;992;t
US-UT;afiinc992t;p0p90;1954;20405.2;992;t
US-UT;afiinc992t;p0p90;1955;22494.9;992;t
US-UT;afiinc992t;p0p90;1956;23368.6;992;t
US-UT;afiinc992t;p0p90;1957;23403.2;992;t
US-UT;afiinc992t;p0p90;1958;23497.6;992;t
US-UT;afiinc992t;p0p90;1959;24487.5;992;t
US-UT;afiinc992t;p0p90;1960;25931.0;992;t
US-UT;afiinc992t;p0p90;1961;27205.0;992;t
US-UT;afiinc992t;p0p90;1962;28832.2;992;t
US-UT;afiinc992t;p0p90;1963;28869.8;992;t
US-UT;afiinc992t;p0p90;1964;29078.7;992;t
US-UT;afiinc992t;p0p90;1965;29643.3;992;t
US-UT;afiinc992t;p0p90;1966;31079.1;992;t
US-UT;afiinc992t;p0p90;1967;31230.9;992;t
US-UT;afiinc992t;p0p90;1968;31047.1;992;t
US-UT;afiinc992t;p0p90;1969;31310.9;992;t
US-UT;afiinc992t;p0p90;1970;32368.4;992;t
US-UT;afiinc992t;p0p90;1971;33062.2;992;t
US-UT;afiinc992t;p0p90;1972;34750.4;992;t
US-UT;afiinc992t;p0p90;1973;34677.8;992;t
US-UT;afiinc992t;p0p90;1974;34400.9;992;t
US-UT;afiinc992t;p0p90;1975;32785.7;992;t
US-UT;afiinc992t;p0p90;1976;34882.3;992;t
US-UT;afiinc992t;p0p90;1977;35218.9;992;t
US-UT;afiinc992t;p0p90;1978;36801.3;992;t
US-UT;afiinc992t;p0p90;1979;37743.1;992;t
US-UT;afiinc992t;p0p90;1980;36966.9;992;t
US-UT;afiinc992t;p0p90;1981;36701.6;992;t
US-UT;afiinc992t;p0p90;1982;34219.9;992;t
US-UT;afiinc992t;p0p90;1983;35263.0;992;t
US-UT;afiinc992t;p0p90;1984;35496.1;992;t
