country;variable;percentile;year;value;age;pop
US-VA;sfiinc992t;p95p100;1917;0.2473;992;t
US-VA;sfiinc992t;p95p100;1918;0.2774;992;t
US-VA;sfiinc992t;p95p100;1919;0.286;992;t
US-VA;sfiinc992t;p95p100;1920;0.2805;992;t
US-VA;sfiinc992t;p95p100;1921;0.3028;992;t
US-VA;sfiinc992t;p95p100;1922;0.2941;992;t
US-VA;sfiinc992t;p95p100;1923;0.2882;992;t
US-VA;sfiinc992t;p95p100;1924;0.2922;992;t
US-VA;sfiinc992t;p95p100;1925;0.2569;992;t
US-VA;sfiinc992t;p95p100;1926;0.2624;992;t
US-VA;sfiinc992t;p95p100;1927;0.2581;992;t
US-VA;sfiinc992t;p95p100;1928;0.2607;992;t
US-VA;sfiinc992t;p95p100;1929;0.2482;992;t
US-VA;sfiinc992t;p95p100;1930;0.263;992;t
US-VA;sfiinc992t;p95p100;1931;0.2477;992;t
US-VA;sfiinc992t;p95p100;1932;0.2863;992;t
US-VA;sfiinc992t;p95p100;1933;0.2709;992;t
US-VA;sfiinc992t;p95p100;1934;0.2835;992;t
US-VA;sfiinc992t;p95p100;1935;0.2873;992;t
US-VA;sfiinc992t;p95p100;1936;0.3136;992;t
US-VA;sfiinc992t;p95p100;1937;0.2996;992;t
US-VA;sfiinc992t;p95p100;1938;0.3;992;t
US-VA;sfiinc992t;p95p100;1939;0.3066;992;t
US-VA;sfiinc992t;p95p100;1940;0.3078;992;t
US-VA;sfiinc992t;p95p100;1941;0.2538;992;t
US-VA;sfiinc992t;p95p100;1942;0.182;992;t
US-VA;sfiinc992t;p95p100;1943;0.1848;992;t
US-VA;sfiinc992t;p95p100;1944;0.1649;992;t
US-VA;sfiinc992t;p95p100;1945;0.1783;992;t
US-VA;sfiinc992t;p95p100;1946;0.2048;992;t
US-VA;sfiinc992t;p95p100;1947;0.2348;992;t
US-VA;sfiinc992t;p95p100;1948;0.2128;992;t
US-VA;sfiinc992t;p95p100;1949;0.2128;992;t
US-VA;sfiinc992t;p95p100;1950;0.2127;992;t
US-VA;sfiinc992t;p95p100;1951;0.219;992;t
US-VA;sfiinc992t;p95p100;1952;0.1912;992;t
US-VA;sfiinc992t;p95p100;1953;0.1849;992;t
US-VA;sfiinc992t;p95p100;1954;0.1965;992;t
US-VA;sfiinc992t;p95p100;1955;0.1994;992;t
US-VA;sfiinc992t;p95p100;1956;0.2003;992;t
US-VA;sfiinc992t;p95p100;1957;0.1921;992;t
US-VA;sfiinc992t;p95p100;1958;0.1971;992;t
US-VA;sfiinc992t;p95p100;1959;0.1967;992;t
US-VA;sfiinc992t;p95p100;1960;0.204;992;t
US-VA;sfiinc992t;p95p100;1961;0.205;992;t
US-VA;sfiinc992t;p95p100;1962;0.2025;992;t
US-VA;sfiinc992t;p95p100;1963;0.2066;992;t
US-VA;sfiinc992t;p95p100;1964;0.2087;992;t
US-VA;sfiinc992t;p95p100;1965;0.214;992;t
US-VA;sfiinc992t;p95p100;1966;0.2098;992;t
US-VA;sfiinc992t;p95p100;1967;0.2086;992;t
US-VA;sfiinc992t;p95p100;1968;0.2095;992;t
US-VA;sfiinc992t;p95p100;1969;0.1995;992;t
US-VA;sfiinc992t;p95p100;1970;0.1981;992;t
US-VA;sfiinc992t;p95p100;1971;0.2011;992;t
US-VA;sfiinc992t;p95p100;1972;0.2061;992;t
US-VA;sfiinc992t;p95p100;1973;0.2044;992;t
US-VA;sfiinc992t;p95p100;1974;0.2112;992;t
US-VA;sfiinc992t;p95p100;1975;0.1993;992;t
US-VA;sfiinc992t;p95p100;1976;0.1974;992;t
US-VA;sfiinc992t;p95p100;1977;0.194;992;t
US-VA;sfiinc992t;p95p100;1978;0.1959;992;t
US-VA;sfiinc992t;p95p100;1979;0.2019;992;t
US-VA;sfiinc992t;p95p100;1980;0.2024;992;t
US-VA;sfiinc992t;p95p100;1981;0.2029;992;t
US-VA;sfiinc992t;p95p100;1982;0.223;992;t
US-VA;sfiinc992t;p95p100;1983;0.2041;992;t
US-VA;sfiinc992t;p95p100;1984;0.2192;992;t
US-VA;sfiinc992t;p95p100;1985;0.2298;992;t
US-VA;sfiinc992t;p95p100;1986;0.2548;992;t
US-VA;sfiinc992t;p95p100;1987;0.226;992;t
US-VA;sfiinc992t;p95p100;1988;0.251;992;t
US-VA;sfiinc992t;p95p100;1989;0.2469;992;t
US-VA;sfiinc992t;p95p100;1990;0.2356;992;t
US-VA;sfiinc992t;p95p100;1991;0.2325;992;t
US-VA;sfiinc992t;p95p100;1992;0.2452;992;t
US-VA;sfiinc992t;p95p100;1993;0.2448;992;t
US-VA;sfiinc992t;p95p100;1994;0.2465;992;t
US-VA;sfiinc992t;p95p100;1995;0.2604;992;t
US-VA;sfiinc992t;p95p100;1996;0.2785;992;t
US-VA;sfiinc992t;p95p100;1997;0.2764;992;t
