country;variable;percentile;year;value;age;pop
US-VT;sfiinc992t;p95p99;1917;0.1131;992;t
US-VT;sfiinc992t;p95p99;1918;0.1327;992;t
US-VT;sfiinc992t;p95p99;1919;0.1408;992;t
US-VT;sfiinc992t;p95p99;1920;0.1358;992;t
US-VT;sfiinc992t;p95p99;1921;0.1485;992;t
US-VT;sfiinc992t;p95p99;1922;0.1475;992;t
US-VT;sfiinc992t;p95p99;1923;0.1402;992;t
US-VT;sfiinc992t;p95p99;1924;0.1491;992;t
US-VT;sfiinc992t;p95p99;1925;0.1362;992;t
US-VT;sfiinc992t;p95p99;1926;0.1289;992;t
US-VT;sfiinc992t;p95p99;1927;0.1309;992;t
US-VT;sfiinc992t;p95p99;1928;0.1352;992;t
US-VT;sfiinc992t;p95p99;1929;0.1353;992;t
US-VT;sfiinc992t;p95p99;1930;0.1404;992;t
US-VT;sfiinc992t;p95p99;1931;0.1555;992;t
US-VT;sfiinc992t;p95p99;1932;0.1758;992;t
US-VT;sfiinc992t;p95p99;1933;0.1665;992;t
US-VT;sfiinc992t;p95p99;1934;0.1643;992;t
US-VT;sfiinc992t;p95p99;1935;0.153;992;t
US-VT;sfiinc992t;p95p99;1936;0.1479;992;t
US-VT;sfiinc992t;p95p99;1937;0.1497;992;t
US-VT;sfiinc992t;p95p99;1938;0.153;992;t
US-VT;sfiinc992t;p95p99;1939;0.1583;992;t
US-VT;sfiinc992t;p95p99;1940;0.1503;992;t
US-VT;sfiinc992t;p95p99;1941;0.1328;992;t
US-VT;sfiinc992t;p95p99;1942;0.1198;992;t
US-VT;sfiinc992t;p95p99;1943;0.115;992;t
US-VT;sfiinc992t;p95p99;1944;0.117;992;t
US-VT;sfiinc992t;p95p99;1945;0.1243;992;t
US-VT;sfiinc992t;p95p99;1946;0.1176;992;t
US-VT;sfiinc992t;p95p99;1947;0.1183;992;t
US-VT;sfiinc992t;p95p99;1948;0.1291;992;t
US-VT;sfiinc992t;p95p99;1949;0.1186;992;t
US-VT;sfiinc992t;p95p99;1950;0.1298;992;t
US-VT;sfiinc992t;p95p99;1951;0.119;992;t
US-VT;sfiinc992t;p95p99;1952;0.1123;992;t
US-VT;sfiinc992t;p95p99;1953;0.1206;992;t
US-VT;sfiinc992t;p95p99;1954;0.1191;992;t
US-VT;sfiinc992t;p95p99;1955;0.1133;992;t
US-VT;sfiinc992t;p95p99;1956;0.1261;992;t
US-VT;sfiinc992t;p95p99;1957;0.1163;992;t
US-VT;sfiinc992t;p95p99;1958;0.1129;992;t
US-VT;sfiinc992t;p95p99;1959;0.1195;992;t
US-VT;sfiinc992t;p95p99;1960;0.1227;992;t
US-VT;sfiinc992t;p95p99;1961;0.1141;992;t
US-VT;sfiinc992t;p95p99;1962;0.1223;992;t
US-VT;sfiinc992t;p95p99;1963;0.1304;992;t
