country;variable;percentile;year;value;age;pop
US-WA;afiinc992t;p99.5p100;1917;291068.3;992;t
US-WA;afiinc992t;p99.5p100;1918;261048.6;992;t
US-WA;afiinc992t;p99.5p100;1919;276738.5;992;t
US-WA;afiinc992t;p99.5p100;1920;189719.2;992;t
US-WA;afiinc992t;p99.5p100;1921;160663.8;992;t
US-WA;afiinc992t;p99.5p100;1922;189773.8;992;t
US-WA;afiinc992t;p99.5p100;1923;197837.8;992;t
US-WA;afiinc992t;p99.5p100;1924;213062.9;992;t
US-WA;afiinc992t;p99.5p100;1925;240007.5;992;t
US-WA;afiinc992t;p99.5p100;1926;239573.8;992;t
US-WA;afiinc992t;p99.5p100;1927;248075.7;992;t
US-WA;afiinc992t;p99.5p100;1928;303193.9;992;t
US-WA;afiinc992t;p99.5p100;1929;365183.4;992;t
US-WA;afiinc992t;p99.5p100;1930;243098.6;992;t
US-WA;afiinc992t;p99.5p100;1931;187455.2;992;t
US-WA;afiinc992t;p99.5p100;1932;142690.3;992;t
US-WA;afiinc992t;p99.5p100;1933;146507.9;992;t
US-WA;afiinc992t;p99.5p100;1934;173454.8;992;t
US-WA;afiinc992t;p99.5p100;1935;200541.7;992;t
US-WA;afiinc992t;p99.5p100;1936;268368.4;992;t
US-WA;afiinc992t;p99.5p100;1937;253721.8;992;t
US-WA;afiinc992t;p99.5p100;1938;202077.0;992;t
US-WA;afiinc992t;p99.5p100;1939;222439.4;992;t
US-WA;afiinc992t;p99.5p100;1940;259274.6;992;t
US-WA;afiinc992t;p99.5p100;1941;331988.9;992;t
US-WA;afiinc992t;p99.5p100;1942;383332.0;992;t
US-WA;afiinc992t;p99.5p100;1943;437157.2;992;t
US-WA;afiinc992t;p99.5p100;1944;344710.8;992;t
US-WA;afiinc992t;p99.5p100;1945;350510.0;992;t
US-WA;afiinc992t;p99.5p100;1946;362953.9;992;t
US-WA;afiinc992t;p99.5p100;1947;333169.9;992;t
US-WA;afiinc992t;p99.5p100;1948;394557.5;992;t
US-WA;afiinc992t;p99.5p100;1949;329671.9;992;t
US-WA;afiinc992t;p99.5p100;1950;412503.1;992;t
US-WA;afiinc992t;p99.5p100;1951;454722.2;992;t
US-WA;afiinc992t;p99.5p100;1952;359624.1;992;t
US-WA;afiinc992t;p99.5p100;1953;335072.3;992;t
US-WA;afiinc992t;p99.5p100;1954;346893.3;992;t
US-WA;afiinc992t;p99.5p100;1955;399446.0;992;t
US-WA;afiinc992t;p99.5p100;1956;371834.6;992;t
US-WA;afiinc992t;p99.5p100;1957;355172.4;992;t
US-WA;afiinc992t;p99.5p100;1958;371260.3;992;t
US-WA;afiinc992t;p99.5p100;1959;397623.8;992;t
US-WA;afiinc992t;p99.5p100;1960;350036.9;992;t
US-WA;afiinc992t;p99.5p100;1961;384548.1;992;t
US-WA;afiinc992t;p99.5p100;1962;373204.3;992;t
US-WA;afiinc992t;p99.5p100;1963;384040.2;992;t
US-WA;afiinc992t;p99.5p100;1964;429963.5;992;t
US-WA;afiinc992t;p99.5p100;1965;450498.9;992;t
US-WA;afiinc992t;p99.5p100;1966;460572.3;992;t
US-WA;afiinc992t;p99.5p100;1967;508727.2;992;t
US-WA;afiinc992t;p99.5p100;1968;553756.0;992;t
US-WA;afiinc992t;p99.5p100;1969;505759.0;992;t
US-WA;afiinc992t;p99.5p100;1970;426414.1;992;t
US-WA;afiinc992t;p99.5p100;1971;443873.1;992;t
US-WA;afiinc992t;p99.5p100;1972;468947.2;992;t
US-WA;afiinc992t;p99.5p100;1973;495844.0;992;t
US-WA;afiinc992t;p99.5p100;1974;517068.0;992;t
US-WA;afiinc992t;p99.5p100;1975;457026.0;992;t
US-WA;afiinc992t;p99.5p100;1976;462978.3;992;t
US-WA;afiinc992t;p99.5p100;1977;494625.8;992;t
US-WA;afiinc992t;p99.5p100;1978;517492.3;992;t
US-WA;afiinc992t;p99.5p100;1979;620779.8;992;t
US-WA;afiinc992t;p99.5p100;1980;593474.9;992;t
US-WA;afiinc992t;p99.5p100;1981;550649.4;992;t
US-WA;afiinc992t;p99.5p100;1982;621628.4;992;t
US-WA;afiinc992t;p99.5p100;1983;579227.2;992;t
US-WA;afiinc992t;p99.5p100;1984;679903.9;992;t
US-WA;afiinc992t;p99.5p100;1985;727201.1;992;t
US-WA;afiinc992t;p99.5p100;1986;1004838.6;992;t
US-WA;afiinc992t;p99.5p100;1987;742698.3;992;t
US-WA;afiinc992t;p99.5p100;1988;1021727.2;992;t
US-WA;afiinc992t;p99.5p100;1989;1007330.6;992;t
US-WA;afiinc992t;p99.5p100;1990;1118307.5;992;t
US-WA;afiinc992t;p99.5p100;1991;1010591.6;992;t
US-WA;afiinc992t;p99.5p100;1992;1169798.2;992;t
US-WA;afiinc992t;p99.5p100;1993;1003490.3;992;t
US-WA;afiinc992t;p99.5p100;1994;1068803.0;992;t
US-WA;afiinc992t;p99.5p100;1995;1195475.1;992;t
US-WA;afiinc992t;p99.5p100;1996;1431702.1;992;t
US-WA;afiinc992t;p99.5p100;1997;1749936.5;992;t
US-WA;afiinc992t;p99.5p100;1998;2422659.0;992;t
US-WA;afiinc992t;p99.5p100;1999;3263861.9;992;t
US-WA;afiinc992t;p99.5p100;2000;3012235.0;992;t
US-WA;afiinc992t;p99.5p100;2001;1861620.5;992;t
US-WA;afiinc992t;p99.5p100;2002;1635737.0;992;t
US-WA;afiinc992t;p99.5p100;2003;1693864.9;992;t
US-WA;afiinc992t;p99.5p100;2004;1966011.4;992;t
US-WA;afiinc992t;p99.5p100;2005;2247300.3;992;t
US-WA;afiinc992t;p99.5p100;2006;2468898.0;992;t
US-WA;afiinc992t;p99.5p100;2007;2787205.2;992;t
US-WA;afiinc992t;p99.5p100;2008;2060105.7;992;t
US-WA;afiinc992t;p99.5p100;2009;1511472.9;992;t
US-WA;afiinc992t;p99.5p100;2010;1691193.3;992;t
US-WA;afiinc992t;p99.5p100;2011;1768289.2;992;t
US-WA;afiinc992t;p99.5p100;2012;2346752.4;992;t
US-WA;afiinc992t;p99.5p100;2013;1878446.9;992;t
US-WA;afiinc992t;p99.5p100;2014;2320762.7;992;t
US-WA;afiinc992t;p99.5p100;2015;2454751.6;992;t
US-WA;afiinc992t;p99.5p100;2016;2630191.7;992;t
US-WA;afiinc992t;p99.5p100;2017;2579370.5;992;t
US-WA;afiinc992t;p99.5p100;2018;2710451.6;992;t
US-WA;sptinc992t;p99p99.5;1917;0.0287;992;t
US-WA;sptinc992t;p99p99.5;1918;0.031;992;t
US-WA;sptinc992t;p99p99.5;1919;0.0337;992;t
US-WA;sptinc992t;p99p99.5;1920;0.029;992;t
US-WA;sptinc992t;p99p99.5;1921;0.024;992;t
US-WA;sptinc992t;p99p99.5;1922;0.0242;992;t
US-WA;sptinc992t;p99p99.5;1923;0.0217;992;t
US-WA;sptinc992t;p99p99.5;1924;0.026;992;t
US-WA;sptinc992t;p99p99.5;1925;0.028;992;t
US-WA;sptinc992t;p99p99.5;1926;0.0285;992;t
US-WA;sptinc992t;p99p99.5;1927;0.0294;992;t
US-WA;sptinc992t;p99p99.5;1928;0.0309;992;t
US-WA;sptinc992t;p99p99.5;1929;0.0315;992;t
US-WA;sptinc992t;p99p99.5;1930;0.0314;992;t
US-WA;sptinc992t;p99p99.5;1931;0.0327;992;t
US-WA;sptinc992t;p99p99.5;1932;0.0324;992;t
US-WA;sptinc992t;p99p99.5;1933;0.0331;992;t
US-WA;sptinc992t;p99p99.5;1934;0.0347;992;t
US-WA;sptinc992t;p99p99.5;1935;0.0354;992;t
US-WA;sptinc992t;p99p99.5;1936;0.036;992;t
US-WA;sptinc992t;p99p99.5;1937;0.0344;992;t
US-WA;sptinc992t;p99p99.5;1938;0.0324;992;t
US-WA;sptinc992t;p99p99.5;1939;0.036;992;t
US-WA;sptinc992t;p99p99.5;1940;0.0357;992;t
US-WA;sptinc992t;p99p99.5;1941;0.032;992;t
US-WA;sptinc992t;p99p99.5;1942;0.0276;992;t
US-WA;sptinc992t;p99p99.5;1943;0.0245;992;t
US-WA;sptinc992t;p99p99.5;1944;0.0211;992;t
US-WA;sptinc992t;p99p99.5;1945;0.0235;992;t
US-WA;sptinc992t;p99p99.5;1946;0.0267;992;t
US-WA;sptinc992t;p99p99.5;1947;0.0266;992;t
US-WA;sptinc992t;p99p99.5;1948;0.0289;992;t
US-WA;sptinc992t;p99p99.5;1949;0.0257;992;t
US-WA;sptinc992t;p99p99.5;1950;0.0285;992;t
US-WA;sptinc992t;p99p99.5;1951;0.0319;992;t
US-WA;sptinc992t;p99p99.5;1952;0.0263;992;t
US-WA;sptinc992t;p99p99.5;1953;0.0242;992;t
US-WA;sptinc992t;p99p99.5;1954;0.0245;992;t
US-WA;sptinc992t;p99p99.5;1955;0.026;992;t
US-WA;sptinc992t;p99p99.5;1956;0.0252;992;t
US-WA;sptinc992t;p99p99.5;1957;0.0261;992;t
US-WA;sptinc992t;p99p99.5;1958;0.0269;992;t
US-WA;sptinc992t;p99p99.5;1959;0.0257;992;t
US-WA;sptinc992t;p99p99.5;1960;0.0249;992;t
US-WA;sptinc992t;p99p99.5;1961;0.0264;992;t
US-WA;sptinc992t;p99p99.5;1962;0.0254;992;t
US-WA;sptinc992t;p99p99.5;1963;0.0258;992;t
US-WA;sptinc992t;p99p99.5;1964;0.028;992;t
US-WA;sptinc992t;p99p99.5;1965;0.0275;992;t
US-WA;sptinc992t;p99p99.5;1966;0.0265;992;t
US-WA;sptinc992t;p99p99.5;1967;0.0273;992;t
US-WA;sptinc992t;p99p99.5;1968;0.0274;992;t
US-WA;sptinc992t;p99p99.5;1969;0.0258;992;t
US-WA;sptinc992t;p99p99.5;1970;0.0238;992;t
US-WA;sptinc992t;p99p99.5;1971;0.0255;992;t
US-WA;sptinc992t;p99p99.5;1972;0.0257;992;t
US-WA;sptinc992t;p99p99.5;1973;0.0266;992;t
US-WA;sptinc992t;p99p99.5;1974;0.0269;992;t
US-WA;sptinc992t;p99p99.5;1975;0.0267;992;t
US-WA;sptinc992t;p99p99.5;1976;0.0265;992;t
