country;variable;percentile;year;value;age;pop
US-WI;sfiinc992t;p90p95;1917;0.0867;992;t
US-WI;sfiinc992t;p90p95;1918;0.0924;992;t
US-WI;sfiinc992t;p90p95;1919;0.0856;992;t
US-WI;sfiinc992t;p90p95;1920;0.0962;992;t
US-WI;sfiinc992t;p90p95;1921;0.1103;992;t
US-WI;sfiinc992t;p90p95;1922;0.106;992;t
US-WI;sfiinc992t;p90p95;1923;0.1181;992;t
US-WI;sfiinc992t;p90p95;1924;0.1093;992;t
US-WI;sfiinc992t;p90p95;1925;0.1198;992;t
US-WI;sfiinc992t;p90p95;1926;0.104;992;t
US-WI;sfiinc992t;p90p95;1927;0.108;992;t
US-WI;sfiinc992t;p90p95;1928;0.1014;992;t
US-WI;sfiinc992t;p90p95;1929;0.1029;992;t
US-WI;sfiinc992t;p90p95;1930;0.1217;992;t
US-WI;sfiinc992t;p90p95;1931;0.1381;992;t
US-WI;sfiinc992t;p90p95;1932;0.1313;992;t
US-WI;sfiinc992t;p90p95;1933;0.1256;992;t
US-WI;sfiinc992t;p90p95;1934;0.1136;992;t
US-WI;sfiinc992t;p90p95;1935;0.1086;992;t
US-WI;sfiinc992t;p90p95;1936;0.1025;992;t
US-WI;sfiinc992t;p90p95;1937;0.1046;992;t
US-WI;sfiinc992t;p90p95;1938;0.1087;992;t
US-WI;sfiinc992t;p90p95;1939;0.1165;992;t
US-WI;sfiinc992t;p90p95;1940;0.1305;992;t
US-WI;sfiinc992t;p90p95;1941;0.1181;992;t
US-WI;sfiinc992t;p90p95;1942;0.1089;992;t
US-WI;sfiinc992t;p90p95;1943;0.1036;992;t
US-WI;sfiinc992t;p90p95;1944;0.1015;992;t
US-WI;sfiinc992t;p90p95;1945;0.1069;992;t
US-WI;sfiinc992t;p90p95;1946;0.0997;992;t
US-WI;sfiinc992t;p90p95;1947;0.097;992;t
US-WI;sfiinc992t;p90p95;1948;0.0968;992;t
US-WI;sfiinc992t;p90p95;1949;0.0996;992;t
US-WI;sfiinc992t;p90p95;1950;0.0961;992;t
US-WI;sfiinc992t;p90p95;1951;0.0942;992;t
US-WI;sfiinc992t;p90p95;1952;0.0929;992;t
US-WI;sfiinc992t;p90p95;1953;0.0975;992;t
US-WI;sfiinc992t;p90p95;1954;0.0998;992;t
US-WI;sfiinc992t;p90p95;1955;0.0953;992;t
US-WI;sfiinc992t;p90p95;1956;0.0958;992;t
US-WI;sfiinc992t;p90p95;1957;0.1;992;t
US-WI;sfiinc992t;p90p95;1958;0.103;992;t
US-WI;sfiinc992t;p90p95;1959;0.0999;992;t
US-WI;sfiinc992t;p90p95;1960;0.1025;992;t
US-WI;sfiinc992t;p90p95;1961;0.1022;992;t
US-WI;sfiinc992t;p90p95;1962;0.1044;992;t
US-WI;sfiinc992t;p90p95;1963;0.1058;992;t
US-WI;sfiinc992t;p90p95;1964;0.1053;992;t
US-WI;sfiinc992t;p90p95;1965;0.1057;992;t
US-WI;sfiinc992t;p90p95;1966;0.1008;992;t
US-WI;sfiinc992t;p90p95;1967;0.1013;992;t
US-WI;sfiinc992t;p90p95;1968;0.1019;992;t
US-WI;sfiinc992t;p90p95;1969;0.1046;992;t
US-WI;sfiinc992t;p90p95;1970;0.1055;992;t
US-WI;sfiinc992t;p90p95;1971;0.1058;992;t
US-WI;sfiinc992t;p90p95;1972;0.1073;992;t
US-WI;sfiinc992t;p90p95;1973;0.1084;992;t
US-WI;sfiinc992t;p90p95;1974;0.1107;992;t
US-WI;sfiinc992t;p90p95;1975;0.1097;992;t
US-WI;sfiinc992t;p90p95;1976;0.11;992;t
US-WI;sfiinc992t;p90p95;1977;0.1096;992;t
US-WI;sfiinc992t;p90p95;1978;0.1101;992;t
US-WI;sfiinc992t;p90p95;1979;0.1099;992;t
US-WI;sfiinc992t;p90p95;1980;0.1157;992;t
US-WI;sfiinc992t;p90p95;1981;0.1289;992;t
US-WI;sfiinc992t;p90p95;1982;0.103;992;t
US-WI;sfiinc992t;p90p95;1983;0.1069;992;t
US-WI;sfiinc992t;p90p95;1984;0.1069;992;t
US-WI;sfiinc992t;p90p95;1985;0.1082;992;t
US-WI;sfiinc992t;p90p95;1986;0.1047;992;t
US-WI;sfiinc992t;p90p95;1987;0.1119;992;t
US-WI;sfiinc992t;p90p95;1988;0.1116;992;t
US-WI;sfiinc992t;p90p95;1989;0.112;992;t
US-WI;sfiinc992t;p90p95;1990;0.1125;992;t
US-WI;sfiinc992t;p90p95;1991;0.1167;992;t
US-WI;sfiinc992t;p90p95;1992;0.1088;992;t
US-WI;sfiinc992t;p90p95;1993;0.1099;992;t
US-WI;sfiinc992t;p90p95;1994;0.1119;992;t
US-WI;sfiinc992t;p90p95;1995;0.1142;992;t
US-WI;sfiinc992t;p90p95;1996;0.1111;992;t
US-WI;sfiinc992t;p90p95;1997;0.1088;992;t
US-WI;sfiinc992t;p90p95;1998;0.1067;992;t
US-WI;sfiinc992t;p90p95;1999;0.1072;992;t
US-WI;sfiinc992t;p90p95;2000;0.1037;992;t
US-WI;sfiinc992t;p90p95;2001;0.1074;992;t
US-WI;sfiinc992t;p90p95;2002;0.11;992;t
US-WI;sfiinc992t;p90p95;2003;0.11;992;t
US-WI;sfiinc992t;p90p95;2004;0.1052;992;t
US-WI;sfiinc992t;p90p95;2005;0.1105;992;t
US-WI;sfiinc992t;p90p95;2006;0.1128;992;t
US-WI;sfiinc992t;p90p95;2007;0.1098;992;t
US-WI;sfiinc992t;p90p95;2008;0.1172;992;t
US-WI;sfiinc992t;p90p95;2009;0.126;992;t
US-WI;sfiinc992t;p90p95;2010;0.124;992;t
US-WI;sfiinc992t;p90p95;2011;0.1222;992;t
US-WI;sfiinc992t;p90p95;2012;0.1164;992;t
US-WI;sfiinc992t;p90p95;2013;0.1169;992;t
US-WI;sfiinc992t;p90p95;2014;0.1155;992;t
US-WI;sfiinc992t;p90p95;2015;0.1152;992;t
US-WI;sfiinc992t;p90p95;2016;0.1181;992;t
US-WI;sfiinc992t;p90p95;2017;0.1215;992;t
US-WI;sfiinc992t;p90p95;2018;0.1083;992;t
US-WI;afiinc992t;p90p100;1917;48267.6;992;t
US-WI;afiinc992t;p90p100;1918;47714.0;992;t
US-WI;afiinc992t;p90p100;1919;45758.4;992;t
US-WI;afiinc992t;p90p100;1920;43149.3;992;t
US-WI;afiinc992t;p90p100;1921;44558.5;992;t
US-WI;afiinc992t;p90p100;1922;48413.3;992;t
US-WI;afiinc992t;p90p100;1923;56473.0;992;t
US-WI;afiinc992t;p90p100;1924;54134.3;992;t
US-WI;afiinc992t;p90p100;1925;58708.1;992;t
US-WI;afiinc992t;p90p100;1926;58033.5;992;t
US-WI;afiinc992t;p90p100;1927;62584.1;992;t
US-WI;afiinc992t;p90p100;1928;64729.3;992;t
US-WI;afiinc992t;p90p100;1929;63381.6;992;t
US-WI;afiinc992t;p90p100;1930;56871.7;992;t
US-WI;afiinc992t;p90p100;1931;49676.0;992;t
US-WI;afiinc992t;p90p100;1932;42527.6;992;t
US-WI;afiinc992t;p90p100;1933;38593.1;992;t
US-WI;afiinc992t;p90p100;1934;42392.7;992;t
US-WI;afiinc992t;p90p100;1935;45306.2;992;t
