country;variable;percentile;year;value;age;pop
US-WV;sfiinc992t;p95p99;1917;0.1256;992;t
US-WV;sfiinc992t;p95p99;1918;0.1641;992;t
US-WV;sfiinc992t;p95p99;1919;0.1324;992;t
US-WV;sfiinc992t;p95p99;1920;0.1338;992;t
US-WV;sfiinc992t;p95p99;1921;0.1637;992;t
US-WV;sfiinc992t;p95p99;1922;0.1547;992;t
US-WV;sfiinc992t;p95p99;1923;0.1588;992;t
US-WV;sfiinc992t;p95p99;1924;0.16;992;t
US-WV;sfiinc992t;p95p99;1925;0.1302;992;t
US-WV;sfiinc992t;p95p99;1926;0.1286;992;t
US-WV;sfiinc992t;p95p99;1927;0.1218;992;t
US-WV;sfiinc992t;p95p99;1928;0.1167;992;t
US-WV;sfiinc992t;p95p99;1929;0.1106;992;t
US-WV;sfiinc992t;p95p99;1930;0.1197;992;t
US-WV;sfiinc992t;p95p99;1931;0.1155;992;t
US-WV;sfiinc992t;p95p99;1932;0.1548;992;t
US-WV;sfiinc992t;p95p99;1933;0.1391;992;t
US-WV;sfiinc992t;p95p99;1934;0.1434;992;t
US-WV;sfiinc992t;p95p99;1935;0.1394;992;t
US-WV;sfiinc992t;p95p99;1936;0.1408;992;t
US-WV;sfiinc992t;p95p99;1937;0.15;992;t
US-WV;sfiinc992t;p95p99;1938;0.159;992;t
US-WV;sfiinc992t;p95p99;1939;0.1658;992;t
US-WV;sfiinc992t;p95p99;1940;0.1786;992;t
US-WV;sfiinc992t;p95p99;1941;0.1475;992;t
US-WV;sfiinc992t;p95p99;1942;0.1325;992;t
US-WV;sfiinc992t;p95p99;1943;0.1257;992;t
US-WV;sfiinc992t;p95p99;1944;0.1018;992;t
US-WV;sfiinc992t;p95p99;1945;0.1189;992;t
US-WV;sfiinc992t;p95p99;1946;0.1328;992;t
US-WV;sfiinc992t;p95p99;1947;0.1215;992;t
US-WV;sfiinc992t;p95p99;1948;0.1226;992;t
US-WV;sfiinc992t;p95p99;1949;0.1311;992;t
US-WV;sfiinc992t;p95p99;1950;0.1309;992;t
US-WV;sfiinc992t;p95p99;1951;0.1098;992;t
US-WV;sfiinc992t;p95p99;1952;0.121;992;t
US-WV;sfiinc992t;p95p99;1953;0.127;992;t
US-WV;sfiinc992t;p95p99;1954;0.1386;992;t
US-WV;sfiinc992t;p95p99;1955;0.1334;992;t
US-WV;sfiinc992t;p95p99;1956;0.1298;992;t
US-WV;sfiinc992t;p95p99;1957;0.1337;992;t
US-WV;sfiinc992t;p95p99;1958;0.1366;992;t
US-WV;sfiinc992t;p95p99;1959;0.1379;992;t
US-WV;sfiinc992t;p95p99;1960;0.138;992;t
US-WV;sfiinc992t;p95p99;1961;0.1396;992;t
US-WV;sfiinc992t;p95p99;1962;0.1383;992;t
US-WV;sfiinc992t;p95p99;1963;0.1391;992;t
US-WV;sfiinc992t;p95p99;1964;0.1364;992;t
US-WV;sfiinc992t;p95p99;1965;0.132;992;t
US-WV;sfiinc992t;p95p99;1966;0.1359;992;t
US-WV;sfiinc992t;p95p99;1967;0.1381;992;t
US-WV;sfiinc992t;p95p99;1968;0.139;992;t
US-WV;sfiinc992t;p95p99;1969;0.1398;992;t
