country;variable;percentile;year;value;age;pop
US-WY;sfiinc992t;p0p99;1917;0.8782;992;t
US-WY;sfiinc992t;p0p99;1918;0.8983;992;t
US-WY;sfiinc992t;p0p99;1919;0.9063;992;t
US-WY;sfiinc992t;p0p99;1920;0.9286;992;t
US-WY;sfiinc992t;p0p99;1921;0.9211;992;t
US-WY;sfiinc992t;p0p99;1922;0.9197;992;t
US-WY;sfiinc992t;p0p99;1923;0.9281;992;t
US-WY;sfiinc992t;p0p99;1924;0.9148;992;t
US-WY;sfiinc992t;p0p99;1925;0.9126;992;t
US-WY;sfiinc992t;p0p99;1926;0.9062;992;t
US-WY;sfiinc992t;p0p99;1927;0.9022;992;t
US-WY;sfiinc992t;p0p99;1928;0.8882;992;t
US-WY;sfiinc992t;p0p99;1929;0.8992;992;t
US-WY;sfiinc992t;p0p99;1930;0.9036;992;t
US-WY;sfiinc992t;p0p99;1931;0.9014;992;t
US-WY;sfiinc992t;p0p99;1932;0.902;992;t
US-WY;sfiinc992t;p0p99;1933;0.8871;992;t
US-WY;sfiinc992t;p0p99;1934;0.8814;992;t
US-WY;sfiinc992t;p0p99;1935;0.8891;992;t
US-WY;sfiinc992t;p0p99;1936;0.8762;992;t
US-WY;sfiinc992t;p0p99;1937;0.8852;992;t
US-WY;sfiinc992t;p0p99;1938;0.8942;992;t
US-WY;sfiinc992t;p0p99;1939;0.8743;992;t
US-WY;sfiinc992t;p0p99;1940;0.8677;992;t
US-WY;sfiinc992t;p0p99;1941;0.8678;992;t
US-WY;sfiinc992t;p0p99;1942;0.8808;992;t
US-WY;sfiinc992t;p0p99;1943;0.8971;992;t
US-WY;sfiinc992t;p0p99;1944;0.9107;992;t
US-WY;sfiinc992t;p0p99;1945;0.9053;992;t
US-WY;sfiinc992t;p0p99;1946;0.901;992;t
US-WY;sfiinc992t;p0p99;1947;0.9049;992;t
US-WY;sfiinc992t;p0p99;1948;0.899;992;t
US-WY;sfiinc992t;p0p99;1949;0.9196;992;t
US-WY;sfiinc992t;p0p99;1950;0.9067;992;t
US-WY;sfiinc992t;p0p99;1951;0.666;992;t
US-WY;sfiinc992t;p0p99;1952;0.9123;992;t
US-WY;sfiinc992t;p0p99;1953;0.9311;992;t
US-WY;sfiinc992t;p0p99;1954;0.9132;992;t
US-WY;sfiinc992t;p0p99;1955;0.9225;992;t
US-WY;sfiinc992t;p0p99;1956;0.9059;992;t
US-WY;sfiinc992t;p0p99;1957;0.9209;992;t
US-WY;sfiinc992t;p0p99;1958;0.9157;992;t
US-WY;sfiinc992t;p0p99;1959;0.92;992;t
US-WY;sfiinc992t;p0p99;1960;0.9226;992;t
US-WY;sfiinc992t;p0p99;1961;0.9239;992;t
US-WY;sfiinc992t;p0p99;1962;0.9221;992;t
US-WY;sfiinc992t;p0p99;1963;0.9;992;t
US-WY;sfiinc992t;p0p99;1964;0.917;992;t
US-WY;sfiinc992t;p0p99;1965;0.9175;992;t
US-WY;sfiinc992t;p0p99;1966;0.9118;992;t
US-WY;sfiinc992t;p0p99;1967;0.9172;992;t
US-WY;sfiinc992t;p0p99;1968;0.9078;992;t
US-WY;sfiinc992t;p0p99;1969;0.917;992;t
US-WY;sfiinc992t;p0p99;1970;0.9188;992;t
US-WY;sfiinc992t;p0p99;1971;0.912;992;t
US-WY;sfiinc992t;p0p99;1972;0.9241;992;t
US-WY;sfiinc992t;p0p99;1973;0.9154;992;t
US-WY;sfiinc992t;p0p99;1974;0.9123;992;t
US-WY;sfiinc992t;p0p99;1975;0.9092;992;t
US-WY;sfiinc992t;p0p99;1976;0.9169;992;t
US-WY;sfiinc992t;p0p99;1977;0.9155;992;t
US-WY;sfiinc992t;p0p99;1978;0.9162;992;t
US-WY;sfiinc992t;p0p99;1979;0.9069;992;t
US-WY;sfiinc992t;p0p99;1980;0.91;992;t
US-WY;sfiinc992t;p0p99;1981;0.9088;992;t
US-WY;sfiinc992t;p0p99;1982;0.9117;992;t
US-WY;sfiinc992t;p0p99;1983;0.9128;992;t
US-WY;sfiinc992t;p0p99;1984;0.9052;992;t
US-WY;sfiinc992t;p0p99;1985;0.9053;992;t
US-WY;sfiinc992t;p0p99;1986;0.8915;992;t
US-WY;sfiinc992t;p0p99;1987;0.9107;992;t
US-WY;sfiinc992t;p0p99;1988;0.8827;992;t
US-WY;sfiinc992t;p0p99;1989;0.8804;992;t
US-WY;sfiinc992t;p0p99;1990;0.8635;992;t
US-WY;sfiinc992t;p0p99;1991;0.8687;992;t
US-WY;sfiinc992t;p0p99;1992;0.8514;992;t
US-WY;sfiinc992t;p0p99;1993;0.8481;992;t
US-WY;sfiinc992t;p0p99;1994;0.8451;992;t
US-WY;sfiinc992t;p0p99;1995;0.8378;992;t
US-WY;sfiinc992t;p0p99;1996;0.7934;992;t
US-WY;sfiinc992t;p0p99;1997;0.7587;992;t
US-WY;sfiinc992t;p0p99;1998;0.7423;992;t
US-WY;sfiinc992t;p0p99;1999;0.7456;992;t
US-WY;sfiinc992t;p0p99;2000;0.7105;992;t
US-WY;sfiinc992t;p0p99;2001;0.7692;992;t
US-WY;sfiinc992t;p0p99;2002;0.7808;992;t
US-WY;sfiinc992t;p0p99;2003;0.7726;992;t
US-WY;sfiinc992t;p0p99;2004;0.7487;992;t
US-WY;sfiinc992t;p0p99;2005;0.7072;992;t
US-WY;sfiinc992t;p0p99;2006;0.6637;992;t
US-WY;sfiinc992t;p0p99;2007;0.657;992;t
US-WY;sfiinc992t;p0p99;2008;0.7148;992;t
US-WY;sfiinc992t;p0p99;2009;0.7954;992;t
US-WY;sfiinc992t;p0p99;2010;0.7245;992;t
US-WY;sfiinc992t;p0p99;2011;0.7847;992;t
US-WY;sfiinc992t;p0p99;2012;0.3132;992;t
US-WY;sfiinc992t;p0p99;2013;0.714;992;t
US-WY;sfiinc992t;p0p99;2014;0.7285;992;t
US-WY;sfiinc992t;p0p99;2015;0.7549;992;t
US-WY;sfiinc992t;p0p99;2016;0.7769;992;t
US-WY;sfiinc992t;p0p99;2017;0.7236;992;t
US-WY;sfiinc992t;p0p99;2018;0.7543;992;t
US-WY;sptinc992t;p0p99;1917;0.8782;992;t
US-WY;sptinc992t;p0p99;1918;0.8983;992;t
US-WY;sptinc992t;p0p99;1919;0.9063;992;t
US-WY;sptinc992t;p0p99;1920;0.9286;992;t
US-WY;sptinc992t;p0p99;1921;0.9211;992;t
US-WY;sptinc992t;p0p99;1922;0.9197;992;t
US-WY;sptinc992t;p0p99;1923;0.9281;992;t
US-WY;sptinc992t;p0p99;1924;0.9148;992;t
US-WY;sptinc992t;p0p99;1925;0.9126;992;t
US-WY;sptinc992t;p0p99;1926;0.9062;992;t
US-WY;sptinc992t;p0p99;1927;0.9022;992;t
US-WY;sptinc992t;p0p99;1928;0.8882;992;t
US-WY;sptinc992t;p0p99;1929;0.8992;992;t
US-WY;sptinc992t;p0p99;1930;0.9036;992;t
US-WY;sptinc992t;p0p99;1931;0.9014;992;t
