country;variable;percentile;year;value;age;pop
VC;afdinx999i;p0p100;1978;0.0;999;i
VC;afdinx999i;p0p100;1979;0.0;999;i
VC;afdinx999i;p0p100;1980;0.0;999;i
VC;afdinx999i;p0p100;1981;0.0;999;i
VC;afdinx999i;p0p100;1982;0.0;999;i
VC;afdinx999i;p0p100;1983;0.0;999;i
VC;afdinx999i;p0p100;1984;0.0;999;i
VC;afdinx999i;p0p100;1985;0.0;999;i
VC;afdinx999i;p0p100;1986;-465.2;999;i
VC;afdinx999i;p0p100;1987;-333.2;999;i
VC;afdinx999i;p0p100;1988;-548.7;999;i
VC;afdinx999i;p0p100;1989;-401.6;999;i
VC;afdinx999i;p0p100;1990;-608.3;999;i
VC;afdinx999i;p0p100;1991;-523.5;999;i
VC;afdinx999i;p0p100;1992;-364.9;999;i
VC;afdinx999i;p0p100;1993;-307.9;999;i
VC;afdinx999i;p0p100;1994;-460.4;999;i
VC;afdinx999i;p0p100;1995;-442.3;999;i
VC;afdinx999i;p0p100;1996;-352.1;999;i
VC;afdinx999i;p0p100;1997;-389.9;999;i
VC;afdinx999i;p0p100;1998;-394.1;999;i
VC;afdinx999i;p0p100;1999;-534.5;999;i
VC;afdinx999i;p0p100;2000;-458.6;999;i
VC;afdinx999i;p0p100;2001;-377.0;999;i
VC;afdinx999i;p0p100;2002;-503.9;999;i
VC;afdinx999i;p0p100;2003;-714.8;999;i
VC;afdinx999i;p0p100;2004;-822.9;999;i
VC;afdinx999i;p0p100;2005;-708.4;999;i
VC;afdinx999i;p0p100;2006;-714.7;999;i
VC;afdinx999i;p0p100;2007;-563.6;999;i
VC;afdinx999i;p0p100;2008;-520.8;999;i
VC;afdinx999i;p0p100;2009;-359.9;999;i
VC;afdinx999i;p0p100;2010;-307.0;999;i
VC;afdinx999i;p0p100;2011;-207.0;999;i
VC;afdinx999i;p0p100;2012;-153.2;999;i
VC;afdinx999i;p0p100;2013;-156.2;999;i
VC;afdinx999i;p0p100;2014;-627.7;999;i
VC;afdinx999i;p0p100;2015;-289.4;999;i
VC;afdinx999i;p0p100;2016;41.4;999;i
VC;afdinx999i;p0p100;2017;0.9;999;i
VC;afdinx999i;p0p100;2018;-58.1;999;i
VC;aptfop992i;p0p100;1978;59.4;992;i
VC;aptfop992i;p0p100;1979;309.3;992;i
VC;aptfop992i;p0p100;1980;391.0;992;i
VC;aptfop992i;p0p100;1981;399.5;992;i
VC;aptfop992i;p0p100;1982;483.8;992;i
VC;aptfop992i;p0p100;1983;370.3;992;i
VC;aptfop992i;p0p100;1984;424.6;992;i
VC;aptfop992i;p0p100;1985;414.3;992;i
VC;aptfop992i;p0p100;1986;348.1;992;i
VC;aptfop992i;p0p100;1987;206.7;992;i
VC;aptfop992i;p0p100;1988;539.9;992;i
VC;aptfop992i;p0p100;1989;306.0;992;i
VC;aptfop992i;p0p100;1990;219.5;992;i
VC;aptfop992i;p0p100;1991;266.2;992;i
VC;aptfop992i;p0p100;1992;300.5;992;i
VC;aptfop992i;p0p100;1993;294.3;992;i
VC;aptfop992i;p0p100;1994;289.0;992;i
VC;aptfop992i;p0p100;1995;324.5;992;i
VC;aptfop992i;p0p100;1996;268.7;992;i
VC;aptfop992i;p0p100;1997;338.0;992;i
VC;aptfop992i;p0p100;1998;381.7;992;i
VC;aptfop992i;p0p100;1999;492.3;992;i
VC;aptfop992i;p0p100;2000;599.9;992;i
VC;aptfop992i;p0p100;2001;443.2;992;i
VC;aptfop992i;p0p100;2002;331.0;992;i
VC;aptfop992i;p0p100;2003;389.9;992;i
VC;aptfop992i;p0p100;2004;520.9;992;i
VC;aptfop992i;p0p100;2005;795.9;992;i
VC;aptfop992i;p0p100;2006;787.1;992;i
VC;aptfop992i;p0p100;2007;694.9;992;i
VC;aptfop992i;p0p100;2008;671.1;992;i
VC;aptfop992i;p0p100;2009;647.3;992;i
VC;aptfop992i;p0p100;2010;586.8;992;i
VC;aptfop992i;p0p100;2011;632.8;992;i
VC;aptfop992i;p0p100;2012;496.7;992;i
VC;aptfop992i;p0p100;2013;483.4;992;i
VC;aptfop992i;p0p100;2014;365.8;992;i
VC;aptfop992i;p0p100;2015;367.6;992;i
VC;aptfop992i;p0p100;2016;322.0;992;i
VC;aptfop992i;p0p100;2017;307.3;992;i
VC;aptfop992i;p0p100;2018;315.9;992;i
VC;npopul802f;p0p100;1950;216.0;802;f
VC;npopul802f;p0p100;1951;230.0;802;f
VC;npopul802f;p0p100;1952;241.0;802;f
VC;npopul802f;p0p100;1953;249.0;802;f
VC;npopul802f;p0p100;1954;252.0;802;f
VC;npopul802f;p0p100;1955;251.0;802;f
VC;npopul802f;p0p100;1956;272.0;802;f
VC;npopul802f;p0p100;1957;304.0;802;f
VC;npopul802f;p0p100;1958;351.0;802;f
VC;npopul802f;p0p100;1959;403.0;802;f
VC;npopul802f;p0p100;1960;456.0;802;f
VC;npopul802f;p0p100;1961;464.0;802;f
VC;npopul802f;p0p100;1962;454.0;802;f
VC;npopul802f;p0p100;1963;433.0;802;f
VC;npopul802f;p0p100;1964;410.0;802;f
VC;npopul802f;p0p100;1965;384.0;802;f
VC;npopul802f;p0p100;1966;381.0;802;f
VC;npopul802f;p0p100;1967;375.0;802;f
VC;npopul802f;p0p100;1968;370.0;802;f
VC;npopul802f;p0p100;1969;367.0;802;f
VC;npopul802f;p0p100;1970;366.0;802;f
VC;npopul802f;p0p100;1971;374.0;802;f
VC;npopul802f;p0p100;1972;380.0;802;f
VC;npopul802f;p0p100;1973;383.0;802;f
VC;npopul802f;p0p100;1974;388.0;802;f
VC;npopul802f;p0p100;1975;395.0;802;f
VC;npopul802f;p0p100;1976;416.0;802;f
VC;npopul802f;p0p100;1977;439.0;802;f
VC;npopul802f;p0p100;1978;470.0;802;f
VC;npopul802f;p0p100;1979;504.0;802;f
VC;npopul802f;p0p100;1980;546.0;802;f
VC;npopul802f;p0p100;1981;580.0;802;f
