country;variable;percentile;year;value;age;pop
VG;ehfgho999i;p0p100;1990;0.05088510245961;999;i
VG;ehfgho999i;p0p100;1991;0.0505131166318919;999;i
VG;ehfgho999i;p0p100;1992;0.0535804951427438;999;i
VG;ehfgho999i;p0p100;1993;0.0551779677346456;999;i
VG;ehfgho999i;p0p100;1994;0.0535946872205791;999;i
VG;ehfgho999i;p0p100;1995;0.0559275580842595;999;i
VG;ehfgho999i;p0p100;1996;0.0560181446785953;999;i
VG;ehfgho999i;p0p100;1997;0.0563969036660714;999;i
VG;ehfgho999i;p0p100;1998;0.0563053285749214;999;i
VG;ehfgho999i;p0p100;1999;0.0570752421963097;999;i
VG;ehfgho999i;p0p100;2000;0.0579294427234318;999;i
VG;ehfgho999i;p0p100;2001;0.0579455567477209;999;i
VG;ehfgho999i;p0p100;2002;0.0581491383392375;999;i
VG;ehfgho999i;p0p100;2003;0.0598040861005766;999;i
VG;ehfgho999i;p0p100;2004;0.0613929433146714;999;i
VG;ehfgho999i;p0p100;2005;0.0629680069777186;999;i
VG;ehfgho999i;p0p100;2006;0.0643604690697571;999;i
VG;ehfgho999i;p0p100;2007;0.0658068183085966;999;i
VG;ehfgho999i;p0p100;2008;0.0674108321766579;999;i
VG;ehfgho999i;p0p100;2009;0.0680209582168665;999;i
VG;ehfgho999i;p0p100;2010;0.0682893608011428;999;i
VG;ehfgho999i;p0p100;2011;0.0655846691443571;999;i
VG;ehfgho999i;p0p100;2012;0.0650416869777127;999;i
VG;ehfgho999i;p0p100;2013;0.0662619326916387;999;i
VG;ehfgho999i;p0p100;2014;0.0680821584334713;999;i
VG;ehfgho999i;p0p100;2015;0.0692309945592947;999;i
VG;ehfgho999i;p0p100;2016;0.0700584302854186;999;i
VG;ehfgho999i;p0p100;2017;0.0708858660115423;999;i
VG;ehfgho999i;p0p100;2018;0.071713301737666;999;i
VG;ehfgho999i;p0p100;2019;0.0725407374637898;999;i
VG;ehfgho999i;p0p100;2020;0.0689137005906003;999;i
VG;knncar999i;p0p100;1990;13.0746002197266;999;i
VG;knncar999i;p0p100;1991;12.9785022735596;999;i
VG;knncar999i;p0p100;1992;12.7465095520019;999;i
VG;knncar999i;p0p100;1993;12.5864667892456;999;i
VG;knncar999i;p0p100;1994;12.2721300125122;999;i
VG;knncar999i;p0p100;1995;12.1942644119263;999;i
VG;knncar999i;p0p100;1996;11.7647972106934;999;i
VG;knncar999i;p0p100;1997;11.7399587631226;999;i
VG;knncar999i;p0p100;1998;11.7196674346924;999;i
VG;knncar999i;p0p100;1999;11.8508319854736;999;i
VG;knncar999i;p0p100;2000;11.9321546554565;999;i
VG;knncar999i;p0p100;2001;11.771861076355;999;i
VG;knncar999i;p0p100;2002;11.4256448745728;999;i
VG;knncar999i;p0p100;2003;11.0484352111816;999;i
