country;variable;percentile;year;value;age;pop
VU;knfghg999i;p0p100;1980;4.69120407104492;999;i
VU;knfghg999i;p0p100;1981;4.64247608184815;999;i
VU;knfghg999i;p0p100;1982;4.59951782226562;999;i
VU;knfghg999i;p0p100;1983;4.56000089645386;999;i
VU;knfghg999i;p0p100;1984;4.52130889892578;999;i
VU;knfghg999i;p0p100;1985;4.48103189468384;999;i
VU;knfghg999i;p0p100;1986;4.43999528884888;999;i
VU;knfghg999i;p0p100;1987;4.39841413497925;999;i
VU;knfghg999i;p0p100;1988;4.35392093658447;999;i
VU;knfghg999i;p0p100;1989;4.30411052703857;999;i
VU;knfghg999i;p0p100;1990;4.24795722961426;999;i
VU;knfghg999i;p0p100;1991;4.18449640274048;999;i
VU;knfghg999i;p0p100;1992;4.1161642074585;999;i
VU;knfghg999i;p0p100;1993;4.04860210418701;999;i
VU;knfghg999i;p0p100;1994;3.98938989639282;999;i
VU;knfghg999i;p0p100;1995;3.94158601760864;999;i
VU;knfghg999i;p0p100;1996;3.906569480896;999;i
VU;knfghg999i;p0p100;1997;3.88105821609497;999;i
VU;knfghg999i;p0p100;1998;3.85934519767761;999;i
VU;knfghg999i;p0p100;1999;3.8338782787323;999;i
VU;knfghg999i;p0p100;2000;3.80048131942749;999;i
VU;knfghg999i;p0p100;2001;3.75764203071594;999;i
VU;knfghg999i;p0p100;2002;3.70798254013061;999;i
VU;knfghg999i;p0p100;2003;3.65445470809936;999;i
VU;knfghg999i;p0p100;2004;3.60129380226135;999;i
VU;knfghg999i;p0p100;2005;3.55097889900208;999;i
VU;knfghg999i;p0p100;2006;3.50417804718018;999;i
VU;knfghg999i;p0p100;2007;3.45932674407959;999;i
VU;knfghg999i;p0p100;2008;3.41453647613525;999;i
VU;knfghg999i;p0p100;2009;3.36723041534424;999;i
VU;knfghg999i;p0p100;2010;3.3162271976471;999;i
VU;knfghg999i;p0p100;2011;3.26129913330078;999;i
VU;knfghg999i;p0p100;2012;3.20401573181152;999;i
VU;knfghg999i;p0p100;2013;3.14623260498047;999;i
VU;knfghg999i;p0p100;2014;3.09020519256592;999;i
VU;knfghg999i;p0p100;2015;3.03729844093323;999;i
VU;knfghg999i;p0p100;2016;2.98759531974792;999;i
VU;knfghg999i;p0p100;2017;2.94060492515564;999;i
VU;knfghg999i;p0p100;2018;2.89601874351502;999;i
VU;knfghg999i;p0p100;2019;2.85326051712036;999;i
VU;knfghg999i;p0p100;2020;2.59078454971314;999;i
VU;enfcar999i;p0p100;1990;0.212051262307041;999;i
VU;enfcar999i;p0p100;1991;0.214787633936855;999;i
VU;enfcar999i;p0p100;1992;0.21752400556667;999;i
VU;enfcar999i;p0p100;1993;0.220260377196484;999;i
VU;enfcar999i;p0p100;1994;0.222996748826298;999;i
VU;enfcar999i;p0p100;1995;0.225733120456112;999;i
VU;enfcar999i;p0p100;1996;0.228469492085926;999;i
