country;variable;percentile;year;value;age;pop
WO-MER;ahweal992j;p23p100;1995;40640.1;992;j
WO-MER;ahweal992j;p23p100;1996;42060.7;992;j
WO-MER;ahweal992j;p23p100;1997;43761.7;992;j
WO-MER;ahweal992j;p23p100;1998;46119.8;992;j
WO-MER;ahweal992j;p23p100;1999;48256.8;992;j
WO-MER;ahweal992j;p23p100;2000;49580.5;992;j
WO-MER;ahweal992j;p23p100;2001;49962.4;992;j
WO-MER;ahweal992j;p23p100;2002;49771.3;992;j
WO-MER;ahweal992j;p23p100;2003;51141.4;992;j
WO-MER;ahweal992j;p23p100;2004;53556.4;992;j
WO-MER;ahweal992j;p23p100;2005;56895.8;992;j
WO-MER;ahweal992j;p23p100;2006;59878.1;992;j
WO-MER;ahweal992j;p23p100;2007;62556.4;992;j
WO-MER;ahweal992j;p23p100;2008;59807.3;992;j
WO-MER;ahweal992j;p23p100;2009;58150.6;992;j
WO-MER;ahweal992j;p23p100;2010;59976.8;992;j
WO-MER;ahweal992j;p23p100;2011;60564.8;992;j
WO-MER;ahweal992j;p23p100;2012;61653.3;992;j
WO-MER;ahweal992j;p23p100;2013;64119.3;992;j
WO-MER;ahweal992j;p23p100;2014;67349.7;992;j
WO-MER;ahweal992j;p23p100;2015;69272.6;992;j
WO-MER;ahweal992j;p23p100;2016;71263.6;992;j
WO-MER;ahweal992j;p23p100;2017;73674.5;992;j
WO-MER;ahweal992j;p23p100;2018;75731.4;992;j
WO-MER;ahweal992j;p23p100;2019;77991.1;992;j
WO-MER;ahweal992j;p23p100;2020;79297.5;992;j
WO-MER;ahweal992j;p23p100;2021;86142.7;992;j
WO-MER;ahweal992j;p45p46;1995;1790.0;992;j
WO-MER;ahweal992j;p45p46;1996;1879.3;992;j
WO-MER;ahweal992j;p45p46;1997;1997.0;992;j
WO-MER;ahweal992j;p45p46;1998;2062.7;992;j
WO-MER;ahweal992j;p45p46;1999;2138.0;992;j
WO-MER;ahweal992j;p45p46;2000;2250.6;992;j
WO-MER;ahweal992j;p45p46;2001;2348.9;992;j
WO-MER;ahweal992j;p45p46;2002;2509.2;992;j
WO-MER;ahweal992j;p45p46;2003;2539.5;992;j
