country;variable;percentile;year;value;age;pop
WO;khfghn999i;p0p100;1990;2.55086207389831;999;i
WO;khfghn999i;p0p100;1991;2.49566984176636;999;i
WO;khfghn999i;p0p100;1992;2.43655610084534;999;i
WO;khfghn999i;p0p100;1993;2.38813281059265;999;i
WO;khfghn999i;p0p100;1994;2.37111663818359;999;i
WO;khfghn999i;p0p100;1995;2.39645910263061;999;i
WO;khfghn999i;p0p100;1996;2.44103312492371;999;i
WO;khfghn999i;p0p100;1997;2.43924045562744;999;i
WO;khfghn999i;p0p100;1998;2.39098024368286;999;i
WO;khfghn999i;p0p100;1999;2.38721466064453;999;i
WO;khfghn999i;p0p100;2000;2.41486406326294;999;i
WO;khfghn999i;p0p100;2001;2.37175631523132;999;i
WO;khfghn999i;p0p100;2002;2.37294363975525;999;i
WO;khfghn999i;p0p100;2003;2.39426422119141;999;i
WO;khfghn999i;p0p100;2004;2.43727207183838;999;i
WO;khfghn999i;p0p100;2005;2.4870707988739;999;i
WO;khfghn999i;p0p100;2006;2.50391674041748;999;i
WO;khfghn999i;p0p100;2007;2.50681042671204;999;i
WO;khfghn999i;p0p100;2008;2.49438285827637;999;i
WO;khfghn999i;p0p100;2009;2.40616655349731;999;i
WO;khfghn999i;p0p100;2010;2.47082734107971;999;i
WO;khfghn999i;p0p100;2011;2.50774264335632;999;i
WO;khfghn999i;p0p100;2012;2.51018333435059;999;i
WO;khfghn999i;p0p100;2013;2.47960519790649;999;i
WO;khfghn999i;p0p100;2014;2.46118950843811;999;i
WO;khfghn999i;p0p100;2015;2.41384339332581;999;i
WO;khfghn999i;p0p100;2016;2.39071989059448;999;i
WO;khfghn999i;p0p100;2017;2.39794850349426;999;i
WO;khfghn999i;p0p100;2018;2.41848921775818;999;i
WO;khfghn999i;p0p100;2019;2.38901948928833;999;i
WO;khfghn999i;p0p100;2020;2.22552418708801;999;i
WO;enfghg999i;p0p100;1980;28553.1132265839;999;i
WO;enfghg999i;p0p100;1981;27622.5641473048;999;i
WO;enfghg999i;p0p100;1982;27372.721648985;999;i
WO;enfghg999i;p0p100;1983;27520.0206194809;999;i
WO;enfghg999i;p0p100;1984;28101.6432123049;999;i
WO;enfghg999i;p0p100;1985;28710.612687188;999;i
WO;enfghg999i;p0p100;1986;28775.8821134084;999;i
WO;enfghg999i;p0p100;1987;29633.1511226114;999;i
WO;enfghg999i;p0p100;1988;30723.8369430171;999;i
WO;enfghg999i;p0p100;1989;31300.5780216633;999;i
WO;enfghg999i;p0p100;1990;30505.7253271699;999;i
WO;enfghg999i;p0p100;1991;30437.6402333597;999;i
WO;enfghg999i;p0p100;1992;30096.4134489025;999;i
WO;enfghg999i;p0p100;1993;30375.4237506678;999;i
WO;enfghg999i;p0p100;1994;30556.8492865968;999;i
WO;enfghg999i;p0p100;1995;31155.6625403233;999;i
WO;enfghg999i;p0p100;1996;31901.0801858023;999;i
WO;enfghg999i;p0p100;1997;31936.710714842;999;i
WO;enfghg999i;p0p100;1998;31744.9920200738;999;i
WO;enfghg999i;p0p100;1999;32113.5081532824;999;i
WO;enfghg999i;p0p100;2000;32858.7725162616;999;i
WO;enfghg999i;p0p100;2001;33075.1597175922;999;i
WO;enfghg999i;p0p100;2002;33664.1605532994;999;i
WO;enfghg999i;p0p100;2003;35055.6545275221;999;i
WO;enfghg999i;p0p100;2004;36533.7972684016;999;i
WO;enfghg999i;p0p100;2005;37599.1324793245;999;i
WO;enfghg999i;p0p100;2006;38627.001647375;999;i
WO;enfghg999i;p0p100;2007;39626.3547717784;999;i
WO;enfghg999i;p0p100;2008;40374.9962736135;999;i
