country;variable;percentile;year;value;age;pop
WS;knnghg999i;p0p100;1980;1.30635762214661;999;i
WS;knnghg999i;p0p100;1981;1.28437566757202;999;i
WS;knnghg999i;p0p100;1982;1.204784989357;999;i
WS;knnghg999i;p0p100;1983;1.22709858417511;999;i
WS;knnghg999i;p0p100;1984;1.23723745346069;999;i
WS;knnghg999i;p0p100;1985;1.21096110343933;999;i
WS;knnghg999i;p0p100;1986;1.14271318912506;999;i
WS;knnghg999i;p0p100;1987;1.09446048736572;999;i
WS;knnghg999i;p0p100;1988;1.12708163261414;999;i
WS;knnghg999i;p0p100;1989;1.12139070034027;999;i
WS;knnghg999i;p0p100;1990;1.25496506690979;999;i
WS;knnghg999i;p0p100;1991;1.25628006458282;999;i
WS;knnghg999i;p0p100;1992;1.27947461605072;999;i
WS;knnghg999i;p0p100;1993;1.27725946903229;999;i
WS;knnghg999i;p0p100;1994;1.26956748962402;999;i
WS;knnghg999i;p0p100;1995;1.28713524341583;999;i
WS;knnghg999i;p0p100;1996;1.25958335399628;999;i
WS;knnghg999i;p0p100;1997;1.2687463760376;999;i
WS;knnghg999i;p0p100;1998;1.25564682483673;999;i
WS;knnghg999i;p0p100;1999;1.25995087623596;999;i
WS;knnghg999i;p0p100;2000;1.22354829311371;999;i
WS;knnghg999i;p0p100;2001;1.15265798568726;999;i
WS;knnghg999i;p0p100;2002;1.17841732501984;999;i
WS;knnghg999i;p0p100;2003;1.14711833000183;999;i
WS;knnghg999i;p0p100;2004;1.17200982570648;999;i
WS;knnghg999i;p0p100;2005;1.12962055206299;999;i
WS;knnghg999i;p0p100;2006;1.1374499797821;999;i
WS;knnghg999i;p0p100;2007;1.16702079772949;999;i
WS;knnghg999i;p0p100;2008;1.16316747665405;999;i
WS;knnghg999i;p0p100;2009;1.09928500652313;999;i
WS;knnghg999i;p0p100;2010;1.06262314319611;999;i
WS;knnghg999i;p0p100;2011;0.961800634860992;999;i
WS;knnghg999i;p0p100;2012;0.983779549598694;999;i
WS;knnghg999i;p0p100;2013;0.984364151954651;999;i
WS;knnghg999i;p0p100;2014;0.824311852455139;999;i
WS;knnghg999i;p0p100;2015;0.703643321990967;999;i
WS;knnghg999i;p0p100;2016;0.688196003437042;999;i
WS;knnghg999i;p0p100;2017;0.653140485286713;999;i
WS;knnghg999i;p0p100;2018;0.108634509146214;999;i
WS;knnghg999i;p0p100;2019;-0.436666190624237;999;i
WS;knnghg999i;p0p100;2020;-0.403404027223587;999;i
WS;khfgho999i;p0p100;1990;0.99024373292923;999;i
WS;khfgho999i;p0p100;1991;1.01143205165863;999;i
WS;khfgho999i;p0p100;1992;1.01933431625366;999;i
WS;khfgho999i;p0p100;1993;1.02378797531128;999;i
WS;khfgho999i;p0p100;1994;1.00537633895874;999;i
WS;khfgho999i;p0p100;1995;1.00974929332733;999;i
WS;khfgho999i;p0p100;1996;1.01085412502289;999;i
WS;khfgho999i;p0p100;1997;1.03520238399506;999;i
WS;khfgho999i;p0p100;1998;1.02303552627563;999;i
WS;khfgho999i;p0p100;1999;1.02214252948761;999;i
WS;khfgho999i;p0p100;2000;1.03294241428375;999;i
WS;khfgho999i;p0p100;2001;1.03661441802978;999;i
WS;khfgho999i;p0p100;2002;1.01941967010498;999;i
