country;variable;percentile;year;value;age;pop
XA-MER;ahweal992j;p14p15;1995;214.5;992;j
XA-MER;ahweal992j;p14p15;1996;229.3;992;j
XA-MER;ahweal992j;p14p15;1997;246.4;992;j
XA-MER;ahweal992j;p14p15;1998;245.5;992;j
XA-MER;ahweal992j;p14p15;1999;257.0;992;j
XA-MER;ahweal992j;p14p15;2000;293.9;992;j
XA-MER;ahweal992j;p14p15;2001;310.9;992;j
XA-MER;ahweal992j;p14p15;2002;325.5;992;j
XA-MER;ahweal992j;p14p15;2003;327.5;992;j
XA-MER;ahweal992j;p14p15;2004;346.9;992;j
XA-MER;ahweal992j;p14p15;2005;371.3;992;j
XA-MER;ahweal992j;p14p15;2006;383.1;992;j
XA-MER;ahweal992j;p14p15;2007;434.8;992;j
XA-MER;ahweal992j;p14p15;2008;427.9;992;j
XA-MER;ahweal992j;p14p15;2009;441.5;992;j
XA-MER;ahweal992j;p14p15;2010;436.2;992;j
XA-MER;ahweal992j;p14p15;2011;469.1;992;j
XA-MER;ahweal992j;p14p15;2012;486.1;992;j
XA-MER;ahweal992j;p14p15;2013;504.4;992;j
XA-MER;ahweal992j;p14p15;2014;520.3;992;j
XA-MER;ahweal992j;p14p15;2015;552.0;992;j
XA-MER;ahweal992j;p14p15;2016;588.4;992;j
XA-MER;ahweal992j;p14p15;2017;611.7;992;j
XA-MER;ahweal992j;p14p15;2018;631.0;992;j
XA-MER;ahweal992j;p14p15;2019;668.0;992;j
XA-MER;ahweal992j;p14p15;2020;655.6;992;j
XA-MER;ahweal992j;p14p15;2021;710.8;992;j
XA-MER;ahweal992j;p2p100;1995;14546.7;992;j
XA-MER;ahweal992j;p2p100;1996;14705.7;992;j
XA-MER;ahweal992j;p2p100;1997;15069.6;992;j
XA-MER;ahweal992j;p2p100;1998;15117.8;992;j
XA-MER;ahweal992j;p2p100;1999;15678.8;992;j
XA-MER;ahweal992j;p2p100;2000;16135.9;992;j
XA-MER;ahweal992j;p2p100;2001;16320.0;992;j
XA-MER;ahweal992j;p2p100;2002;16774.1;992;j
XA-MER;ahweal992j;p2p100;2003;17365.3;992;j
XA-MER;ahweal992j;p2p100;2004;18294.3;992;j
XA-MER;ahweal992j;p2p100;2005;19363.3;992;j
XA-MER;ahweal992j;p2p100;2006;20801.2;992;j
XA-MER;ahweal992j;p2p100;2007;21939.8;992;j
