country;variable;percentile;year;value;age;pop
XA;knngho999i;p0p100;1990;-0.125485152006149;999;i
XA;knngho999i;p0p100;1991;-0.131074532866478;999;i
XA;knngho999i;p0p100;1992;-0.131130740046501;999;i
XA;knngho999i;p0p100;1993;-0.124516159296036;999;i
XA;knngho999i;p0p100;1994;-0.121588125824928;999;i
XA;knngho999i;p0p100;1995;-0.123008444905281;999;i
XA;knngho999i;p0p100;1996;-0.131969422101974;999;i
XA;knngho999i;p0p100;1997;-0.117713823914528;999;i
XA;knngho999i;p0p100;1998;-0.165373727679253;999;i
XA;knngho999i;p0p100;1999;-0.16451421380043;999;i
XA;knngho999i;p0p100;2000;-0.177437588572502;999;i
XA;knngho999i;p0p100;2001;-0.160929501056671;999;i
XA;knngho999i;p0p100;2002;-0.168110340833664;999;i
XA;knngho999i;p0p100;2003;-0.17518724501133;999;i
XA;knngho999i;p0p100;2004;-0.199400722980499;999;i
XA;knngho999i;p0p100;2005;-0.212471410632134;999;i
XA;knngho999i;p0p100;2006;-0.22591757774353;999;i
XA;knngho999i;p0p100;2007;-0.230857506394386;999;i
XA;knngho999i;p0p100;2008;-0.218669205904007;999;i
XA;knngho999i;p0p100;2009;-0.174330577254295;999;i
XA;knngho999i;p0p100;2010;-0.197278648614883;999;i
XA;knngho999i;p0p100;2011;-0.188737139105797;999;i
XA;knngho999i;p0p100;2012;-0.176629453897476;999;i
XA;knngho999i;p0p100;2013;-0.170316249132156;999;i
XA;knngho999i;p0p100;2014;-0.164731428027153;999;i
XA;knngho999i;p0p100;2015;-0.135975897312164;999;i
XA;knngho999i;p0p100;2016;-0.145569071173668;999;i
XA;knngho999i;p0p100;2017;-0.156659662723541;999;i
XA;knngho999i;p0p100;2018;-0.150394156575203;999;i
XA;knngho999i;p0p100;2019;-0.154234409332275;999;i
XA;knngho999i;p0p100;2020;-0.152289554476738;999;i
XA;kntcna999i;p0p100;1990;1.58296024799347;999;i
XA;kntcna999i;p0p100;1991;1.62309110164642;999;i
XA;kntcna999i;p0p100;1992;1.65435671806335;999;i
XA;kntcna999i;p0p100;1993;1.69703733921051;999;i
XA;kntcna999i;p0p100;1994;1.74984395503998;999;i
XA;kntcna999i;p0p100;1995;1.82414627075195;999;i
XA;kntcna999i;p0p100;1996;1.8752681016922;999;i
XA;kntcna999i;p0p100;1997;1.87752223014831;999;i
XA;kntcna999i;p0p100;1998;1.78318870067596;999;i
XA;kntcna999i;p0p100;1999;1.79078245162964;999;i
XA;kntcna999i;p0p100;2000;1.83180773258209;999;i
XA;kntcna999i;p0p100;2001;1.84357440471649;999;i
XA;kntcna999i;p0p100;2002;1.94764149188995;999;i
XA;kntcna999i;p0p100;2003;2.13316321372986;999;i
XA;kntcna999i;p0p100;2004;2.3223032951355;999;i
XA;kntcna999i;p0p100;2005;2.4993052482605;999;i
XA;kntcna999i;p0p100;2006;2.65445375442505;999;i
XA;kntcna999i;p0p100;2007;2.81406974792481;999;i
XA;kntcna999i;p0p100;2008;2.9404718875885;999;i
XA;kntcna999i;p0p100;2009;3.03892779350281;999;i
XA;kntcna999i;p0p100;2010;3.23264265060425;999;i
XA;kntcna999i;p0p100;2011;3.47010016441345;999;i
