country;variable;percentile;year;value;age;pop
XB-MER;ahweal992j;p13p14;1995;96.4;992;j
XB-MER;ahweal992j;p13p14;1996;52.4;992;j
XB-MER;ahweal992j;p13p14;1997;80.1;992;j
XB-MER;ahweal992j;p13p14;1998;53.6;992;j
XB-MER;ahweal992j;p13p14;1999;35.7;992;j
XB-MER;ahweal992j;p13p14;2000;7.7;992;j
XB-MER;ahweal992j;p13p14;2001;14.2;992;j
XB-MER;ahweal992j;p13p14;2002;2.7;992;j
XB-MER;ahweal992j;p13p14;2003;7.5;992;j
XB-MER;ahweal992j;p13p14;2004;27.5;992;j
XB-MER;ahweal992j;p13p14;2005;5.3;992;j
XB-MER;ahweal992j;p13p14;2006;34.0;992;j
XB-MER;ahweal992j;p13p14;2007;14.7;992;j
XB-MER;ahweal992j;p13p14;2008;19.7;992;j
XB-MER;ahweal992j;p13p14;2009;10.2;992;j
XB-MER;ahweal992j;p13p14;2010;63.1;992;j
XB-MER;ahweal992j;p13p14;2011;59.7;992;j
XB-MER;ahweal992j;p13p14;2012;47.6;992;j
XB-MER;ahweal992j;p13p14;2013;39.8;992;j
XB-MER;ahweal992j;p13p14;2014;39.4;992;j
XB-MER;ahweal992j;p13p14;2015;82.5;992;j
XB-MER;ahweal992j;p13p14;2016;4.3;992;j
XB-MER;ahweal992j;p13p14;2017;88.5;992;j
XB-MER;ahweal992j;p13p14;2018;6.7;992;j
XB-MER;ahweal992j;p13p14;2019;92.8;992;j
XB-MER;ahweal992j;p13p14;2020;1.0;992;j
XB-MER;ahweal992j;p13p14;2021;3.3;992;j
XB-MER;ahweal992j;p37p100;1995;262471.6;992;j
XB-MER;ahweal992j;p37p100;1996;276842.6;992;j
XB-MER;ahweal992j;p37p100;1997;295169.6;992;j
XB-MER;ahweal992j;p37p100;1998;322290.7;992;j
XB-MER;ahweal992j;p37p100;1999;350199.8;992;j
XB-MER;ahweal992j;p37p100;2000;357690.3;992;j
XB-MER;ahweal992j;p37p100;2001;353088.2;992;j
XB-MER;ahweal992j;p37p100;2002;342770.2;992;j
XB-MER;ahweal992j;p37p100;2003;350113.8;992;j
XB-MER;ahweal992j;p37p100;2004;384597.4;992;j
XB-MER;ahweal992j;p37p100;2005;413401.9;992;j
XB-MER;ahweal992j;p37p100;2006;429795.0;992;j
