country;variable;percentile;year;value;age;pop
XB;khfcar999i;p0p100;1990;8.57226657867432;999;i
XB;khfcar999i;p0p100;1991;8.4427433013916;999;i
XB;khfcar999i;p0p100;1992;8.67092704772949;999;i
XB;khfcar999i;p0p100;1993;8.5313549041748;999;i
XB;khfcar999i;p0p100;1994;8.50910091400146;999;i
XB;khfcar999i;p0p100;1995;8.50609016418457;999;i
XB;khfcar999i;p0p100;1996;8.70575714111328;999;i
XB;khfcar999i;p0p100;1997;8.46551513671875;999;i
XB;khfcar999i;p0p100;1998;8.6203670501709;999;i
XB;khfcar999i;p0p100;1999;8.79640197753906;999;i
XB;khfcar999i;p0p100;2000;9.19087219238281;999;i
XB;khfcar999i;p0p100;2001;8.86618995666504;999;i
XB;khfcar999i;p0p100;2002;9.06142807006836;999;i
XB;khfcar999i;p0p100;2003;8.72347831726074;999;i
XB;khfcar999i;p0p100;2004;8.70888614654541;999;i
XB;khfcar999i;p0p100;2005;8.71892356872559;999;i
XB;khfcar999i;p0p100;2006;8.50144100189209;999;i
XB;khfcar999i;p0p100;2007;8.42667388916016;999;i
XB;khfcar999i;p0p100;2008;7.92385339736938;999;i
XB;khfcar999i;p0p100;2009;7.34389162063599;999;i
XB;khfcar999i;p0p100;2010;7.61252737045288;999;i
XB;khfcar999i;p0p100;2011;7.46305131912231;999;i
XB;khfcar999i;p0p100;2012;7.02898263931274;999;i
XB;khfcar999i;p0p100;2013;7.00894021987915;999;i
XB;khfcar999i;p0p100;2014;7.01985168457031;999;i
XB;khfcar999i;p0p100;2015;6.81724262237549;999;i
XB;khfcar999i;p0p100;2016;6.61432886123657;999;i
XB;khfcar999i;p0p100;2017;6.57355737686157;999;i
XB;khfcar999i;p0p100;2018;6.70811605453491;999;i
XB;khfcar999i;p0p100;2019;6.50885057449341;999;i
XB;khfcar999i;p0p100;2020;5.82393503189087;999;i
XB;enncar999i;p0p100;1990;-87.2200699094276;999;i
XB;enncar999i;p0p100;1991;-108.876220401989;999;i
XB;enncar999i;p0p100;1992;-38.6631986065515;999;i
XB;enncar999i;p0p100;1993;-93.3543585231132;999;i
XB;enncar999i;p0p100;1994;-89.935848519674;999;i
XB;enncar999i;p0p100;1995;-100.208700436235;999;i
XB;enncar999i;p0p100;1996;-125.389747376797;999;i
XB;enncar999i;p0p100;1997;-79.2543360933588;999;i
XB;enncar999i;p0p100;1998;39.2114162300805;999;i
XB;enncar999i;p0p100;1999;105.399766905518;999;i
XB;enncar999i;p0p100;2000;182.579577148958;999;i
XB;enncar999i;p0p100;2001;178.617422672396;999;i
XB;enncar999i;p0p100;2002;291.486396035834;999;i
XB;enncar999i;p0p100;2003;289.569393271273;999;i
XB;enncar999i;p0p100;2004;385.303564266712;999;i
XB;enncar999i;p0p100;2005;414.16278142215;999;i
XB;enncar999i;p0p100;2006;497.102292353588;999;i
XB;enncar999i;p0p100;2007;459.772018309027;999;i
XB;enncar999i;p0p100;2008;360.809763800465;999;i
XB;enncar999i;p0p100;2009;307.530397915904;999;i
XB;enncar999i;p0p100;2010;330.767544015341;999;i
XB;enncar999i;p0p100;2011;372.864994770781;999;i
XB;enncar999i;p0p100;2012;403.86427139822;999;i
XB;enncar999i;p0p100;2013;332.359275929657;999;i
XB;enncar999i;p0p100;2014;319.150229597095;999;i
XB;enncar999i;p0p100;2015;319.473702816534;999;i
XB;enncar999i;p0p100;2016;296.102628579972;999;i
XB;enncar999i;p0p100;2017;317.201198215411;999;i
XB;enncar999i;p0p100;2018;310.67523665085;999;i
XB;enncar999i;p0p100;2019;301.928730122041;999;i
XB;enncar999i;p0p100;2020;271.713094638766;999;i
XB;entcar999i;p0p100;1980;5852.8693;999;i
XB;entcar999i;p0p100;1981;5658.6473;999;i
XB;entcar999i;p0p100;1982;5335.0164;999;i
XB;entcar999i;p0p100;1983;5375.8919;999;i
XB;entcar999i;p0p100;1984;5578.0601;999;i
XB;entcar999i;p0p100;1985;5585.521;999;i
XB;entcar999i;p0p100;1986;5557.4846;999;i
XB;entcar999i;p0p100;1987;5807.4477;999;i
XB;entcar999i;p0p100;1988;6078.8441;999;i
XB;entcar999i;p0p100;1989;6165.3235;999;i
XB;entcar999i;p0p100;1990;5895.276216848;999;i
XB;entcar999i;p0p100;1991;5838.218546816;999;i
XB;entcar999i;p0p100;1992;5963.686253584;999;i
XB;entcar999i;p0p100;1993;6068.707353664;999;i
XB;entcar999i;p0p100;1994;6182.294277264;999;i
XB;entcar999i;p0p100;1995;6268.191332128;999;i
XB;entcar999i;p0p100;1996;6480.344017792;999;i
XB;entcar999i;p0p100;1997;6581.596455728;999;i
XB;entcar999i;p0p100;1998;6650.245373696;999;i
XB;entcar999i;p0p100;1999;6756.398884992;999;i
XB;entcar999i;p0p100;2000;6953.783011952;999;i
XB;entcar999i;p0p100;2001;6858.808418192;999;i
XB;entcar999i;p0p100;2002;6911.472858336;999;i
XB;entcar999i;p0p100;2003;6986.507803776;999;i
XB;entcar999i;p0p100;2004;7114.040177664;999;i
XB;entcar999i;p0p100;2005;7133.736539056;999;i
XB;entcar999i;p0p100;2006;7053.58507704;999;i
XB;entcar999i;p0p100;2007;7160.488553296;999;i
XB;entcar999i;p0p100;2008;6949.318776592;999;i
XB;entcar999i;p0p100;2009;6476.91908816;999;i
XB;entcar999i;p0p100;2010;6695.598210304;999;i
XB;entcar999i;p0p100;2011;6571.875718816;999;i
XB;entcar999i;p0p100;2012;6381.188247312;999;i
XB;entcar999i;p0p100;2013;6524.998418656;999;i
XB;entcar999i;p0p100;2014;6568.917088192;999;i
XB;entcar999i;p0p100;2015;6427.519082368;999;i
XB;entcar999i;p0p100;2016;6303.551250224;999;i
XB;entcar999i;p0p100;2017;6279.695283824;999;i
XB;entcar999i;p0p100;2018;6465.213428576;999;i
XB;entcar999i;p0p100;2019;6312.17476546601;999;i
XB;entcar999i;p0p100;2020;5681.05541797459;999;i
XB;knfgho999i;p0p100;1990;5.17375326156616;999;i
XB;knfgho999i;p0p100;1991;5.06157636642456;999;i
XB;knfgho999i;p0p100;1992;5.00699949264526;999;i
XB;knfgho999i;p0p100;1993;4.97661876678467;999;i
XB;knfgho999i;p0p100;1994;5.02039909362793;999;i
XB;knfgho999i;p0p100;1995;5.04496192932129;999;i
XB;knfgho999i;p0p100;1996;5.10512781143188;999;i
XB;knfgho999i;p0p100;1997;5.1355767250061;999;i
XB;knfgho999i;p0p100;1998;5.35056161880493;999;i
XB;knfgho999i;p0p100;1999;5.26148176193237;999;i
XB;knfgho999i;p0p100;2000;5.33373069763184;999;i
XB;knfgho999i;p0p100;2001;5.13982820510864;999;i
XB;knfgho999i;p0p100;2002;5.08483028411865;999;i
XB;knfgho999i;p0p100;2003;5.02462911605835;999;i
XB;knfgho999i;p0p100;2004;5.1914644241333;999;i
XB;knfgho999i;p0p100;2005;5.13722896575928;999;i
XB;knfgho999i;p0p100;2006;5.11022567749023;999;i
XB;knfgho999i;p0p100;2007;5.03199338912964;999;i
XB;knfgho999i;p0p100;2008;4.8394136428833;999;i
XB;knfgho999i;p0p100;2009;4.53241348266602;999;i
XB;knfgho999i;p0p100;2010;4.56277847290039;999;i
XB;knfgho999i;p0p100;2011;4.50274991989136;999;i
XB;knfgho999i;p0p100;2012;4.38258790969849;999;i
XB;knfgho999i;p0p100;2013;4.35988855361938;999;i
XB;knfgho999i;p0p100;2014;4.30002307891846;999;i
XB;knfgho999i;p0p100;2015;4.2928786277771;999;i
XB;knfgho999i;p0p100;2016;4.16603803634644;999;i
XB;knfgho999i;p0p100;2017;4.13791227340698;999;i
XB;knfgho999i;p0p100;2018;4.21810007095337;999;i
XB;knfgho999i;p0p100;2019;4.09845924377441;999;i
XB;knfgho999i;p0p100;2020;3.66737008094788;999;i
XB;kntghg999i;p0p100;1980;27.9048748016357;999;i
XB;kntghg999i;p0p100;1981;26.8164882659912;999;i
XB;kntghg999i;p0p100;1982;25.2050952911377;999;i
XB;kntghg999i;p0p100;1983;25.0163612365723;999;i
XB;kntghg999i;p0p100;1984;25.6859226226807;999;i
XB;kntghg999i;p0p100;1985;25.409158706665;999;i
XB;kntghg999i;p0p100;1986;24.9809970855713;999;i
XB;kntghg999i;p0p100;1987;25.590841293335;999;i
XB;kntghg999i;p0p100;1988;26.2731323242188;999;i
XB;kntghg999i;p0p100;1989;26.3452854156494;999;i
XB;kntghg999i;p0p100;1990;25.1584033966064;999;i
XB;kntghg999i;p0p100;1991;24.5788249969482;999;i
XB;kntghg999i;p0p100;1992;24.66916847229;999;i
XB;kntghg999i;p0p100;1993;24.7595882415771;999;i
XB;kntghg999i;p0p100;1994;24.7993583679199;999;i
XB;kntghg999i;p0p100;1995;24.8746337890625;999;i
XB;kntghg999i;p0p100;1996;25.2943840026856;999;i
XB;kntghg999i;p0p100;1997;25.2259864807129;999;i
XB;kntghg999i;p0p100;1998;25.1734561920166;999;i
XB;kntghg999i;p0p100;1999;25.1059474945068;999;i
XB;kntghg999i;p0p100;2000;25.3537940979004;999;i
XB;kntghg999i;p0p100;2001;24.8089618682861;999;i
XB;kntghg999i;p0p100;2002;24.7140502929688;999;i
XB;kntghg999i;p0p100;2003;24.6497077941894;999;i
XB;kntghg999i;p0p100;2004;24.8339900970459;999;i
XB;kntghg999i;p0p100;2005;24.5990028381348;999;i
XB;kntghg999i;p0p100;2006;24.1500053405762;999;i
XB;kntghg999i;p0p100;2007;24.246057510376;999;i
XB;kntghg999i;p0p100;2008;23.3876514434814;999;i
