country;variable;percentile;year;value;age;pop
XF-MER;ahweal992j;p57p100;1995;18122.0;992;j
XF-MER;ahweal992j;p57p100;1996;19624.0;992;j
XF-MER;ahweal992j;p57p100;1997;19844.9;992;j
XF-MER;ahweal992j;p57p100;1998;19859.5;992;j
XF-MER;ahweal992j;p57p100;1999;19333.0;992;j
XF-MER;ahweal992j;p57p100;2000;18662.7;992;j
XF-MER;ahweal992j;p57p100;2001;19683.9;992;j
XF-MER;ahweal992j;p57p100;2002;19281.2;992;j
XF-MER;ahweal992j;p57p100;2003;17254.7;992;j
XF-MER;ahweal992j;p57p100;2004;13470.1;992;j
XF-MER;ahweal992j;p57p100;2005;14161.7;992;j
XF-MER;ahweal992j;p57p100;2006;14999.6;992;j
XF-MER;ahweal992j;p57p100;2007;15653.1;992;j
XF-MER;ahweal992j;p57p100;2008;15538.7;992;j
XF-MER;ahweal992j;p57p100;2009;16174.7;992;j
XF-MER;ahweal992j;p57p100;2010;16884.7;992;j
XF-MER;ahweal992j;p57p100;2011;17327.1;992;j
XF-MER;ahweal992j;p57p100;2012;17913.4;992;j
XF-MER;ahweal992j;p57p100;2013;18327.1;992;j
XF-MER;ahweal992j;p57p100;2014;19059.2;992;j
XF-MER;ahweal992j;p57p100;2015;19532.9;992;j
XF-MER;ahweal992j;p57p100;2016;19577.1;992;j
XF-MER;ahweal992j;p57p100;2017;19975.2;992;j
XF-MER;ahweal992j;p57p100;2018;20611.9;992;j
XF-MER;ahweal992j;p57p100;2019;20815.6;992;j
XF-MER;ahweal992j;p57p100;2020;20442.3;992;j
XF-MER;ahweal992j;p57p100;2021;21201.2;992;j
XF-MER;ahweal992j;p90p91;1995;7058.8;992;j
XF-MER;ahweal992j;p90p91;1996;7374.5;992;j
XF-MER;ahweal992j;p90p91;1997;7749.4;992;j
XF-MER;ahweal992j;p90p91;1998;7965.4;992;j
XF-MER;ahweal992j;p90p91;1999;7743.5;992;j
XF-MER;ahweal992j;p90p91;2000;7505.3;992;j
XF-MER;ahweal992j;p90p91;2001;8019.1;992;j
XF-MER;ahweal992j;p90p91;2002;8780.8;992;j
XF-MER;ahweal992j;p90p91;2003;8977.3;992;j
XF-MER;ahweal992j;p90p91;2004;9255.5;992;j
XF-MER;ahweal992j;p90p91;2005;9715.4;992;j
XF-MER;ahweal992j;p90p91;2006;10203.9;992;j
XF-MER;ahweal992j;p90p91;2007;10430.9;992;j
XF-MER;ahweal992j;p90p91;2008;10778.1;992;j
XF-MER;ahweal992j;p90p91;2009;11257.4;992;j
XF-MER;ahweal992j;p90p91;2010;11761.1;992;j
XF-MER;ahweal992j;p90p91;2011;11965.8;992;j
XF-MER;ahweal992j;p90p91;2012;12504.8;992;j
XF-MER;ahweal992j;p90p91;2013;12885.5;992;j
XF-MER;ahweal992j;p90p91;2014;13382.2;992;j
XF-MER;ahweal992j;p90p91;2015;13769.4;992;j
XF-MER;ahweal992j;p90p91;2016;13638.2;992;j
XF-MER;ahweal992j;p90p91;2017;13742.3;992;j
XF-MER;ahweal992j;p90p91;2018;14120.4;992;j
XF-MER;ahweal992j;p90p91;2019;14365.8;992;j
XF-MER;ahweal992j;p90p91;2020;14298.9;992;j
XF-MER;ahweal992j;p90p91;2021;14615.6;992;j
XF-MER;ahweal992j;p99.95p99.96;1995;1465319.8;992;j
XF-MER;ahweal992j;p99.95p99.96;1996;1607293.0;992;j
XF-MER;ahweal992j;p99.95p99.96;1997;1599170.0;992;j
XF-MER;ahweal992j;p99.95p99.96;1998;1592425.6;992;j
XF-MER;ahweal992j;p99.95p99.96;1999;1608181.7;992;j
XF-MER;ahweal992j;p99.95p99.96;2000;1506322.9;992;j
XF-MER;ahweal992j;p99.95p99.96;2001;1677531.2;992;j
XF-MER;ahweal992j;p99.95p99.96;2002;1542418.2;992;j
XF-MER;ahweal992j;p99.95p99.96;2003;1379620.4;992;j
XF-MER;ahweal992j;p99.95p99.96;2004;816129.6;992;j
XF-MER;ahweal992j;p99.95p99.96;2005;820275.0;992;j
XF-MER;ahweal992j;p99.95p99.96;2006;880161.6;992;j
XF-MER;ahweal992j;p99.95p99.96;2007;893571.2;992;j
XF-MER;ahweal992j;p99.95p99.96;2008;909156.6;992;j
XF-MER;ahweal992j;p99.95p99.96;2009;934692.8;992;j
XF-MER;ahweal992j;p99.95p99.96;2010;974645.8;992;j
XF-MER;ahweal992j;p99.95p99.96;2011;979971.5;992;j
XF-MER;ahweal992j;p99.95p99.96;2012;1057979.9;992;j
XF-MER;ahweal992j;p99.95p99.96;2013;1027507.9;992;j
XF-MER;ahweal992j;p99.95p99.96;2014;1049178.1;992;j
XF-MER;ahweal992j;p99.95p99.96;2015;1096115.4;992;j
XF-MER;ahweal992j;p99.95p99.96;2016;1115987.1;992;j
XF-MER;ahweal992j;p99.95p99.96;2017;1167547.5;992;j
XF-MER;ahweal992j;p99.95p99.96;2018;1225938.6;992;j
XF-MER;ahweal992j;p99.95p99.96;2019;1217621.7;992;j
XF-MER;ahweal992j;p99.95p99.96;2020;1182969.5;992;j
XF-MER;ahweal992j;p99.95p99.96;2021;1211679.1;992;j
XF-MER;aptinc992j;p0p100;1980;6081.6;992;j
XF-MER;aptinc992j;p0p100;1981;6304.9;992;j
XF-MER;aptinc992j;p0p100;1982;6135.6;992;j
XF-MER;aptinc992j;p0p100;1983;5880.0;992;j
XF-MER;aptinc992j;p0p100;1984;5704.0;992;j
XF-MER;aptinc992j;p0p100;1985;5844.0;992;j
XF-MER;aptinc992j;p0p100;1986;5841.4;992;j
XF-MER;aptinc992j;p0p100;1987;5820.4;992;j
XF-MER;aptinc992j;p0p100;1988;6003.2;992;j
XF-MER;aptinc992j;p0p100;1989;6089.6;992;j
XF-MER;aptinc992j;p0p100;1990;6157.5;992;j
XF-MER;aptinc992j;p0p100;1991;6202.7;992;j
XF-MER;aptinc992j;p0p100;1992;5587.6;992;j
XF-MER;aptinc992j;p0p100;1993;5513.7;992;j
XF-MER;aptinc992j;p0p100;1994;5471.6;992;j
XF-MER;aptinc992j;p0p100;1995;5387.2;992;j
XF-MER;aptinc992j;p0p100;1996;5698.3;992;j
XF-MER;aptinc992j;p0p100;1997;5686.0;992;j
XF-MER;aptinc992j;p0p100;1998;5655.1;992;j
XF-MER;aptinc992j;p0p100;1999;5525.5;992;j
XF-MER;aptinc992j;p0p100;2000;5386.6;992;j
XF-MER;aptinc992j;p0p100;2001;5615.3;992;j
XF-MER;aptinc992j;p0p100;2002;5342.8;992;j
XF-MER;aptinc992j;p0p100;2003;4808.0;992;j
XF-MER;aptinc992j;p0p100;2004;4700.3;992;j
XF-MER;aptinc992j;p0p100;2005;4634.1;992;j
XF-MER;aptinc992j;p0p100;2006;4609.1;992;j
XF-MER;aptinc992j;p0p100;2007;4585.2;992;j
XF-MER;aptinc992j;p0p100;2008;4267.8;992;j
XF-MER;aptinc992j;p0p100;2009;4362.4;992;j
XF-MER;aptinc992j;p0p100;2010;4661.0;992;j
XF-MER;aptinc992j;p0p100;2011;4893.0;992;j
XF-MER;aptinc992j;p0p100;2012;5187.3;992;j
XF-MER;aptinc992j;p0p100;2013;5147.7;992;j
XF-MER;aptinc992j;p0p100;2014;5188.9;992;j
XF-MER;aptinc992j;p0p100;2015;5191.1;992;j
XF-MER;aptinc992j;p0p100;2016;5093.9;992;j
XF-MER;aptinc992j;p0p100;2017;5118.0;992;j
XF-MER;aptinc992j;p0p100;2018;5245.2;992;j
XF-MER;aptinc992j;p0p100;2019;5051.4;992;j
XF-MER;aptinc992j;p0p100;2020;4759.3;992;j
XF-MER;aptinc992j;p0p100;2021;4795.5;992;j
XF-MER;aptinc992j;p39p40;1980;633.9;992;j
XF-MER;aptinc992j;p39p40;1981;625.6;992;j
XF-MER;aptinc992j;p39p40;1982;615.8;992;j
XF-MER;aptinc992j;p39p40;1983;585.6;992;j
XF-MER;aptinc992j;p39p40;1984;565.4;992;j
XF-MER;aptinc992j;p39p40;1985;567.7;992;j
XF-MER;aptinc992j;p39p40;1986;571.2;992;j
XF-MER;aptinc992j;p39p40;1987;570.4;992;j
XF-MER;aptinc992j;p39p40;1988;572.8;992;j
XF-MER;aptinc992j;p39p40;1989;569.5;992;j
XF-MER;aptinc992j;p39p40;1990;557.6;992;j
XF-MER;aptinc992j;p39p40;1991;539.8;992;j
XF-MER;aptinc992j;p39p40;1992;523.7;992;j
XF-MER;aptinc992j;p39p40;1993;515.6;992;j
XF-MER;aptinc992j;p39p40;1994;507.8;992;j
XF-MER;aptinc992j;p39p40;1995;520.2;992;j
XF-MER;aptinc992j;p39p40;1996;535.4;992;j
XF-MER;aptinc992j;p39p40;1997;546.5;992;j
XF-MER;aptinc992j;p39p40;1998;552.7;992;j
XF-MER;aptinc992j;p39p40;1999;555.9;992;j
XF-MER;aptinc992j;p39p40;2000;551.5;992;j
XF-MER;aptinc992j;p39p40;2001;561.7;992;j
XF-MER;aptinc992j;p39p40;2002;572.4;992;j
XF-MER;aptinc992j;p39p40;2003;585.1;992;j
XF-MER;aptinc992j;p39p40;2004;606.3;992;j
XF-MER;aptinc992j;p39p40;2005;633.7;992;j
XF-MER;aptinc992j;p39p40;2006;655.8;992;j
XF-MER;aptinc992j;p39p40;2007;677.1;992;j
XF-MER;aptinc992j;p39p40;2008;698.7;992;j
XF-MER;aptinc992j;p39p40;2009;707.3;992;j
XF-MER;aptinc992j;p39p40;2010;730.3;992;j
XF-MER;aptinc992j;p39p40;2011;747.1;992;j
XF-MER;aptinc992j;p39p40;2012;754.4;992;j
XF-MER;aptinc992j;p39p40;2013;764.1;992;j
XF-MER;aptinc992j;p39p40;2014;795.5;992;j
XF-MER;aptinc992j;p39p40;2015;800.4;992;j
XF-MER;aptinc992j;p39p40;2016;794.6;992;j
XF-MER;aptinc992j;p39p40;2017;804.3;992;j
XF-MER;aptinc992j;p39p40;2018;812.0;992;j
XF-MER;aptinc992j;p39p40;2019;816.1;992;j
XF-MER;aptinc992j;p39p40;2020;790.0;992;j
XF-MER;aptinc992j;p39p40;2021;791.8;992;j
XF-MER;aptinc992j;p4p100;1980;6335.5;992;j
XF-MER;aptinc992j;p4p100;1981;6582.8;992;j
XF-MER;aptinc992j;p4p100;1982;6418.5;992;j
XF-MER;aptinc992j;p4p100;1983;6140.9;992;j
XF-MER;aptinc992j;p4p100;1984;5961.1;992;j
XF-MER;aptinc992j;p4p100;1985;6095.5;992;j
XF-MER;aptinc992j;p4p100;1986;6094.6;992;j
XF-MER;aptinc992j;p4p100;1987;6070.6;992;j
XF-MER;aptinc992j;p4p100;1988;6262.1;992;j
XF-MER;aptinc992j;p4p100;1989;6343.3;992;j
XF-MER;aptinc992j;p4p100;1990;6414.1;992;j
XF-MER;aptinc992j;p4p100;1991;6461.2;992;j
XF-MER;aptinc992j;p4p100;1992;5820.5;992;j
XF-MER;aptinc992j;p4p100;1993;5743.5;992;j
XF-MER;aptinc992j;p4p100;1994;5699.6;992;j
XF-MER;aptinc992j;p4p100;1995;5611.7;992;j
XF-MER;aptinc992j;p4p100;1996;5935.7;992;j
XF-MER;aptinc992j;p4p100;1997;5922.9;992;j
XF-MER;aptinc992j;p4p100;1998;5890.7;992;j
XF-MER;aptinc992j;p4p100;1999;5755.7;992;j
XF-MER;aptinc992j;p4p100;2000;5611.0;992;j
XF-MER;aptinc992j;p4p100;2001;5849.2;992;j
XF-MER;aptinc992j;p4p100;2002;5565.4;992;j
