country;variable;percentile;year;value;age;pop
XF;enfgho999i;p0p100;1990;708.136380817155;999;i
XF;enfgho999i;p0p100;1991;719.120393808817;999;i
XF;enfgho999i;p0p100;1992;723.619998589828;999;i
XF;enfgho999i;p0p100;1993;732.559018367382;999;i
XF;enfgho999i;p0p100;1994;734.894489642024;999;i
XF;enfgho999i;p0p100;1995;751.87293961442;999;i
XF;enfgho999i;p0p100;1996;770.294605343743;999;i
XF;enfgho999i;p0p100;1997;759.258117722551;999;i
XF;enfgho999i;p0p100;1998;746.476960773534;999;i
XF;enfgho999i;p0p100;1999;725.169998712319;999;i
XF;enfgho999i;p0p100;2000;701.035691216659;999;i
XF;enfgho999i;p0p100;2001;746.500551774516;999;i
XF;enfgho999i;p0p100;2002;745.411747863251;999;i
XF;enfgho999i;p0p100;2003;789.31999872985;999;i
XF;enfgho999i;p0p100;2004;791.687678052198;999;i
XF;enfgho999i;p0p100;2005;819.768166429012;999;i
XF;enfgho999i;p0p100;2006;788.731780353261;999;i
XF;enfgho999i;p0p100;2007;817.082770307929;999;i
XF;enfgho999i;p0p100;2008;844.062932481294;999;i
XF;enfgho999i;p0p100;2009;842.961899916581;999;i
XF;enfgho999i;p0p100;2010;887.455092856542;999;i
XF;enfgho999i;p0p100;2011;890.739819649505;999;i
XF;enfgho999i;p0p100;2012;910.03239978886;999;i
XF;enfgho999i;p0p100;2013;914.052710474579;999;i
XF;enfgho999i;p0p100;2014;913.80933857837;999;i
XF;enfgho999i;p0p100;2015;958.799774220897;999;i
XF;enfgho999i;p0p100;2016;983.240014134744;999;i
XF;enfgho999i;p0p100;2017;1011.0218756589;999;i
XF;enfgho999i;p0p100;2018;1028.87337282668;999;i
XF;enfgho999i;p0p100;2019;1043.92930604286;999;i
XF;enfgho999i;p0p100;2020;1017.83107339179;999;i
XF;ehfgho999i;p0p100;1990;471.374292580459;999;i
XF;ehfgho999i;p0p100;1991;478.815484794781;999;i
XF;ehfgho999i;p0p100;1992;483.49300809546;999;i
XF;ehfgho999i;p0p100;1993;491.305743196568;999;i
XF;ehfgho999i;p0p100;1994;488.249077958257;999;i
XF;ehfgho999i;p0p100;1995;504.744623109475;999;i
XF;ehfgho999i;p0p100;1996;519.203062236226;999;i
XF;ehfgho999i;p0p100;1997;519.030942949273;999;i
XF;ehfgho999i;p0p100;1998;527.694621280326;999;i
XF;ehfgho999i;p0p100;1999;515.336331672188;999;i
XF;ehfgho999i;p0p100;2000;500.267515665504;999;i
XF;ehfgho999i;p0p100;2001;528.312136718119;999;i
XF;ehfgho999i;p0p100;2002;526.480721157684;999;i
XF;ehfgho999i;p0p100;2003;555.739818339288;999;i
XF;ehfgho999i;p0p100;2004;556.007249504039;999;i
XF;ehfgho999i;p0p100;2005;577.642554085888;999;i
XF;ehfgho999i;p0p100;2006;549.058203129683;999;i
XF;ehfgho999i;p0p100;2007;568.096187364184;999;i
XF;ehfgho999i;p0p100;2008;597.471197067286;999;i
XF;ehfgho999i;p0p100;2009;598.037423770111;999;i
XF;ehfgho999i;p0p100;2010;623.50355527293;999;i
XF;ehfgho999i;p0p100;2011;623.729506824752;999;i
XF;ehfgho999i;p0p100;2012;637.991527746834;999;i
XF;ehfgho999i;p0p100;2013;642.570232107449;999;i
XF;ehfgho999i;p0p100;2014;640.663166144017;999;i
XF;ehfgho999i;p0p100;2015;667.086849236968;999;i
XF;ehfgho999i;p0p100;2016;683.953544591164;999;i
XF;ehfgho999i;p0p100;2017;703.467788259932;999;i
XF;ehfgho999i;p0p100;2018;717.083045543;999;i
XF;ehfgho999i;p0p100;2019;728.19359786456;999;i
XF;ehfgho999i;p0p100;2020;709.988757917946;999;i
XF;enfcar999i;p0p100;1990;362.477823863668;999;i
XF;enfcar999i;p0p100;1991;382.79147481475;999;i
XF;enfcar999i;p0p100;1992;375.694607249173;999;i
XF;enfcar999i;p0p100;1993;386.144388368457;999;i
XF;enfcar999i;p0p100;1994;399.675693576163;999;i
XF;enfcar999i;p0p100;1995;414.54846982512;999;i
XF;enfcar999i;p0p100;1996;411.465562950107;999;i
XF;enfcar999i;p0p100;1997;431.132138675841;999;i
XF;enfcar999i;p0p100;1998;430.183431253119;999;i
XF;enfcar999i;p0p100;1999;444.901732834122;999;i
XF;enfcar999i;p0p100;2000;453.109935039374;999;i
XF;enfcar999i;p0p100;2001;458.646773220904;999;i
XF;enfcar999i;p0p100;2002;449.583700578262;999;i
XF;enfcar999i;p0p100;2003;506.942517735492;999;i
XF;enfcar999i;p0p100;2004;562.786960400568;999;i
XF;enfcar999i;p0p100;2005;559.287803872304;999;i
