country;variable;percentile;year;value;age;pop
XL-MER;ahweal992j;p10p11;1995;20.0;992;j
XL-MER;ahweal992j;p10p11;1996;21.1;992;j
XL-MER;ahweal992j;p10p11;1997;21.9;992;j
XL-MER;ahweal992j;p10p11;1998;23.5;992;j
XL-MER;ahweal992j;p10p11;1999;23.1;992;j
XL-MER;ahweal992j;p10p11;2000;26.0;992;j
XL-MER;ahweal992j;p10p11;2001;24.7;992;j
XL-MER;ahweal992j;p10p11;2002;35.9;992;j
XL-MER;ahweal992j;p10p11;2003;22.2;992;j
XL-MER;ahweal992j;p10p11;2004;14.1;992;j
XL-MER;ahweal992j;p10p11;2005;3.3;992;j
XL-MER;ahweal992j;p10p11;2006;5.7;992;j
XL-MER;ahweal992j;p10p11;2007;15.9;992;j
XL-MER;ahweal992j;p10p11;2008;4.4;992;j
XL-MER;ahweal992j;p10p11;2009;-35.1;992;j
XL-MER;ahweal992j;p10p11;2010;3.6;992;j
XL-MER;ahweal992j;p10p11;2011;-13.2;992;j
XL-MER;ahweal992j;p10p11;2012;-21.5;992;j
XL-MER;ahweal992j;p10p11;2013;18.1;992;j
XL-MER;ahweal992j;p10p11;2014;14.8;992;j
XL-MER;ahweal992j;p10p11;2015;9.4;992;j
XL-MER;ahweal992j;p10p11;2016;34.4;992;j
XL-MER;ahweal992j;p10p11;2017;19.0;992;j
XL-MER;ahweal992j;p10p11;2018;-28.8;992;j
XL-MER;ahweal992j;p10p11;2019;-29.9;992;j
XL-MER;ahweal992j;p10p11;2020;-28.6;992;j
XL-MER;ahweal992j;p10p11;2021;-36.0;992;j
XL-MER;ahweal992j;p45p100;1995;21454.6;992;j
XL-MER;ahweal992j;p45p100;1996;21852.3;992;j
XL-MER;ahweal992j;p45p100;1997;23408.1;992;j
XL-MER;ahweal992j;p45p100;1998;23872.4;992;j
XL-MER;ahweal992j;p45p100;1999;23780.5;992;j
XL-MER;ahweal992j;p45p100;2000;24713.5;992;j
XL-MER;ahweal992j;p45p100;2001;25313.9;992;j
XL-MER;ahweal992j;p45p100;2002;24271.5;992;j
XL-MER;ahweal992j;p45p100;2003;24277.8;992;j
XL-MER;ahweal992j;p45p100;2004;26255.3;992;j
XL-MER;ahweal992j;p45p100;2005;27975.4;992;j
XL-MER;ahweal992j;p45p100;2006;29040.9;992;j
XL-MER;ahweal992j;p45p100;2007;31377.0;992;j
XL-MER;ahweal992j;p45p100;2008;33295.8;992;j
XL-MER;ahweal992j;p45p100;2009;34726.2;992;j
XL-MER;ahweal992j;p45p100;2010;36567.2;992;j
XL-MER;ahweal992j;p45p100;2011;39004.7;992;j
XL-MER;ahweal992j;p45p100;2012;41276.7;992;j
XL-MER;ahweal992j;p45p100;2013;42441.9;992;j
XL-MER;ahweal992j;p45p100;2014;42751.3;992;j
XL-MER;ahweal992j;p45p100;2015;42816.0;992;j
