country;variable;percentile;year;value;age;pop
XM-MER;aptinc992j;p29p30;1980;1140.9;992;j
XM-MER;aptinc992j;p29p30;1981;1161.7;992;j
XM-MER;aptinc992j;p29p30;1982;1204.5;992;j
XM-MER;aptinc992j;p29p30;1983;1216.4;992;j
XM-MER;aptinc992j;p29p30;1984;1281.3;992;j
XM-MER;aptinc992j;p29p30;1985;1290.7;992;j
XM-MER;aptinc992j;p29p30;1986;1326.4;992;j
XM-MER;aptinc992j;p29p30;1987;1371.1;992;j
XM-MER;aptinc992j;p29p30;1988;1395.8;992;j
XM-MER;aptinc992j;p29p30;1989;1413.0;992;j
XM-MER;aptinc992j;p29p30;1990;1538.7;992;j
XM-MER;aptinc992j;p29p30;1991;1409.3;992;j
XM-MER;aptinc992j;p29p30;1992;1467.0;992;j
XM-MER;aptinc992j;p29p30;1993;1556.4;992;j
XM-MER;aptinc992j;p29p30;1994;1555.8;992;j
XM-MER;aptinc992j;p29p30;1995;1604.7;992;j
XM-MER;aptinc992j;p29p30;1996;1601.8;992;j
XM-MER;aptinc992j;p29p30;1997;1637.7;992;j
XM-MER;aptinc992j;p29p30;1998;1672.0;992;j
XM-MER;aptinc992j;p29p30;1999;1650.6;992;j
XM-MER;aptinc992j;p29p30;2000;1742.4;992;j
XM-MER;aptinc992j;p29p30;2001;1677.4;992;j
XM-MER;aptinc992j;p29p30;2002;1678.9;992;j
XM-MER;aptinc992j;p29p30;2003;1662.9;992;j
XM-MER;aptinc992j;p29p30;2004;1812.7;992;j
XM-MER;aptinc992j;p29p30;2005;1904.5;992;j
XM-MER;aptinc992j;p29p30;2006;2023.3;992;j
XM-MER;aptinc992j;p29p30;2007;2123.5;992;j
XM-MER;aptinc992j;p29p30;2008;2153.2;992;j
XM-MER;aptinc992j;p29p30;2009;2057.9;992;j
XM-MER;aptinc992j;p29p30;2010;2204.6;992;j
XM-MER;aptinc992j;p29p30;2011;2260.2;992;j
XM-MER;aptinc992j;p29p30;2012;2284.1;992;j
XM-MER;aptinc992j;p29p30;2013;2375.8;992;j
XM-MER;aptinc992j;p29p30;2014;2398.0;992;j
XM-MER;aptinc992j;p29p30;2015;2365.9;992;j
XM-MER;aptinc992j;p29p30;2016;2377.3;992;j
XM-MER;aptinc992j;p29p30;2017;2363.2;992;j
XM-MER;aptinc992j;p29p30;2018;2326.9;992;j
XM-MER;aptinc992j;p29p30;2019;2344.6;992;j
XM-MER;aptinc992j;p29p30;2020;2244.8;992;j
XM-MER;aptinc992j;p29p30;2021;2286.9;992;j
XM-MER;aptinc992j;p91p92;1980;16846.5;992;j
XM-MER;aptinc992j;p91p92;1981;15285.8;992;j
XM-MER;aptinc992j;p91p92;1982;16665.8;992;j
XM-MER;aptinc992j;p91p92;1983;18001.3;992;j
XM-MER;aptinc992j;p91p92;1984;16661.1;992;j
XM-MER;aptinc992j;p91p92;1985;16533.1;992;j
XM-MER;aptinc992j;p91p92;1986;16056.2;992;j
XM-MER;aptinc992j;p91p92;1987;16007.2;992;j
XM-MER;aptinc992j;p91p92;1988;15521.7;992;j
XM-MER;aptinc992j;p91p92;1989;15746.2;992;j
XM-MER;aptinc992j;p91p92;1990;17228.6;992;j
XM-MER;aptinc992j;p91p92;1991;16508.9;992;j
XM-MER;aptinc992j;p91p92;1992;17350.5;992;j
XM-MER;aptinc992j;p91p92;1993;17734.2;992;j
XM-MER;aptinc992j;p91p92;1994;17317.3;992;j
XM-MER;aptinc992j;p91p92;1995;17793.9;992;j
XM-MER;aptinc992j;p91p92;1996;17997.5;992;j
XM-MER;aptinc992j;p91p92;1997;18296.2;992;j
XM-MER;aptinc992j;p91p92;1998;18602.7;992;j
XM-MER;aptinc992j;p91p92;1999;18620.7;992;j
XM-MER;aptinc992j;p91p92;2000;19528.2;992;j
XM-MER;aptinc992j;p91p92;2001;19104.9;992;j
XM-MER;aptinc992j;p91p92;2002;19134.2;992;j
XM-MER;aptinc992j;p91p92;2003;19399.5;992;j
XM-MER;aptinc992j;p91p92;2004;20284.3;992;j
XM-MER;aptinc992j;p91p92;2005;20954.4;992;j
XM-MER;aptinc992j;p91p92;2006;22095.9;992;j
XM-MER;aptinc992j;p91p92;2007;23052.9;992;j
XM-MER;aptinc992j;p91p92;2008;22987.2;992;j
XM-MER;aptinc992j;p91p92;2009;22180.4;992;j
XM-MER;aptinc992j;p91p92;2010;22938.1;992;j
XM-MER;aptinc992j;p91p92;2011;23592.0;992;j
XM-MER;aptinc992j;p91p92;2012;23057.1;992;j
XM-MER;aptinc992j;p91p92;2013;23515.5;992;j
XM-MER;aptinc992j;p91p92;2014;23513.0;992;j
XM-MER;aptinc992j;p91p92;2015;23135.5;992;j
XM-MER;aptinc992j;p91p92;2016;25177.9;992;j
XM-MER;aptinc992j;p91p92;2017;25549.4;992;j
