country;variable;percentile;year;value;age;pop
XM;knncar999i;p0p100;1990;0.323040902614594;999;i
XM;knncar999i;p0p100;1991;0.206624612212181;999;i
XM;knncar999i;p0p100;1992;0.332116156816482;999;i
XM;knncar999i;p0p100;1993;0.0930276215076447;999;i
XM;knncar999i;p0p100;1994;-0.0245513916015625;999;i
XM;knncar999i;p0p100;1995;0.0171919278800488;999;i
XM;knncar999i;p0p100;1996;-0.130601689219475;999;i
XM;knncar999i;p0p100;1997;-0.128521740436554;999;i
XM;knncar999i;p0p100;1998;0.0452176779508591;999;i
XM;knncar999i;p0p100;1999;-0.451879054307938;999;i
XM;knncar999i;p0p100;2000;-0.721487402915955;999;i
XM;knncar999i;p0p100;2001;-0.70164692401886;999;i
XM;knncar999i;p0p100;2002;-0.653669774532318;999;i
XM;knncar999i;p0p100;2003;-0.196694269776344;999;i
XM;knncar999i;p0p100;2004;-0.233514964580536;999;i
XM;knncar999i;p0p100;2005;-0.178620457649231;999;i
XM;knncar999i;p0p100;2006;-0.162812948226929;999;i
XM;knncar999i;p0p100;2007;0.0784118995070457;999;i
XM;knncar999i;p0p100;2008;0.117309786379337;999;i
XM;knncar999i;p0p100;2009;-0.0912367403507233;999;i
XM;knncar999i;p0p100;2010;0.0105205187574029;999;i
XM;knncar999i;p0p100;2011;-0.0766092017292976;999;i
XM;knncar999i;p0p100;2012;-0.250325560569763;999;i
XM;knncar999i;p0p100;2013;-0.076307937502861;999;i
XM;knncar999i;p0p100;2014;-0.0696046352386475;999;i
XM;knncar999i;p0p100;2015;-0.028521865606308;999;i
XM;knncar999i;p0p100;2016;-0.0137194516137242;999;i
XM;knncar999i;p0p100;2017;-0.0987935960292816;999;i
XM;knncar999i;p0p100;2018;-0.125519067049026;999;i
XM;knncar999i;p0p100;2019;-0.134156495332718;999;i
XM;knncar999i;p0p100;2020;-0.121496453881264;999;i
XM;ehfghg999i;p0p100;1980;714.736016920603;999;i
XM;ehfghg999i;p0p100;1981;663.12041315701;999;i
XM;ehfghg999i;p0p100;1982;695.191201354367;999;i
XM;ehfghg999i;p0p100;1983;694.96543593966;999;i
XM;ehfghg999i;p0p100;1984;634.214634833965;999;i
XM;ehfghg999i;p0p100;1985;605.653341619572;999;i
XM;ehfghg999i;p0p100;1986;603.359875142886;999;i
XM;ehfghg999i;p0p100;1987;612.036772645031;999;i
XM;ehfghg999i;p0p100;1988;637.094602499245;999;i
XM;ehfghg999i;p0p100;1989;670.425443831036;999;i
XM;ehfghg999i;p0p100;1990;696.165648017915;999;i
XM;ehfghg999i;p0p100;1991;724.105258923704;999;i
XM;ehfghg999i;p0p100;1992;782.706877565112;999;i
XM;ehfghg999i;p0p100;1993;798.932774545226;999;i
XM;ehfghg999i;p0p100;1994;805.517468135323;999;i
XM;ehfghg999i;p0p100;1995;795.654354238621;999;i
XM;ehfghg999i;p0p100;1996;801.559892669605;999;i
XM;ehfghg999i;p0p100;1997;829.92158740506;999;i
XM;ehfghg999i;p0p100;1998;889.423100175716;999;i
XM;ehfghg999i;p0p100;1999;873.035875441681;999;i
XM;ehfghg999i;p0p100;2000;931.413282275656;999;i
XM;ehfghg999i;p0p100;2001;911.794224230644;999;i
XM;ehfghg999i;p0p100;2002;939.234364408064;999;i
XM;ehfghg999i;p0p100;2003;1084.01891477644;999;i
XM;ehfghg999i;p0p100;2004;1161.24874841104;999;i
XM;ehfghg999i;p0p100;2005;1238.38404455221;999;i
XM;ehfghg999i;p0p100;2006;1312.08760000245;999;i
XM;ehfghg999i;p0p100;2007;1383.49237444559;999;i
XM;ehfghg999i;p0p100;2008;1462.73688025489;999;i
XM;ehfghg999i;p0p100;2009;1459.07744410707;999;i
XM;ehfghg999i;p0p100;2010;1516.08227380199;999;i
XM;ehfghg999i;p0p100;2011;1555.55672903251;999;i
XM;ehfghg999i;p0p100;2012;1629.33322638446;999;i
XM;ehfghg999i;p0p100;2013;1638.92559064492;999;i
XM;ehfghg999i;p0p100;2014;1696.85923132387;999;i
XM;ehfghg999i;p0p100;2015;1740.24846285765;999;i
XM;ehfghg999i;p0p100;2016;1731.41191878979;999;i
XM;ehfghg999i;p0p100;2017;1778.85699854368;999;i
XM;ehfghg999i;p0p100;2018;1793.75653579459;999;i
