country;variable;percentile;year;value;age;pop
XN-MER;bptinc992j;p2p100;1981;-7585.51611328125;992;j
XN-MER;bptinc992j;p2p100;1989;-11641.34375;992;j
XN-MER;bptinc992j;p2p100;1991;-18671.466796875;992;j
XN-MER;bptinc992j;p2p100;1992;-17675.244140625;992;j
XN-MER;bptinc992j;p2p100;1993;-557951232.0;992;j
XN-MER;bptinc992j;p2p100;1995;-16539.38671875;992;j
XN-MER;bptinc992j;p2p100;1998;-11022.7509765625;992;j
XN-MER;bptinc992j;p2p100;2000;-14414.7568359375;992;j
XN-MER;bptinc992j;p2p100;2005;-9484.5263671875;992;j
XN-MER;bptinc992j;p2p100;2006;-9529.865234375;992;j
XN-MER;bptinc992j;p2p100;2011;-13807.662109375;992;j
XN-MER;bptinc992j;p2p100;2014;-41484388.0;992;j
XN-MER;bptinc992j;p2p100;2016;-11135.69921875;992;j
XN-MER;ahweal992j;p38p39;1995;474.3;992;j
XN-MER;ahweal992j;p38p39;1996;504.6;992;j
XN-MER;ahweal992j;p38p39;1997;523.8;992;j
XN-MER;ahweal992j;p38p39;1998;563.7;992;j
XN-MER;ahweal992j;p38p39;1999;581.9;992;j
XN-MER;ahweal992j;p38p39;2000;607.1;992;j
XN-MER;ahweal992j;p38p39;2001;632.6;992;j
XN-MER;ahweal992j;p38p39;2002;685.6;992;j
XN-MER;ahweal992j;p38p39;2003;731.3;992;j
XN-MER;ahweal992j;p38p39;2004;839.0;992;j
XN-MER;ahweal992j;p38p39;2005;941.2;992;j
XN-MER;ahweal992j;p38p39;2006;1033.2;992;j
XN-MER;ahweal992j;p38p39;2007;1098.9;992;j
XN-MER;ahweal992j;p38p39;2008;1135.7;992;j
XN-MER;ahweal992j;p38p39;2009;1166.0;992;j
XN-MER;ahweal992j;p38p39;2010;1222.1;992;j
XN-MER;ahweal992j;p38p39;2011;1238.9;992;j
XN-MER;ahweal992j;p38p39;2012;1235.5;992;j
XN-MER;ahweal992j;p38p39;2013;1273.9;992;j
XN-MER;ahweal992j;p38p39;2014;1314.9;992;j
XN-MER;ahweal992j;p38p39;2015;1354.1;992;j
XN-MER;ahweal992j;p38p39;2016;1424.0;992;j
XN-MER;ahweal992j;p38p39;2017;1457.0;992;j
XN-MER;ahweal992j;p38p39;2018;1515.9;992;j
XN-MER;ahweal992j;p38p39;2019;1575.6;992;j
XN-MER;ahweal992j;p38p39;2020;1591.9;992;j
XN-MER;ahweal992j;p38p39;2021;1704.7;992;j
XN-MER;ahweal992j;p49p100;1995;18115.0;992;j
XN-MER;ahweal992j;p49p100;1996;18596.9;992;j
XN-MER;ahweal992j;p49p100;1997;19681.3;992;j
XN-MER;ahweal992j;p49p100;1998;20776.1;992;j
XN-MER;ahweal992j;p49p100;1999;20553.8;992;j
XN-MER;ahweal992j;p49p100;2000;21181.0;992;j
XN-MER;ahweal992j;p49p100;2001;21373.6;992;j
XN-MER;ahweal992j;p49p100;2002;21721.8;992;j
XN-MER;ahweal992j;p49p100;2003;22758.9;992;j
XN-MER;ahweal992j;p49p100;2004;24613.5;992;j
XN-MER;ahweal992j;p49p100;2005;25205.3;992;j
XN-MER;ahweal992j;p49p100;2006;26856.7;992;j
XN-MER;ahweal992j;p49p100;2007;28667.0;992;j
XN-MER;ahweal992j;p49p100;2008;28675.4;992;j
XN-MER;ahweal992j;p49p100;2009;28601.8;992;j
XN-MER;ahweal992j;p49p100;2010;30076.8;992;j
XN-MER;ahweal992j;p49p100;2011;30852.4;992;j
XN-MER;ahweal992j;p49p100;2012;30661.7;992;j
XN-MER;ahweal992j;p49p100;2013;31698.5;992;j
XN-MER;ahweal992j;p49p100;2014;32507.3;992;j
XN-MER;ahweal992j;p49p100;2015;34185.0;992;j
XN-MER;ahweal992j;p49p100;2016;35521.3;992;j
XN-MER;ahweal992j;p49p100;2017;36268.8;992;j
XN-MER;ahweal992j;p49p100;2018;37084.8;992;j
XN-MER;ahweal992j;p49p100;2019;37575.3;992;j
XN-MER;ahweal992j;p49p100;2020;37135.0;992;j
XN-MER;ahweal992j;p49p100;2021;38739.3;992;j
XN-MER;ahweal992j;p53p54;1995;1018.8;992;j
XN-MER;ahweal992j;p53p54;1996;1089.7;992;j
