country;variable;percentile;year;value;age;pop
XN;ehfghd999i;p0p100;1990;122.266978454988;999;i
XN;ehfghd999i;p0p100;1991;134.969054532316;999;i
XN;ehfghd999i;p0p100;1992;140.368007803798;999;i
XN;ehfghd999i;p0p100;1993;150.331285217226;999;i
XN;ehfghd999i;p0p100;1994;157.090588969059;999;i
XN;ehfghd999i;p0p100;1995;156.352888889316;999;i
XN;ehfghd999i;p0p100;1996;162.096714666253;999;i
XN;ehfghd999i;p0p100;1997;161.175858985417;999;i
XN;ehfghd999i;p0p100;1998;173.418573171049;999;i
XN;ehfghd999i;p0p100;1999;195.572519407752;999;i
XN;ehfghd999i;p0p100;2000;205.903974810103;999;i
XN;ehfghd999i;p0p100;2001;209.693151385559;999;i
XN;ehfghd999i;p0p100;2002;214.568645074507;999;i
XN;ehfghd999i;p0p100;2003;225.30156710086;999;i
XN;ehfghd999i;p0p100;2004;241.6587444465;999;i
XN;ehfghd999i;p0p100;2005;256.842881932268;999;i
XN;ehfghd999i;p0p100;2006;273.079959525058;999;i
XN;ehfghd999i;p0p100;2007;290.449899882;999;i
XN;ehfghd999i;p0p100;2008;300.598044200756;999;i
XN;ehfghd999i;p0p100;2009;311.605049160932;999;i
XN;ehfghd999i;p0p100;2010;323.553266584632;999;i
XN;ehfghd999i;p0p100;2011;336.533528499;999;i
XN;ehfghd999i;p0p100;2012;334.032296268469;999;i
XN;ehfghd999i;p0p100;2013;332.677731238159;999;i
XN;ehfghd999i;p0p100;2014;332.410052621;999;i
XN;ehfghd999i;p0p100;2015;340.127114472161;999;i
XN;ehfghd999i;p0p100;2016;337.075873082492;999;i
XN;ehfghd999i;p0p100;2017;363.206252677372;999;i
XN;ehfghd999i;p0p100;2018;370.366288479221;999;i
XN;ehfghd999i;p0p100;2019;376.34776023825;999;i
XN;ehfghd999i;p0p100;2020;358.703620222869;999;i
XN;bptinc992j;p2p100;1982;-14369.1533203125;992;j
XN;bptinc992j;p2p100;1984;-15348.599609375;992;j
XN;bptinc992j;p2p100;1989;-17964.650390625;992;j
XN;bptinc992j;p2p100;1993;-19231326.0;992;j
XN;bptinc992j;p2p100;1995;-5087.4912109375;992;j
XN;bptinc992j;p2p100;1996;-20310928.0;992;j
XN;bptinc992j;p2p100;2005;-3804.640625;992;j
XN;bptinc992j;p2p100;2007;-5359.40478515625;992;j
XN;bptinc992j;p2p100;2010;-4370.08203125;992;j
XN;bptinc992j;p2p100;2013;-28735586.0;992;j
XN;bptinc992j;p2p100;2016;-5923.3408203125;992;j
XN;bptinc992j;p2p100;2018;-77452584.0;992;j
XN;bptinc992j;p2p100;2020;-5359.7041015625;992;j
XN;kntona999i;p0p100;1980;4.7331132888794;999;i
XN;kntona999i;p0p100;1981;3.45698499679565;999;i
XN;kntona999i;p0p100;1982;3.27743554115295;999;i
XN;kntona999i;p0p100;1983;2.91545724868774;999;i
XN;kntona999i;p0p100;1984;2.32371616363525;999;i
XN;kntona999i;p0p100;1985;2.27021169662476;999;i
XN;kntona999i;p0p100;1986;2.29282879829407;999;i
XN;kntona999i;p0p100;1987;2.1559727191925;999;i
XN;kntona999i;p0p100;1988;2.12995600700378;999;i
XN;kntona999i;p0p100;1989;2.16692447662354;999;i
XN;kntona999i;p0p100;1990;2.28282380104065;999;i
XN;kntona999i;p0p100;1991;2.21950840950012;999;i
XN;kntona999i;p0p100;1992;2.31477355957031;999;i
XN;kntona999i;p0p100;1993;2.22613024711609;999;i
XN;kntona999i;p0p100;1994;2.25392961502075;999;i
XN;kntona999i;p0p100;1995;2.18707156181335;999;i
XN;kntona999i;p0p100;1996;2.15835070610046;999;i
XN;kntona999i;p0p100;1997;2.10890340805054;999;i
XN;kntona999i;p0p100;1998;1.96682012081146;999;i
XN;kntona999i;p0p100;1999;1.91936218738556;999;i
XN;kntona999i;p0p100;2000;1.91140687465668;999;i
XN;kntona999i;p0p100;2001;1.84591126441956;999;i
XN;kntona999i;p0p100;2002;1.81318151950836;999;i
XN;kntona999i;p0p100;2003;1.91947638988495;999;i
XN;kntona999i;p0p100;2004;1.95911657810211;999;i
XN;kntona999i;p0p100;2005;1.9872442483902;999;i
XN;kntona999i;p0p100;2006;2.01494669914246;999;i
XN;kntona999i;p0p100;2007;1.9926164150238;999;i
XN;kntona999i;p0p100;2008;1.97901296615601;999;i
