country;variable;percentile;year;value;age;pop
XR-MER;ahweal992j;p19p100;1995;6922.6;992;j
XR-MER;ahweal992j;p19p100;1996;7893.1;992;j
XR-MER;ahweal992j;p19p100;1997;8919.5;992;j
XR-MER;ahweal992j;p19p100;1998;9470.7;992;j
XR-MER;ahweal992j;p19p100;1999;9384.3;992;j
XR-MER;ahweal992j;p19p100;2000;9217.7;992;j
XR-MER;ahweal992j;p19p100;2001;9917.3;992;j
XR-MER;ahweal992j;p19p100;2002;11384.0;992;j
XR-MER;ahweal992j;p19p100;2003;12879.3;992;j
XR-MER;ahweal992j;p19p100;2004;14076.1;992;j
XR-MER;ahweal992j;p19p100;2005;14668.1;992;j
XR-MER;ahweal992j;p19p100;2006;18694.9;992;j
XR-MER;ahweal992j;p19p100;2007;22868.0;992;j
XR-MER;ahweal992j;p19p100;2008;24074.5;992;j
XR-MER;ahweal992j;p19p100;2009;23429.2;992;j
XR-MER;ahweal992j;p19p100;2010;23065.7;992;j
XR-MER;ahweal992j;p19p100;2011;20912.1;992;j
XR-MER;ahweal992j;p19p100;2012;21058.6;992;j
XR-MER;ahweal992j;p19p100;2013;22267.3;992;j
XR-MER;ahweal992j;p19p100;2014;22806.9;992;j
XR-MER;ahweal992j;p19p100;2015;23583.2;992;j
XR-MER;ahweal992j;p19p100;2016;21570.1;992;j
XR-MER;ahweal992j;p19p100;2017;20506.8;992;j
XR-MER;ahweal992j;p19p100;2018;20459.2;992;j
XR-MER;ahweal992j;p19p100;2019;21729.1;992;j
XR-MER;ahweal992j;p19p100;2020;22610.6;992;j
XR-MER;ahweal992j;p19p100;2021;23066.5;992;j
XR-MER;ahweal992j;p20p100;1995;7005.5;992;j
XR-MER;ahweal992j;p20p100;1996;7987.9;992;j
XR-MER;ahweal992j;p20p100;1997;9026.9;992;j
XR-MER;ahweal992j;p20p100;1998;9585.1;992;j
XR-MER;ahweal992j;p20p100;1999;9497.6;992;j
XR-MER;ahweal992j;p20p100;2000;9328.6;992;j
