country;variable;percentile;year;value;age;pop
XR;enncar999i;p0p100;1990;-740.701676425606;999;i
XR;enncar999i;p0p100;1991;-623.413048927796;999;i
XR;enncar999i;p0p100;1992;-1526.29123879416;999;i
XR;enncar999i;p0p100;1993;-991.797908526896;999;i
XR;enncar999i;p0p100;1994;-697.343625948131;999;i
XR;enncar999i;p0p100;1995;-687.215971616652;999;i
XR;enncar999i;p0p100;1996;-453.357821247367;999;i
XR;enncar999i;p0p100;1997;-433.196969374303;999;i
XR;enncar999i;p0p100;1998;-512.394885273569;999;i
XR;enncar999i;p0p100;1999;-552.701147856774;999;i
XR;enncar999i;p0p100;2000;-586.208738606719;999;i
XR;enncar999i;p0p100;2001;-471.331809401608;999;i
XR;enncar999i;p0p100;2002;-454.656805149293;999;i
XR;enncar999i;p0p100;2003;-453.029447211847;999;i
XR;enncar999i;p0p100;2004;-464.499101220968;999;i
XR;enncar999i;p0p100;2005;-437.230311354815;999;i
XR;enncar999i;p0p100;2006;-469.719395484744;999;i
XR;enncar999i;p0p100;2007;-376.646768740276;999;i
XR;enncar999i;p0p100;2008;-393.073756315881;999;i
XR;enncar999i;p0p100;2009;-354.937987369483;999;i
XR;enncar999i;p0p100;2010;-410.471149425386;999;i
XR;enncar999i;p0p100;2011;-399.160800880609;999;i
XR;enncar999i;p0p100;2012;-319.707702857297;999;i
XR;enncar999i;p0p100;2013;-269.384254201561;999;i
XR;enncar999i;p0p100;2014;-294.308346784199;999;i
XR;enncar999i;p0p100;2015;-294.537608761806;999;i
XR;enncar999i;p0p100;2016;-275.012146097425;999;i
XR;enncar999i;p0p100;2017;-284.019880866724;999;i
XR;enncar999i;p0p100;2018;-362.926062543803;999;i
XR;enncar999i;p0p100;2019;-357.805882517589;999;i
XR;enncar999i;p0p100;2020;-332.759470741358;999;i
XR;entghg999i;p0p100;1980;4789.2;999;i
XR;entghg999i;p0p100;1981;4718.7;999;i
XR;entghg999i;p0p100;1982;4742.9;999;i
XR;entghg999i;p0p100;1983;4819.3;999;i
XR;entghg999i;p0p100;1984;4886.6;999;i
XR;entghg999i;p0p100;1985;5155.0;999;i
XR;entghg999i;p0p100;1986;5175.4;999;i
XR;entghg999i;p0p100;1987;5341.4;999;i
XR;entghg999i;p0p100;1988;5544.3;999;i
XR;entghg999i;p0p100;1989;5438.6;999;i
XR;entghg999i;p0p100;1990;5134.82289384;999;i
XR;entghg999i;p0p100;1991;4849.953965424;999;i
XR;entghg999i;p0p100;1992;4212.624524864;999;i
XR;entghg999i;p0p100;1993;3941.333884992;999;i
XR;entghg999i;p0p100;1994;3463.128074064;999;i
