country;variable;percentile;year;value;age;pop
XS-MER;bptinc992j;p2p100;1982;-14314962.0;992;j
XS-MER;bptinc992j;p2p100;1986;-7447.38330078125;992;j
XS-MER;bptinc992j;p2p100;1988;-22460792.0;992;j
XS-MER;bptinc992j;p2p100;1992;-30617668.0;992;j
XS-MER;bptinc992j;p2p100;1993;-6871.56982421875;992;j
XS-MER;bptinc992j;p2p100;1996;-6901.08349609375;992;j
XS-MER;bptinc992j;p2p100;1998;-25576334.0;992;j
XS-MER;bptinc992j;p2p100;2000;-8655.310546875;992;j
XS-MER;bptinc992j;p2p100;2003;-10928.76953125;992;j
XS-MER;bptinc992j;p2p100;2005;-24301.19140625;992;j
XS-MER;bptinc992j;p2p100;2008;-7215.87939453125;992;j
XS-MER;bptinc992j;p2p100;2009;-99032200.0;992;j
XS-MER;bptinc992j;p2p100;2013;-5585881.0;992;j
XS-MER;bptinc992j;p2p100;2015;-17319.125;992;j
XS-MER;bptinc992j;p2p100;2018;-8031898.0;992;j
XS-MER;ahweal992j;p71p72;1995;1880.0;992;j
XS-MER;ahweal992j;p71p72;1996;1968.2;992;j
XS-MER;ahweal992j;p71p72;1997;2053.9;992;j
XS-MER;ahweal992j;p71p72;1998;2060.0;992;j
XS-MER;ahweal992j;p71p72;1999;2125.2;992;j
XS-MER;ahweal992j;p71p72;2000;2291.0;992;j
XS-MER;ahweal992j;p71p72;2001;2322.1;992;j
XS-MER;ahweal992j;p71p72;2002;2400.9;992;j
XS-MER;ahweal992j;p71p72;2003;2557.2;992;j
XS-MER;ahweal992j;p71p72;2004;2789.8;992;j
XS-MER;ahweal992j;p71p72;2005;3015.4;992;j
XS-MER;ahweal992j;p71p72;2006;3274.1;992;j
XS-MER;ahweal992j;p71p72;2007;3414.7;992;j
XS-MER;ahweal992j;p71p72;2008;3671.2;992;j
XS-MER;ahweal992j;p71p72;2009;3822.0;992;j
XS-MER;ahweal992j;p71p72;2010;3901.5;992;j
