country;variable;percentile;year;value;age;pop
XS;knngho999i;p0p100;1990;-0.138384476304054;999;i
XS;knngho999i;p0p100;1991;-0.155969351530075;999;i
XS;knngho999i;p0p100;1992;-0.153038188815117;999;i
XS;knngho999i;p0p100;1993;-0.147155717015266;999;i
XS;knngho999i;p0p100;1994;-0.13348525762558;999;i
XS;knngho999i;p0p100;1995;-0.139822393655777;999;i
XS;knngho999i;p0p100;1996;-0.136548191308975;999;i
XS;knngho999i;p0p100;1997;-0.162026241421699;999;i
XS;knngho999i;p0p100;1998;-0.177774310112;999;i
XS;knngho999i;p0p100;1999;-0.172777876257896;999;i
XS;knngho999i;p0p100;2000;-0.175833493471146;999;i
XS;knngho999i;p0p100;2001;-0.172851547598839;999;i
XS;knngho999i;p0p100;2002;-0.171068951487541;999;i
XS;knngho999i;p0p100;2003;-0.167944505810738;999;i
XS;knngho999i;p0p100;2004;-0.174746736884117;999;i
XS;knngho999i;p0p100;2005;-0.177629694342613;999;i
XS;knngho999i;p0p100;2006;-0.175324469804764;999;i
XS;knngho999i;p0p100;2007;-0.174666851758957;999;i
XS;knngho999i;p0p100;2008;-0.176662236452103;999;i
XS;knngho999i;p0p100;2009;-0.159788116812706;999;i
XS;knngho999i;p0p100;2010;-0.160816505551338;999;i
XS;knngho999i;p0p100;2011;-0.162081688642502;999;i
XS;knngho999i;p0p100;2012;-0.160250037908554;999;i
XS;knngho999i;p0p100;2013;-0.159614145755768;999;i
XS;knngho999i;p0p100;2014;-0.155336335301399;999;i
XS;knngho999i;p0p100;2015;-0.151987984776497;999;i
XS;knngho999i;p0p100;2016;-0.122605822980404;999;i
XS;knngho999i;p0p100;2017;-0.120730474591255;999;i
XS;knngho999i;p0p100;2018;-0.0945480689406395;999;i
XS;knngho999i;p0p100;2019;-0.0950428619980812;999;i
XS;knngho999i;p0p100;2020;-0.0874181017279625;999;i
XS;entgho999i;p0p100;1980;1009.687;999;i
XS;entgho999i;p0p100;1981;1017.6909;999;i
XS;entgho999i;p0p100;1982;1024.514;999;i
XS;entgho999i;p0p100;1983;1050.8671;999;i
XS;entgho999i;p0p100;1984;1062.3348;999;i
XS;entgho999i;p0p100;1985;1076.3174;999;i
XS;entgho999i;p0p100;1986;1107.8939;999;i
XS;entgho999i;p0p100;1987;1110.1627;999;i
XS;entgho999i;p0p100;1988;1156.447;999;i
XS;entgho999i;p0p100;1989;1166.1969;999;i
XS;entgho999i;p0p100;1990;1167.701;999;i
XS;entgho999i;p0p100;1991;1209.39;999;i
XS;entgho999i;p0p100;1992;1226.487;999;i
XS;entgho999i;p0p100;1993;1250.995;999;i
XS;entgho999i;p0p100;1994;1240.482;999;i
XS;entgho999i;p0p100;1995;1277.749;999;i
XS;entgho999i;p0p100;1996;1321.309;999;i
XS;entgho999i;p0p100;1997;1359.145;999;i
XS;entgho999i;p0p100;1998;1385.555;999;i
XS;entgho999i;p0p100;1999;1432.055;999;i
XS;entgho999i;p0p100;2000;1455.811;999;i
XS;entgho999i;p0p100;2001;1467.997;999;i
XS;entgho999i;p0p100;2002;1478.863;999;i
XS;entgho999i;p0p100;2003;1519.41;999;i
XS;entgho999i;p0p100;2004;1545.578;999;i
XS;entgho999i;p0p100;2005;1582.751;999;i
XS;entgho999i;p0p100;2006;1616.854;999;i
XS;entgho999i;p0p100;2007;1669.244;999;i
XS;entgho999i;p0p100;2008;1699.748;999;i
XS;entgho999i;p0p100;2009;1734.076;999;i
XS;entgho999i;p0p100;2010;1755.098;999;i
XS;entgho999i;p0p100;2011;1777.92;999;i
XS;entgho999i;p0p100;2012;1795.53;999;i
XS;entgho999i;p0p100;2013;1817.11;999;i
XS;entgho999i;p0p100;2014;1827.94;999;i
XS;entgho999i;p0p100;2015;1848.5;999;i
XS;entgho999i;p0p100;2016;1871.82;999;i
XS;entgho999i;p0p100;2017;1919.94;999;i
XS;entgho999i;p0p100;2018;1954.95;999;i
XS;entgho999i;p0p100;2019;2039.7235070819;999;i
XS;entgho999i;p0p100;2020;1896.94286158617;999;i
XS;ehfghn999i;p0p100;1990;1167.02783747001;999;i
XS;ehfghn999i;p0p100;1991;1194.51949469532;999;i
