country;variable;percentile;year;value;age;pop
ZZ;aptinc992j;p0p99.94;1980;3177422080.0;992;j
ZZ;aptinc992j;p0p99.94;1981;3067936000.0;992;j
ZZ;aptinc992j;p0p99.94;1982;2993864960.0;992;j
ZZ;aptinc992j;p0p99.94;1983;2826101760.0;992;j
ZZ;aptinc992j;p0p99.94;1984;2833493760.0;992;j
ZZ;aptinc992j;p0p99.94;1985;2873484032.0;992;j
ZZ;aptinc992j;p0p99.94;1986;2839140608.0;992;j
ZZ;aptinc992j;p0p99.94;1987;2892008192.0;992;j
ZZ;aptinc992j;p0p99.94;1988;2915708160.0;992;j
ZZ;aptinc992j;p0p99.94;1989;2925080320.0;992;j
ZZ;aptinc992j;p0p99.94;1990;3110387712.0;992;j
ZZ;aptinc992j;p0p99.94;1991;3190875392.0;992;j
ZZ;aptinc992j;p0p99.94;1992;3300878848.0;992;j
ZZ;aptinc992j;p0p99.94;1993;3400949504.0;992;j
ZZ;aptinc992j;p0p99.94;1994;3437576448.0;992;j
ZZ;aptinc992j;p0p99.94;1995;3428913408.0;992;j
ZZ;aptinc992j;p0p99.94;1996;3879126528.0;992;j
ZZ;aptinc992j;p0p99.94;1997;5208210432.0;992;j
ZZ;aptinc992j;p0p99.94;1998;3878900224.0;992;j
ZZ;aptinc992j;p0p99.94;1999;4046028800.0;992;j
ZZ;aptinc992j;p0p99.94;2000;4044930816.0;992;j
ZZ;aptinc992j;p0p99.94;2001;4283409152.0;992;j
ZZ;aptinc992j;p0p99.94;2002;4465611264.0;992;j
ZZ;aptinc992j;p0p99.94;2003;4582352384.0;992;j
ZZ;aptinc992j;p0p99.94;2004;4731061248.0;992;j
ZZ;aptinc992j;p0p99.94;2005;4795146752.0;992;j
ZZ;aptinc992j;p0p99.94;2006;4763517440.0;992;j
ZZ;aptinc992j;p0p99.94;2007;5071470592.0;992;j
ZZ;aptinc992j;p0p99.94;2008;5111311360.0;992;j
ZZ;aptinc992j;p0p99.94;2009;5257394176.0;992;j
ZZ;aptinc992j;p0p99.94;2010;5294932480.0;992;j
ZZ;aptinc992j;p0p99.94;2011;5497461248.0;992;j
ZZ;aptinc992j;p0p99.94;2012;5755385856.0;992;j
ZZ;aptinc992j;p0p99.94;2013;5810321408.0;992;j
ZZ;aptinc992j;p0p99.94;2014;5996941824.0;992;j
ZZ;aptinc992j;p0p99.94;2015;6098697728.0;992;j
ZZ;aptinc992j;p0p99.94;2016;6170336768.0;992;j
ZZ;aptinc992j;p0p99.94;2017;6381388288.0;992;j
ZZ;aptinc992j;p0p99.94;2018;6624836096.0;992;j
ZZ;aptinc992j;p0p99.94;2019;6886491136.0;992;j
ZZ;aptinc992j;p0p99.94;2020;6744687616.0;992;j
ZZ;aptinc992j;p0p99.94;2021;6161187840.0;992;j
ZZ;aptinc992j;p54p55;1980;1491265.4;992;j
ZZ;aptinc992j;p54p55;1981;1439880.2;992;j
ZZ;aptinc992j;p54p55;1982;1405116.2;992;j
ZZ;aptinc992j;p54p55;1983;1326379.6;992;j
ZZ;aptinc992j;p54p55;1984;1329836.9;992;j
ZZ;aptinc992j;p54p55;1985;1348605.3;992;j
ZZ;aptinc992j;p54p55;1986;1332499.1;992;j
ZZ;aptinc992j;p54p55;1987;1357311.6;992;j
ZZ;aptinc992j;p54p55;1988;1368434.8;992;j
ZZ;aptinc992j;p54p55;1989;1372820.9;992;j
ZZ;aptinc992j;p54p55;1990;1459790.8;992;j
ZZ;aptinc992j;p54p55;1991;1497579.5;992;j
ZZ;aptinc992j;p54p55;1992;1542409.8;992;j
ZZ;aptinc992j;p54p55;1993;1582178.0;992;j
ZZ;aptinc992j;p54p55;1994;1592147.7;992;j
ZZ;aptinc992j;p54p55;1995;1581065.9;992;j
ZZ;aptinc992j;p54p55;1996;1780657.6;992;j
ZZ;aptinc992j;p54p55;1997;2380030.2;992;j
ZZ;aptinc992j;p54p55;1998;1764576.1;992;j
ZZ;aptinc992j;p54p55;1999;1832266.9;992;j
ZZ;aptinc992j;p54p55;2000;1823429.4;992;j
ZZ;aptinc992j;p54p55;2001;1911321.3;992;j
